group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,AmdSpinlock,,,3327000.0,ns,42
cpu,extreme contention,AmdSpinlock,,,6281000.0,ns,84
cpu,extreme contention,AmdSpinlock,,,9036000.0,ns,126
cpu,extreme contention,AmdSpinlock,,,4531000.0,ns,168
cpu,extreme contention,AmdSpinlock,,,12431000.0,ns,210
cpu,extreme contention,AmdSpinlock,,,56546000.0,ns,252
cpu,extreme contention,AmdSpinlock,,,90218000.0,ns,294
cpu,extreme contention,AmdSpinlock,,,21144000.0,ns,336
cpu,extreme contention,AmdSpinlock,,,48876000.0,ns,378
cpu,extreme contention,AmdSpinlock,,,11884000.0,ns,420
cpu,extreme contention,AmdSpinlock,,,29738000.0,ns,462
cpu,extreme contention,AmdSpinlock,,,29308000.0,ns,504
cpu,extreme contention,AmdSpinlock,,,38129000.0,ns,546
cpu,extreme contention,AmdSpinlock,,,30126000.0,ns,588
cpu,extreme contention,AmdSpinlock,,,35588000.0,ns,630
cpu,extreme contention,AmdSpinlock,,,34076000.0,ns,672
cpu,extreme contention,AmdSpinlock,,,28045000.0,ns,714
cpu,extreme contention,AmdSpinlock,,,89740000.0,ns,756
cpu,extreme contention,AmdSpinlock,,,42656000.0,ns,798
cpu,extreme contention,AmdSpinlock,,,36051000.0,ns,840
cpu,extreme contention,AmdSpinlock,,,42062000.0,ns,882
cpu,extreme contention,AmdSpinlock,,,255213000.0,ns,924
cpu,extreme contention,AmdSpinlock,,,45510000.0,ns,966
cpu,extreme contention,AmdSpinlock,,,50189000.0,ns,1008
cpu,extreme contention,AmdSpinlock,,,54505000.0,ns,1050
cpu,extreme contention,AmdSpinlock,,,50621000.0,ns,1092
cpu,extreme contention,AmdSpinlock,,,50030000.0,ns,1134
cpu,extreme contention,AmdSpinlock,,,54550000.0,ns,1176
cpu,extreme contention,AmdSpinlock,,,64013000.0,ns,1218
cpu,extreme contention,AmdSpinlock,,,58506000.0,ns,1260
cpu,extreme contention,AmdSpinlock,,,55008000.0,ns,1302
cpu,extreme contention,AmdSpinlock,,,60438000.0,ns,1344
cpu,extreme contention,AmdSpinlock,,,66977000.0,ns,1386
cpu,extreme contention,AmdSpinlock,,,61958000.0,ns,1428
cpu,extreme contention,AmdSpinlock,,,66180000.0,ns,1470
cpu,extreme contention,AmdSpinlock,,,113275000.0,ns,1512
cpu,extreme contention,AmdSpinlock,,,67670000.0,ns,1554
cpu,extreme contention,AmdSpinlock,,,103132000.0,ns,1596
cpu,extreme contention,AmdSpinlock,,,114176000.0,ns,1638
cpu,extreme contention,AmdSpinlock,,,54264000.0,ns,1680
cpu,extreme contention,AmdSpinlock,,,57052000.0,ns,1722
cpu,extreme contention,AmdSpinlock,,,126998000.0,ns,1764
cpu,extreme contention,AmdSpinlock,,,75808000.0,ns,1806
cpu,extreme contention,AmdSpinlock,,,83691000.0,ns,1848
cpu,extreme contention,AmdSpinlock,,,80903000.0,ns,1890
cpu,extreme contention,AmdSpinlock,,,82552000.0,ns,1932
cpu,extreme contention,AmdSpinlock,,,81102000.0,ns,1974
cpu,extreme contention,AmdSpinlock,,,83859000.0,ns,2016
cpu,extreme contention,AmdSpinlock,,,142713000.0,ns,2058
cpu,extreme contention,AmdSpinlock,,,82249000.0,ns,2100
cpu,extreme contention,AmdSpinlock,,,121679000.0,ns,2142
cpu,extreme contention,AmdSpinlock,,,79370000.0,ns,2184
cpu,extreme contention,AmdSpinlock,,,90355000.0,ns,2226
cpu,extreme contention,AmdSpinlock,,,79284000.0,ns,2268
cpu,extreme contention,AmdSpinlock,,,96528000.0,ns,2310
cpu,extreme contention,AmdSpinlock,,,88833000.0,ns,2352
cpu,extreme contention,AmdSpinlock,,,66564000.0,ns,2394
cpu,extreme contention,AmdSpinlock,,,97063000.0,ns,2436
cpu,extreme contention,AmdSpinlock,,,102242000.0,ns,2478
cpu,extreme contention,AmdSpinlock,,,87107000.0,ns,2520
cpu,extreme contention,AmdSpinlock,,,99018000.0,ns,2562
cpu,extreme contention,AmdSpinlock,,,125470000.0,ns,2604
cpu,extreme contention,AmdSpinlock,,,99022000.0,ns,2646
cpu,extreme contention,AmdSpinlock,,,109772000.0,ns,2688
cpu,extreme contention,AmdSpinlock,,,144974000.0,ns,2730
cpu,extreme contention,AmdSpinlock,,,100460000.0,ns,2772
cpu,extreme contention,AmdSpinlock,,,137319000.0,ns,2814
cpu,extreme contention,AmdSpinlock,,,134942000.0,ns,2856
cpu,extreme contention,AmdSpinlock,,,114024000.0,ns,2898
cpu,extreme contention,AmdSpinlock,,,435669000.0,ns,2940
cpu,extreme contention,AmdSpinlock,,,111158000.0,ns,2982
cpu,extreme contention,AmdSpinlock,,,222868000.0,ns,3024
cpu,extreme contention,AmdSpinlock,,,178260000.0,ns,3066
cpu,extreme contention,AmdSpinlock,,,114781000.0,ns,3108
cpu,extreme contention,AmdSpinlock,,,169110000.0,ns,3150
cpu,extreme contention,AmdSpinlock,,,127565000.0,ns,3192
cpu,extreme contention,AmdSpinlock,,,125781000.0,ns,3234
cpu,extreme contention,AmdSpinlock,,,148977000.0,ns,3276
cpu,extreme contention,AmdSpinlock,,,163354000.0,ns,3318
cpu,extreme contention,AmdSpinlock,,,125007000.0,ns,3360
