group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,parking_lot::Mutex,,,5335000.0,ns,56
cpu,extreme contention,parking_lot::Mutex,,,6615000.0,ns,112
cpu,extreme contention,parking_lot::Mutex,,,11103000.0,ns,168
cpu,extreme contention,parking_lot::Mutex,,,11585000.0,ns,224
cpu,extreme contention,parking_lot::Mutex,,,19438000.0,ns,280
cpu,extreme contention,parking_lot::Mutex,,,17384000.0,ns,336
cpu,extreme contention,parking_lot::Mutex,,,26802000.0,ns,392
cpu,extreme contention,parking_lot::Mutex,,,24750000.0,ns,448
cpu,extreme contention,parking_lot::Mutex,,,36529000.0,ns,504
cpu,extreme contention,parking_lot::Mutex,,,32411000.0,ns,560
cpu,extreme contention,parking_lot::Mutex,,,45057000.0,ns,616
cpu,extreme contention,parking_lot::Mutex,,,27981000.0,ns,672
cpu,extreme contention,parking_lot::Mutex,,,58789000.0,ns,728
cpu,extreme contention,parking_lot::Mutex,,,26988000.0,ns,784
cpu,extreme contention,parking_lot::Mutex,,,29440000.0,ns,840
cpu,extreme contention,parking_lot::Mutex,,,55723000.0,ns,896
cpu,extreme contention,parking_lot::Mutex,,,53597000.0,ns,952
cpu,extreme contention,parking_lot::Mutex,,,57272000.0,ns,1008
cpu,extreme contention,parking_lot::Mutex,,,44144000.0,ns,1064
cpu,extreme contention,parking_lot::Mutex,,,57466000.0,ns,1120
cpu,extreme contention,parking_lot::Mutex,,,49609000.0,ns,1176
cpu,extreme contention,parking_lot::Mutex,,,67637000.0,ns,1232
cpu,extreme contention,parking_lot::Mutex,,,43414000.0,ns,1288
cpu,extreme contention,parking_lot::Mutex,,,71184000.0,ns,1344
cpu,extreme contention,parking_lot::Mutex,,,61242000.0,ns,1400
cpu,extreme contention,parking_lot::Mutex,,,79003000.0,ns,1456
cpu,extreme contention,parking_lot::Mutex,,,84654000.0,ns,1512
cpu,extreme contention,parking_lot::Mutex,,,85271000.0,ns,1568
cpu,extreme contention,parking_lot::Mutex,,,86000000.0,ns,1624
cpu,extreme contention,parking_lot::Mutex,,,104125000.0,ns,1680
cpu,extreme contention,parking_lot::Mutex,,,79429000.0,ns,1736
cpu,extreme contention,parking_lot::Mutex,,,93544000.0,ns,1792
cpu,extreme contention,parking_lot::Mutex,,,89812000.0,ns,1848
cpu,extreme contention,parking_lot::Mutex,,,95265000.0,ns,1904
cpu,extreme contention,parking_lot::Mutex,,,102927000.0,ns,1960
cpu,extreme contention,parking_lot::Mutex,,,96856000.0,ns,2016
cpu,extreme contention,parking_lot::Mutex,,,101770000.0,ns,2072
cpu,extreme contention,parking_lot::Mutex,,,94691000.0,ns,2128
cpu,extreme contention,parking_lot::Mutex,,,79615000.0,ns,2184
cpu,extreme contention,parking_lot::Mutex,,,75752000.0,ns,2240
cpu,extreme contention,parking_lot::Mutex,,,122129000.0,ns,2296
cpu,extreme contention,parking_lot::Mutex,,,111408000.0,ns,2352
cpu,extreme contention,parking_lot::Mutex,,,111490000.0,ns,2408
cpu,extreme contention,parking_lot::Mutex,,,86834000.0,ns,2464
cpu,extreme contention,parking_lot::Mutex,,,135791000.0,ns,2520
cpu,extreme contention,parking_lot::Mutex,,,117834000.0,ns,2576
cpu,extreme contention,parking_lot::Mutex,,,149941000.0,ns,2632
cpu,extreme contention,parking_lot::Mutex,,,108635000.0,ns,2688
cpu,extreme contention,parking_lot::Mutex,,,124689000.0,ns,2744
cpu,extreme contention,parking_lot::Mutex,,,132747000.0,ns,2800
cpu,extreme contention,parking_lot::Mutex,,,134038000.0,ns,2856
cpu,extreme contention,parking_lot::Mutex,,,115280000.0,ns,2912
cpu,extreme contention,parking_lot::Mutex,,,125972000.0,ns,2968
cpu,extreme contention,parking_lot::Mutex,,,168756000.0,ns,3024
