group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,spin::Mutex,,,3734000.0,ns,38
cpu,extreme contention,spin::Mutex,,,5092000.0,ns,76
cpu,extreme contention,spin::Mutex,,,7474000.0,ns,114
cpu,extreme contention,spin::Mutex,,,12107000.0,ns,152
cpu,extreme contention,spin::Mutex,,,12743000.0,ns,190
cpu,extreme contention,spin::Mutex,,,16065000.0,ns,228
cpu,extreme contention,spin::Mutex,,,18219000.0,ns,266
cpu,extreme contention,spin::Mutex,,,66756000.0,ns,304
cpu,extreme contention,spin::Mutex,,,23765000.0,ns,342
cpu,extreme contention,spin::Mutex,,,29533000.0,ns,380
cpu,extreme contention,spin::Mutex,,,24383000.0,ns,418
cpu,extreme contention,spin::Mutex,,,31354000.0,ns,456
cpu,extreme contention,spin::Mutex,,,52343000.0,ns,494
cpu,extreme contention,spin::Mutex,,,36627000.0,ns,532
cpu,extreme contention,spin::Mutex,,,31122000.0,ns,570
cpu,extreme contention,spin::Mutex,,,33338000.0,ns,608
cpu,extreme contention,spin::Mutex,,,35262000.0,ns,646
cpu,extreme contention,spin::Mutex,,,50947000.0,ns,684
cpu,extreme contention,spin::Mutex,,,77979000.0,ns,722
cpu,extreme contention,spin::Mutex,,,41232000.0,ns,760
cpu,extreme contention,spin::Mutex,,,34617000.0,ns,798
cpu,extreme contention,spin::Mutex,,,41041000.0,ns,836
cpu,extreme contention,spin::Mutex,,,61263000.0,ns,874
cpu,extreme contention,spin::Mutex,,,47379000.0,ns,912
cpu,extreme contention,spin::Mutex,,,67021000.0,ns,950
cpu,extreme contention,spin::Mutex,,,55713000.0,ns,988
cpu,extreme contention,spin::Mutex,,,49651000.0,ns,1026
cpu,extreme contention,spin::Mutex,,,56771000.0,ns,1064
cpu,extreme contention,spin::Mutex,,,57229000.0,ns,1102
cpu,extreme contention,spin::Mutex,,,76313000.0,ns,1140
cpu,extreme contention,spin::Mutex,,,58614000.0,ns,1178
cpu,extreme contention,spin::Mutex,,,79581000.0,ns,1216
cpu,extreme contention,spin::Mutex,,,100812000.0,ns,1254
cpu,extreme contention,spin::Mutex,,,141806000.0,ns,1292
cpu,extreme contention,spin::Mutex,,,112471000.0,ns,1330
cpu,extreme contention,spin::Mutex,,,63486000.0,ns,1368
cpu,extreme contention,spin::Mutex,,,69641000.0,ns,1406
cpu,extreme contention,spin::Mutex,,,73685000.0,ns,1444
cpu,extreme contention,spin::Mutex,,,73836000.0,ns,1482
cpu,extreme contention,spin::Mutex,,,68012000.0,ns,1520
cpu,extreme contention,spin::Mutex,,,100186000.0,ns,1558
cpu,extreme contention,spin::Mutex,,,70110000.0,ns,1596
cpu,extreme contention,spin::Mutex,,,61179000.0,ns,1634
cpu,extreme contention,spin::Mutex,,,75518000.0,ns,1672
cpu,extreme contention,spin::Mutex,,,94801000.0,ns,1710
cpu,extreme contention,spin::Mutex,,,78542000.0,ns,1748
cpu,extreme contention,spin::Mutex,,,125094000.0,ns,1786
cpu,extreme contention,spin::Mutex,,,81816000.0,ns,1824
cpu,extreme contention,spin::Mutex,,,106510000.0,ns,1862
cpu,extreme contention,spin::Mutex,,,112087000.0,ns,1900
cpu,extreme contention,spin::Mutex,,,77702000.0,ns,1938
cpu,extreme contention,spin::Mutex,,,90043000.0,ns,1976
cpu,extreme contention,spin::Mutex,,,82322000.0,ns,2014
cpu,extreme contention,spin::Mutex,,,116687000.0,ns,2052
cpu,extreme contention,spin::Mutex,,,106048000.0,ns,2090
