group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,std::sync::Mutex,,,11414000.0,ns,39
cpu,extreme contention,std::sync::Mutex,,,15624000.0,ns,78
cpu,extreme contention,std::sync::Mutex,,,22883000.0,ns,117
cpu,extreme contention,std::sync::Mutex,,,33637000.0,ns,156
cpu,extreme contention,std::sync::Mutex,,,31080000.0,ns,195
cpu,extreme contention,std::sync::Mutex,,,37445000.0,ns,234
cpu,extreme contention,std::sync::Mutex,,,43402000.0,ns,273
cpu,extreme contention,std::sync::Mutex,,,54772000.0,ns,312
cpu,extreme contention,std::sync::Mutex,,,60697000.0,ns,351
cpu,extreme contention,std::sync::Mutex,,,58152000.0,ns,390
cpu,extreme contention,std::sync::Mutex,,,64552000.0,ns,429
cpu,extreme contention,std::sync::Mutex,,,73998000.0,ns,468
cpu,extreme contention,std::sync::Mutex,,,76043000.0,ns,507
cpu,extreme contention,std::sync::Mutex,,,85435000.0,ns,546
cpu,extreme contention,std::sync::Mutex,,,76886000.0,ns,585
cpu,extreme contention,std::sync::Mutex,,,83835000.0,ns,624
cpu,extreme contention,std::sync::Mutex,,,77285000.0,ns,663
cpu,extreme contention,std::sync::Mutex,,,95458000.0,ns,702
cpu,extreme contention,std::sync::Mutex,,,96456000.0,ns,741
cpu,extreme contention,std::sync::Mutex,,,66268000.0,ns,780
cpu,extreme contention,std::sync::Mutex,,,113757000.0,ns,819
cpu,extreme contention,std::sync::Mutex,,,110260000.0,ns,858
cpu,extreme contention,std::sync::Mutex,,,114140000.0,ns,897
cpu,extreme contention,std::sync::Mutex,,,119571000.0,ns,936
cpu,extreme contention,std::sync::Mutex,,,124341000.0,ns,975
cpu,extreme contention,std::sync::Mutex,,,131457000.0,ns,1014
cpu,extreme contention,std::sync::Mutex,,,129582000.0,ns,1053
cpu,extreme contention,std::sync::Mutex,,,136863000.0,ns,1092
cpu,extreme contention,std::sync::Mutex,,,130381000.0,ns,1131
cpu,extreme contention,std::sync::Mutex,,,139984000.0,ns,1170
cpu,extreme contention,std::sync::Mutex,,,149725000.0,ns,1209
cpu,extreme contention,std::sync::Mutex,,,156065000.0,ns,1248
cpu,extreme contention,std::sync::Mutex,,,157017000.0,ns,1287
cpu,extreme contention,std::sync::Mutex,,,148121000.0,ns,1326
cpu,extreme contention,std::sync::Mutex,,,165852000.0,ns,1365
cpu,extreme contention,std::sync::Mutex,,,146281000.0,ns,1404
cpu,extreme contention,std::sync::Mutex,,,170691000.0,ns,1443
cpu,extreme contention,std::sync::Mutex,,,141632000.0,ns,1482
cpu,extreme contention,std::sync::Mutex,,,150793000.0,ns,1521
cpu,extreme contention,std::sync::Mutex,,,184126000.0,ns,1560
cpu,extreme contention,std::sync::Mutex,,,183857000.0,ns,1599
cpu,extreme contention,std::sync::Mutex,,,174156000.0,ns,1638
cpu,extreme contention,std::sync::Mutex,,,178140000.0,ns,1677
cpu,extreme contention,std::sync::Mutex,,,201364000.0,ns,1716
cpu,extreme contention,std::sync::Mutex,,,208131000.0,ns,1755
cpu,extreme contention,std::sync::Mutex,,,204507000.0,ns,1794
cpu,extreme contention,std::sync::Mutex,,,213255000.0,ns,1833
cpu,extreme contention,std::sync::Mutex,,,174853000.0,ns,1872
cpu,extreme contention,std::sync::Mutex,,,219081000.0,ns,1911
cpu,extreme contention,std::sync::Mutex,,,227646000.0,ns,1950
cpu,extreme contention,std::sync::Mutex,,,193417000.0,ns,1989
cpu,extreme contention,std::sync::Mutex,,,204253000.0,ns,2028
cpu,extreme contention,std::sync::Mutex,,,197478000.0,ns,2067
cpu,extreme contention,std::sync::Mutex,,,242708000.0,ns,2106
cpu,extreme contention,std::sync::Mutex,,,213260000.0,ns,2145
cpu,extreme contention,std::sync::Mutex,,,252508000.0,ns,2184
cpu,extreme contention,std::sync::Mutex,,,235431000.0,ns,2223
cpu,extreme contention,std::sync::Mutex,,,260097000.0,ns,2262
cpu,extreme contention,std::sync::Mutex,,,230513000.0,ns,2301
cpu,extreme contention,std::sync::Mutex,,,263003000.0,ns,2340
cpu,extreme contention,std::sync::Mutex,,,270793000.0,ns,2379
cpu,extreme contention,std::sync::Mutex,,,261681000.0,ns,2418
cpu,extreme contention,std::sync::Mutex,,,278394000.0,ns,2457
cpu,extreme contention,std::sync::Mutex,,,270332000.0,ns,2496
cpu,extreme contention,std::sync::Mutex,,,274954000.0,ns,2535
cpu,extreme contention,std::sync::Mutex,,,268382000.0,ns,2574
cpu,extreme contention,std::sync::Mutex,,,295742000.0,ns,2613
cpu,extreme contention,std::sync::Mutex,,,296914000.0,ns,2652
cpu,extreme contention,std::sync::Mutex,,,292502000.0,ns,2691
cpu,extreme contention,std::sync::Mutex,,,285604000.0,ns,2730
cpu,extreme contention,std::sync::Mutex,,,277995000.0,ns,2769
cpu,extreme contention,std::sync::Mutex,,,303508000.0,ns,2808
cpu,extreme contention,std::sync::Mutex,,,276590000.0,ns,2847
cpu,extreme contention,std::sync::Mutex,,,297395000.0,ns,2886
cpu,extreme contention,std::sync::Mutex,,,328250000.0,ns,2925
cpu,extreme contention,std::sync::Mutex,,,321199000.0,ns,2964
cpu,extreme contention,std::sync::Mutex,,,316927000.0,ns,3003
cpu,extreme contention,std::sync::Mutex,,,306018000.0,ns,3042
cpu,extreme contention,std::sync::Mutex,,,341078000.0,ns,3081
cpu,extreme contention,std::sync::Mutex,,,320098000.0,ns,3120
cpu,extreme contention,std::sync::Mutex,,,331739000.0,ns,3159
