group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,AmdSpinlock,,,3843000.0,ns,86
cpu,heavy contention,AmdSpinlock,,,6885000.0,ns,172
cpu,heavy contention,AmdSpinlock,,,7698000.0,ns,258
cpu,heavy contention,AmdSpinlock,,,8637000.0,ns,344
cpu,heavy contention,AmdSpinlock,,,11272000.0,ns,430
cpu,heavy contention,AmdSpinlock,,,20158000.0,ns,516
cpu,heavy contention,AmdSpinlock,,,12252000.0,ns,602
cpu,heavy contention,AmdSpinlock,,,15059000.0,ns,688
cpu,heavy contention,AmdSpinlock,,,18431000.0,ns,774
cpu,heavy contention,AmdSpinlock,,,18674000.0,ns,860
cpu,heavy contention,AmdSpinlock,,,20943000.0,ns,946
cpu,heavy contention,AmdSpinlock,,,81990000.0,ns,1032
cpu,heavy contention,AmdSpinlock,,,22684000.0,ns,1118
cpu,heavy contention,AmdSpinlock,,,24860000.0,ns,1204
cpu,heavy contention,AmdSpinlock,,,26572000.0,ns,1290
cpu,heavy contention,AmdSpinlock,,,28831000.0,ns,1376
cpu,heavy contention,AmdSpinlock,,,76160000.0,ns,1462
cpu,heavy contention,AmdSpinlock,,,19745000.0,ns,1548
cpu,heavy contention,AmdSpinlock,,,49283000.0,ns,1634
cpu,heavy contention,AmdSpinlock,,,31171000.0,ns,1720
cpu,heavy contention,AmdSpinlock,,,29850000.0,ns,1806
cpu,heavy contention,AmdSpinlock,,,34156000.0,ns,1892
cpu,heavy contention,AmdSpinlock,,,74338000.0,ns,1978
cpu,heavy contention,AmdSpinlock,,,40228000.0,ns,2064
cpu,heavy contention,AmdSpinlock,,,39582000.0,ns,2150
cpu,heavy contention,AmdSpinlock,,,65372000.0,ns,2236
cpu,heavy contention,AmdSpinlock,,,41289000.0,ns,2322
cpu,heavy contention,AmdSpinlock,,,40490000.0,ns,2408
cpu,heavy contention,AmdSpinlock,,,264856000.0,ns,2494
cpu,heavy contention,AmdSpinlock,,,40710000.0,ns,2580
cpu,heavy contention,AmdSpinlock,,,43285000.0,ns,2666
cpu,heavy contention,AmdSpinlock,,,32892000.0,ns,2752
cpu,heavy contention,AmdSpinlock,,,78209000.0,ns,2838
cpu,heavy contention,AmdSpinlock,,,98018000.0,ns,2924
cpu,heavy contention,AmdSpinlock,,,68889000.0,ns,3010
cpu,heavy contention,AmdSpinlock,,,57501000.0,ns,3096
cpu,heavy contention,AmdSpinlock,,,60877000.0,ns,3182
cpu,heavy contention,AmdSpinlock,,,35061000.0,ns,3268
cpu,heavy contention,AmdSpinlock,,,59572000.0,ns,3354
cpu,heavy contention,AmdSpinlock,,,59509000.0,ns,3440
cpu,heavy contention,AmdSpinlock,,,70488000.0,ns,3526
cpu,heavy contention,AmdSpinlock,,,98768000.0,ns,3612
cpu,heavy contention,AmdSpinlock,,,92251000.0,ns,3698
cpu,heavy contention,AmdSpinlock,,,108100000.0,ns,3784
cpu,heavy contention,AmdSpinlock,,,87203000.0,ns,3870
cpu,heavy contention,AmdSpinlock,,,56957000.0,ns,3956
cpu,heavy contention,AmdSpinlock,,,87942000.0,ns,4042
cpu,heavy contention,AmdSpinlock,,,55590000.0,ns,4128
cpu,heavy contention,AmdSpinlock,,,59475000.0,ns,4214
cpu,heavy contention,AmdSpinlock,,,268342000.0,ns,4300
cpu,heavy contention,AmdSpinlock,,,45195000.0,ns,4386
cpu,heavy contention,AmdSpinlock,,,133980000.0,ns,4472
cpu,heavy contention,AmdSpinlock,,,128341000.0,ns,4558
cpu,heavy contention,AmdSpinlock,,,48819000.0,ns,4644
cpu,heavy contention,AmdSpinlock,,,68085000.0,ns,4730
cpu,heavy contention,AmdSpinlock,,,136497000.0,ns,4816
cpu,heavy contention,AmdSpinlock,,,70399000.0,ns,4902
cpu,heavy contention,AmdSpinlock,,,54794000.0,ns,4988
cpu,heavy contention,AmdSpinlock,,,114658000.0,ns,5074
cpu,heavy contention,AmdSpinlock,,,71921000.0,ns,5160
cpu,heavy contention,AmdSpinlock,,,179714000.0,ns,5246
cpu,heavy contention,AmdSpinlock,,,69898000.0,ns,5332
cpu,heavy contention,AmdSpinlock,,,78220000.0,ns,5418
cpu,heavy contention,AmdSpinlock,,,74443000.0,ns,5504
cpu,heavy contention,AmdSpinlock,,,116273000.0,ns,5590
cpu,heavy contention,AmdSpinlock,,,91555000.0,ns,5676
cpu,heavy contention,AmdSpinlock,,,117101000.0,ns,5762
cpu,heavy contention,AmdSpinlock,,,73018000.0,ns,5848
cpu,heavy contention,AmdSpinlock,,,77775000.0,ns,5934
cpu,heavy contention,AmdSpinlock,,,78510000.0,ns,6020
cpu,heavy contention,AmdSpinlock,,,87977000.0,ns,6106
cpu,heavy contention,AmdSpinlock,,,105974000.0,ns,6192
cpu,heavy contention,AmdSpinlock,,,80991000.0,ns,6278
cpu,heavy contention,AmdSpinlock,,,149527000.0,ns,6364
cpu,heavy contention,AmdSpinlock,,,91959000.0,ns,6450
cpu,heavy contention,AmdSpinlock,,,126077000.0,ns,6536
cpu,heavy contention,AmdSpinlock,,,111375000.0,ns,6622
cpu,heavy contention,AmdSpinlock,,,99699000.0,ns,6708
cpu,heavy contention,AmdSpinlock,,,89586000.0,ns,6794
cpu,heavy contention,AmdSpinlock,,,128089000.0,ns,6880
cpu,heavy contention,AmdSpinlock,,,84489000.0,ns,6966
cpu,heavy contention,AmdSpinlock,,,108209000.0,ns,7052
cpu,heavy contention,AmdSpinlock,,,297001000.0,ns,7138
cpu,heavy contention,AmdSpinlock,,,158044000.0,ns,7224
cpu,heavy contention,AmdSpinlock,,,382763000.0,ns,7310
cpu,heavy contention,AmdSpinlock,,,130182000.0,ns,7396
cpu,heavy contention,AmdSpinlock,,,110644000.0,ns,7482
cpu,heavy contention,AmdSpinlock,,,87801000.0,ns,7568
cpu,heavy contention,AmdSpinlock,,,145711000.0,ns,7654
cpu,heavy contention,AmdSpinlock,,,99521000.0,ns,7740
cpu,heavy contention,AmdSpinlock,,,297685000.0,ns,7826
cpu,heavy contention,AmdSpinlock,,,128067000.0,ns,7912
cpu,heavy contention,AmdSpinlock,,,78620000.0,ns,7998
cpu,heavy contention,AmdSpinlock,,,133989000.0,ns,8084
cpu,heavy contention,AmdSpinlock,,,134938000.0,ns,8170
cpu,heavy contention,AmdSpinlock,,,143382000.0,ns,8256
cpu,heavy contention,AmdSpinlock,,,97050000.0,ns,8342
