group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,parking_lot::Mutex,,,9088000.0,ns,307
cpu,heavy contention,parking_lot::Mutex,,,6947000.0,ns,614
cpu,heavy contention,parking_lot::Mutex,,,18904000.0,ns,921
cpu,heavy contention,parking_lot::Mutex,,,24651000.0,ns,1228
cpu,heavy contention,parking_lot::Mutex,,,19348000.0,ns,1535
cpu,heavy contention,parking_lot::Mutex,,,33896000.0,ns,1842
cpu,heavy contention,parking_lot::Mutex,,,38535000.0,ns,2149
cpu,heavy contention,parking_lot::Mutex,,,36174000.0,ns,2456
cpu,heavy contention,parking_lot::Mutex,,,46674000.0,ns,2763
cpu,heavy contention,parking_lot::Mutex,,,47244000.0,ns,3070
cpu,heavy contention,parking_lot::Mutex,,,41955000.0,ns,3377
cpu,heavy contention,parking_lot::Mutex,,,55285000.0,ns,3684
cpu,heavy contention,parking_lot::Mutex,,,56326000.0,ns,3991
cpu,heavy contention,parking_lot::Mutex,,,60210000.0,ns,4298
cpu,heavy contention,parking_lot::Mutex,,,65244000.0,ns,4605
cpu,heavy contention,parking_lot::Mutex,,,70308000.0,ns,4912
cpu,heavy contention,parking_lot::Mutex,,,69322000.0,ns,5219
cpu,heavy contention,parking_lot::Mutex,,,73504000.0,ns,5526
cpu,heavy contention,parking_lot::Mutex,,,75627000.0,ns,5833
cpu,heavy contention,parking_lot::Mutex,,,75757000.0,ns,6140
cpu,heavy contention,parking_lot::Mutex,,,79590000.0,ns,6447
cpu,heavy contention,parking_lot::Mutex,,,76720000.0,ns,6754
cpu,heavy contention,parking_lot::Mutex,,,84834000.0,ns,7061
cpu,heavy contention,parking_lot::Mutex,,,92814000.0,ns,7368
cpu,heavy contention,parking_lot::Mutex,,,92253000.0,ns,7675
cpu,heavy contention,parking_lot::Mutex,,,94371000.0,ns,7982
cpu,heavy contention,parking_lot::Mutex,,,100724000.0,ns,8289
cpu,heavy contention,parking_lot::Mutex,,,101540000.0,ns,8596
cpu,heavy contention,parking_lot::Mutex,,,107287000.0,ns,8903
cpu,heavy contention,parking_lot::Mutex,,,102245000.0,ns,9210
cpu,heavy contention,parking_lot::Mutex,,,104810000.0,ns,9517
cpu,heavy contention,parking_lot::Mutex,,,96397000.0,ns,9824
cpu,heavy contention,parking_lot::Mutex,,,113501000.0,ns,10131
cpu,heavy contention,parking_lot::Mutex,,,122664000.0,ns,10438
cpu,heavy contention,parking_lot::Mutex,,,121474000.0,ns,10745
cpu,heavy contention,parking_lot::Mutex,,,125375000.0,ns,11052
cpu,heavy contention,parking_lot::Mutex,,,129386000.0,ns,11359
cpu,heavy contention,parking_lot::Mutex,,,103144000.0,ns,11666
cpu,heavy contention,parking_lot::Mutex,,,133597000.0,ns,11973
cpu,heavy contention,parking_lot::Mutex,,,137186000.0,ns,12280
cpu,heavy contention,parking_lot::Mutex,,,139509000.0,ns,12587
cpu,heavy contention,parking_lot::Mutex,,,140504000.0,ns,12894
cpu,heavy contention,parking_lot::Mutex,,,146915000.0,ns,13201
cpu,heavy contention,parking_lot::Mutex,,,145836000.0,ns,13508
cpu,heavy contention,parking_lot::Mutex,,,152268000.0,ns,13815
cpu,heavy contention,parking_lot::Mutex,,,152381000.0,ns,14122
cpu,heavy contention,parking_lot::Mutex,,,139445000.0,ns,14429
cpu,heavy contention,parking_lot::Mutex,,,141650000.0,ns,14736
cpu,heavy contention,parking_lot::Mutex,,,160005000.0,ns,15043
cpu,heavy contention,parking_lot::Mutex,,,158900000.0,ns,15350
cpu,heavy contention,parking_lot::Mutex,,,168565000.0,ns,15657
cpu,heavy contention,parking_lot::Mutex,,,162705000.0,ns,15964
cpu,heavy contention,parking_lot::Mutex,,,171339000.0,ns,16271
cpu,heavy contention,parking_lot::Mutex,,,145726000.0,ns,16578
cpu,heavy contention,parking_lot::Mutex,,,160403000.0,ns,16885
cpu,heavy contention,parking_lot::Mutex,,,169185000.0,ns,17192
cpu,heavy contention,parking_lot::Mutex,,,181236000.0,ns,17499
cpu,heavy contention,parking_lot::Mutex,,,182087000.0,ns,17806
cpu,heavy contention,parking_lot::Mutex,,,161603000.0,ns,18113
cpu,heavy contention,parking_lot::Mutex,,,189152000.0,ns,18420
cpu,heavy contention,parking_lot::Mutex,,,173994000.0,ns,18727
cpu,heavy contention,parking_lot::Mutex,,,192756000.0,ns,19034
cpu,heavy contention,parking_lot::Mutex,,,196910000.0,ns,19341
cpu,heavy contention,parking_lot::Mutex,,,197918000.0,ns,19648
cpu,heavy contention,parking_lot::Mutex,,,199592000.0,ns,19955
cpu,heavy contention,parking_lot::Mutex,,,209358000.0,ns,20262
cpu,heavy contention,parking_lot::Mutex,,,212015000.0,ns,20569
cpu,heavy contention,parking_lot::Mutex,,,213956000.0,ns,20876
cpu,heavy contention,parking_lot::Mutex,,,212733000.0,ns,21183
cpu,heavy contention,parking_lot::Mutex,,,216287000.0,ns,21490
cpu,heavy contention,parking_lot::Mutex,,,210698000.0,ns,21797
cpu,heavy contention,parking_lot::Mutex,,,213545000.0,ns,22104
cpu,heavy contention,parking_lot::Mutex,,,225611000.0,ns,22411
cpu,heavy contention,parking_lot::Mutex,,,229133000.0,ns,22718
cpu,heavy contention,parking_lot::Mutex,,,220057000.0,ns,23025
cpu,heavy contention,parking_lot::Mutex,,,229474000.0,ns,23332
cpu,heavy contention,parking_lot::Mutex,,,223896000.0,ns,23639
cpu,heavy contention,parking_lot::Mutex,,,232731000.0,ns,23946
cpu,heavy contention,parking_lot::Mutex,,,234849000.0,ns,24253
cpu,heavy contention,parking_lot::Mutex,,,243221000.0,ns,24560
cpu,heavy contention,parking_lot::Mutex,,,222875000.0,ns,24867
cpu,heavy contention,parking_lot::Mutex,,,251223000.0,ns,25174
cpu,heavy contention,parking_lot::Mutex,,,254297000.0,ns,25481
cpu,heavy contention,parking_lot::Mutex,,,249040000.0,ns,25788
cpu,heavy contention,parking_lot::Mutex,,,223311000.0,ns,26095
cpu,heavy contention,parking_lot::Mutex,,,253192000.0,ns,26402
cpu,heavy contention,parking_lot::Mutex,,,258905000.0,ns,26709
cpu,heavy contention,parking_lot::Mutex,,,270222000.0,ns,27016
cpu,heavy contention,parking_lot::Mutex,,,265649000.0,ns,27323
cpu,heavy contention,parking_lot::Mutex,,,271075000.0,ns,27630
cpu,heavy contention,parking_lot::Mutex,,,271328000.0,ns,27937
cpu,heavy contention,parking_lot::Mutex,,,275096000.0,ns,28244
cpu,heavy contention,parking_lot::Mutex,,,281172000.0,ns,28551
cpu,heavy contention,parking_lot::Mutex,,,275701000.0,ns,28858
cpu,heavy contention,parking_lot::Mutex,,,276965000.0,ns,29165
cpu,heavy contention,parking_lot::Mutex,,,285206000.0,ns,29472
cpu,heavy contention,parking_lot::Mutex,,,289611000.0,ns,29779
cpu,heavy contention,parking_lot::Mutex,,,281707000.0,ns,30086
cpu,heavy contention,parking_lot::Mutex,,,271769000.0,ns,30393
cpu,heavy contention,parking_lot::Mutex,,,281099000.0,ns,30700
