group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,spin::Mutex,,,3030000.0,ns,84
cpu,heavy contention,spin::Mutex,,,3535000.0,ns,168
cpu,heavy contention,spin::Mutex,,,5840000.0,ns,252
cpu,heavy contention,spin::Mutex,,,7295000.0,ns,336
cpu,heavy contention,spin::Mutex,,,11340000.0,ns,420
cpu,heavy contention,spin::Mutex,,,5229000.0,ns,504
cpu,heavy contention,spin::Mutex,,,37754000.0,ns,588
cpu,heavy contention,spin::Mutex,,,22151000.0,ns,672
cpu,heavy contention,spin::Mutex,,,10235000.0,ns,756
cpu,heavy contention,spin::Mutex,,,17312000.0,ns,840
cpu,heavy contention,spin::Mutex,,,17730000.0,ns,924
cpu,heavy contention,spin::Mutex,,,82154000.0,ns,1008
cpu,heavy contention,spin::Mutex,,,20922000.0,ns,1092
cpu,heavy contention,spin::Mutex,,,36983000.0,ns,1176
cpu,heavy contention,spin::Mutex,,,23343000.0,ns,1260
cpu,heavy contention,spin::Mutex,,,25878000.0,ns,1344
cpu,heavy contention,spin::Mutex,,,25742000.0,ns,1428
cpu,heavy contention,spin::Mutex,,,76025000.0,ns,1512
cpu,heavy contention,spin::Mutex,,,30829000.0,ns,1596
cpu,heavy contention,spin::Mutex,,,28222000.0,ns,1680
cpu,heavy contention,spin::Mutex,,,57131000.0,ns,1764
cpu,heavy contention,spin::Mutex,,,32870000.0,ns,1848
cpu,heavy contention,spin::Mutex,,,80078000.0,ns,1932
cpu,heavy contention,spin::Mutex,,,36738000.0,ns,2016
cpu,heavy contention,spin::Mutex,,,42987000.0,ns,2100
cpu,heavy contention,spin::Mutex,,,37029000.0,ns,2184
cpu,heavy contention,spin::Mutex,,,55943000.0,ns,2268
cpu,heavy contention,spin::Mutex,,,51491000.0,ns,2352
cpu,heavy contention,spin::Mutex,,,93839000.0,ns,2436
cpu,heavy contention,spin::Mutex,,,40958000.0,ns,2520
cpu,heavy contention,spin::Mutex,,,73130000.0,ns,2604
cpu,heavy contention,spin::Mutex,,,30880000.0,ns,2688
cpu,heavy contention,spin::Mutex,,,41769000.0,ns,2772
cpu,heavy contention,spin::Mutex,,,60629000.0,ns,2856
cpu,heavy contention,spin::Mutex,,,74067000.0,ns,2940
cpu,heavy contention,spin::Mutex,,,39360000.0,ns,3024
cpu,heavy contention,spin::Mutex,,,48406000.0,ns,3108
cpu,heavy contention,spin::Mutex,,,106437000.0,ns,3192
cpu,heavy contention,spin::Mutex,,,49281000.0,ns,3276
cpu,heavy contention,spin::Mutex,,,66881000.0,ns,3360
cpu,heavy contention,spin::Mutex,,,96636000.0,ns,3444
cpu,heavy contention,spin::Mutex,,,45943000.0,ns,3528
cpu,heavy contention,spin::Mutex,,,46487000.0,ns,3612
cpu,heavy contention,spin::Mutex,,,49287000.0,ns,3696
cpu,heavy contention,spin::Mutex,,,59927000.0,ns,3780
cpu,heavy contention,spin::Mutex,,,69987000.0,ns,3864
cpu,heavy contention,spin::Mutex,,,62877000.0,ns,3948
cpu,heavy contention,spin::Mutex,,,52631000.0,ns,4032
cpu,heavy contention,spin::Mutex,,,45114000.0,ns,4116
cpu,heavy contention,spin::Mutex,,,600009000.0,ns,4200
cpu,heavy contention,spin::Mutex,,,71758000.0,ns,4284
cpu,heavy contention,spin::Mutex,,,59686000.0,ns,4368
cpu,heavy contention,spin::Mutex,,,80732000.0,ns,4452
cpu,heavy contention,spin::Mutex,,,62299000.0,ns,4536
cpu,heavy contention,spin::Mutex,,,98902000.0,ns,4620
cpu,heavy contention,spin::Mutex,,,64968000.0,ns,4704
cpu,heavy contention,spin::Mutex,,,71368000.0,ns,4788
cpu,heavy contention,spin::Mutex,,,64062000.0,ns,4872
cpu,heavy contention,spin::Mutex,,,61744000.0,ns,4956
cpu,heavy contention,spin::Mutex,,,70485000.0,ns,5040
cpu,heavy contention,spin::Mutex,,,67337000.0,ns,5124
cpu,heavy contention,spin::Mutex,,,78809000.0,ns,5208
cpu,heavy contention,spin::Mutex,,,125675000.0,ns,5292
cpu,heavy contention,spin::Mutex,,,77128000.0,ns,5376
cpu,heavy contention,spin::Mutex,,,283921000.0,ns,5460
cpu,heavy contention,spin::Mutex,,,56239000.0,ns,5544
cpu,heavy contention,spin::Mutex,,,76542000.0,ns,5628
cpu,heavy contention,spin::Mutex,,,83096000.0,ns,5712
cpu,heavy contention,spin::Mutex,,,82266000.0,ns,5796
cpu,heavy contention,spin::Mutex,,,93201000.0,ns,5880
cpu,heavy contention,spin::Mutex,,,78648000.0,ns,5964
cpu,heavy contention,spin::Mutex,,,194553000.0,ns,6048
cpu,heavy contention,spin::Mutex,,,84124000.0,ns,6132
cpu,heavy contention,spin::Mutex,,,134839000.0,ns,6216
cpu,heavy contention,spin::Mutex,,,113313000.0,ns,6300
cpu,heavy contention,spin::Mutex,,,73607000.0,ns,6384
cpu,heavy contention,spin::Mutex,,,99617000.0,ns,6468
cpu,heavy contention,spin::Mutex,,,63871000.0,ns,6552
cpu,heavy contention,spin::Mutex,,,86580000.0,ns,6636
cpu,heavy contention,spin::Mutex,,,111228000.0,ns,6720
cpu,heavy contention,spin::Mutex,,,56467000.0,ns,6804
cpu,heavy contention,spin::Mutex,,,67337000.0,ns,6888
cpu,heavy contention,spin::Mutex,,,102568000.0,ns,6972
cpu,heavy contention,spin::Mutex,,,362385000.0,ns,7056
cpu,heavy contention,spin::Mutex,,,95540000.0,ns,7140
cpu,heavy contention,spin::Mutex,,,87158000.0,ns,7224
cpu,heavy contention,spin::Mutex,,,89755000.0,ns,7308
cpu,heavy contention,spin::Mutex,,,83354000.0,ns,7392
cpu,heavy contention,spin::Mutex,,,125187000.0,ns,7476
cpu,heavy contention,spin::Mutex,,,98694000.0,ns,7560
cpu,heavy contention,spin::Mutex,,,333377000.0,ns,7644
cpu,heavy contention,spin::Mutex,,,99454000.0,ns,7728
cpu,heavy contention,spin::Mutex,,,94621000.0,ns,7812
cpu,heavy contention,spin::Mutex,,,337285000.0,ns,7896
cpu,heavy contention,spin::Mutex,,,204191000.0,ns,7980
cpu,heavy contention,spin::Mutex,,,156288000.0,ns,8064
cpu,heavy contention,spin::Mutex,,,124878000.0,ns,8148
cpu,heavy contention,spin::Mutex,,,82271000.0,ns,8232
cpu,heavy contention,spin::Mutex,,,99821000.0,ns,8316
cpu,heavy contention,spin::Mutex,,,98246000.0,ns,8400
