group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,heavy contention,std::sync::Mutex,,,7554000.0,ns,161
cpu,heavy contention,std::sync::Mutex,,,9626000.0,ns,322
cpu,heavy contention,std::sync::Mutex,,,18768000.0,ns,483
cpu,heavy contention,std::sync::Mutex,,,24488000.0,ns,644
cpu,heavy contention,std::sync::Mutex,,,33392000.0,ns,805
cpu,heavy contention,std::sync::Mutex,,,33414000.0,ns,966
cpu,heavy contention,std::sync::Mutex,,,38270000.0,ns,1127
cpu,heavy contention,std::sync::Mutex,,,37734000.0,ns,1288
cpu,heavy contention,std::sync::Mutex,,,46608000.0,ns,1449
cpu,heavy contention,std::sync::Mutex,,,47387000.0,ns,1610
cpu,heavy contention,std::sync::Mutex,,,46982000.0,ns,1771
cpu,heavy contention,std::sync::Mutex,,,58109000.0,ns,1932
cpu,heavy contention,std::sync::Mutex,,,58399000.0,ns,2093
cpu,heavy contention,std::sync::Mutex,,,62383000.0,ns,2254
cpu,heavy contention,std::sync::Mutex,,,57162000.0,ns,2415
cpu,heavy contention,std::sync::Mutex,,,71767000.0,ns,2576
cpu,heavy contention,std::sync::Mutex,,,73605000.0,ns,2737
cpu,heavy contention,std::sync::Mutex,,,80209000.0,ns,2898
cpu,heavy contention,std::sync::Mutex,,,80387000.0,ns,3059
cpu,heavy contention,std::sync::Mutex,,,86375000.0,ns,3220
cpu,heavy contention,std::sync::Mutex,,,81492000.0,ns,3381
cpu,heavy contention,std::sync::Mutex,,,90291000.0,ns,3542
cpu,heavy contention,std::sync::Mutex,,,76553000.0,ns,3703
cpu,heavy contention,std::sync::Mutex,,,93512000.0,ns,3864
cpu,heavy contention,std::sync::Mutex,,,97172000.0,ns,4025
cpu,heavy contention,std::sync::Mutex,,,100310000.0,ns,4186
cpu,heavy contention,std::sync::Mutex,,,104383000.0,ns,4347
cpu,heavy contention,std::sync::Mutex,,,104800000.0,ns,4508
cpu,heavy contention,std::sync::Mutex,,,106299000.0,ns,4669
cpu,heavy contention,std::sync::Mutex,,,109638000.0,ns,4830
cpu,heavy contention,std::sync::Mutex,,,115908000.0,ns,4991
cpu,heavy contention,std::sync::Mutex,,,117573000.0,ns,5152
cpu,heavy contention,std::sync::Mutex,,,126701000.0,ns,5313
cpu,heavy contention,std::sync::Mutex,,,122867000.0,ns,5474
cpu,heavy contention,std::sync::Mutex,,,127866000.0,ns,5635
cpu,heavy contention,std::sync::Mutex,,,133650000.0,ns,5796
cpu,heavy contention,std::sync::Mutex,,,134683000.0,ns,5957
