group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,AmdSpinlock,,,3945000.0,ns,119
cpu,light contention,AmdSpinlock,,,6089000.0,ns,238
cpu,light contention,AmdSpinlock,,,10337000.0,ns,357
cpu,light contention,AmdSpinlock,,,11345000.0,ns,476
cpu,light contention,AmdSpinlock,,,15165000.0,ns,595
cpu,light contention,AmdSpinlock,,,13177000.0,ns,714
cpu,light contention,AmdSpinlock,,,10393000.0,ns,833
cpu,light contention,AmdSpinlock,,,18022000.0,ns,952
cpu,light contention,AmdSpinlock,,,21245000.0,ns,1071
cpu,light contention,AmdSpinlock,,,23005000.0,ns,1190
cpu,light contention,AmdSpinlock,,,42659000.0,ns,1309
cpu,light contention,AmdSpinlock,,,28319000.0,ns,1428
cpu,light contention,AmdSpinlock,,,29739000.0,ns,1547
cpu,light contention,AmdSpinlock,,,30196000.0,ns,1666
cpu,light contention,AmdSpinlock,,,60768000.0,ns,1785
cpu,light contention,AmdSpinlock,,,29529000.0,ns,1904
cpu,light contention,AmdSpinlock,,,31826000.0,ns,2023
cpu,light contention,AmdSpinlock,,,33846000.0,ns,2142
cpu,light contention,AmdSpinlock,,,37617000.0,ns,2261
cpu,light contention,AmdSpinlock,,,34486000.0,ns,2380
cpu,light contention,AmdSpinlock,,,39553000.0,ns,2499
cpu,light contention,AmdSpinlock,,,30292000.0,ns,2618
cpu,light contention,AmdSpinlock,,,34276000.0,ns,2737
cpu,light contention,AmdSpinlock,,,31910000.0,ns,2856
cpu,light contention,AmdSpinlock,,,35369000.0,ns,2975
cpu,light contention,AmdSpinlock,,,54314000.0,ns,3094
cpu,light contention,AmdSpinlock,,,54219000.0,ns,3213
cpu,light contention,AmdSpinlock,,,52827000.0,ns,3332
cpu,light contention,AmdSpinlock,,,74731000.0,ns,3451
cpu,light contention,AmdSpinlock,,,45153000.0,ns,3570
cpu,light contention,AmdSpinlock,,,40778000.0,ns,3689
cpu,light contention,AmdSpinlock,,,122960000.0,ns,3808
cpu,light contention,AmdSpinlock,,,51707000.0,ns,3927
cpu,light contention,AmdSpinlock,,,57451000.0,ns,4046
cpu,light contention,AmdSpinlock,,,56656000.0,ns,4165
cpu,light contention,AmdSpinlock,,,59809000.0,ns,4284
cpu,light contention,AmdSpinlock,,,85977000.0,ns,4403
cpu,light contention,AmdSpinlock,,,87763000.0,ns,4522
cpu,light contention,AmdSpinlock,,,81962000.0,ns,4641
cpu,light contention,AmdSpinlock,,,65397000.0,ns,4760
cpu,light contention,AmdSpinlock,,,72252000.0,ns,4879
cpu,light contention,AmdSpinlock,,,139909000.0,ns,4998
cpu,light contention,AmdSpinlock,,,64029000.0,ns,5117
cpu,light contention,AmdSpinlock,,,72351000.0,ns,5236
cpu,light contention,AmdSpinlock,,,62309000.0,ns,5355
cpu,light contention,AmdSpinlock,,,69109000.0,ns,5474
cpu,light contention,AmdSpinlock,,,74543000.0,ns,5593
cpu,light contention,AmdSpinlock,,,70411000.0,ns,5712
cpu,light contention,AmdSpinlock,,,333576000.0,ns,5831
cpu,light contention,AmdSpinlock,,,77289000.0,ns,5950
cpu,light contention,AmdSpinlock,,,76121000.0,ns,6069
cpu,light contention,AmdSpinlock,,,52037000.0,ns,6188
cpu,light contention,AmdSpinlock,,,98667000.0,ns,6307
cpu,light contention,AmdSpinlock,,,80881000.0,ns,6426
cpu,light contention,AmdSpinlock,,,83244000.0,ns,6545
cpu,light contention,AmdSpinlock,,,106333000.0,ns,6664
cpu,light contention,AmdSpinlock,,,84918000.0,ns,6783
cpu,light contention,AmdSpinlock,,,84199000.0,ns,6902
cpu,light contention,AmdSpinlock,,,87442000.0,ns,7021
cpu,light contention,AmdSpinlock,,,570248000.0,ns,7140
cpu,light contention,AmdSpinlock,,,89830000.0,ns,7259
cpu,light contention,AmdSpinlock,,,92257000.0,ns,7378
cpu,light contention,AmdSpinlock,,,92541000.0,ns,7497
cpu,light contention,AmdSpinlock,,,108131000.0,ns,7616
cpu,light contention,AmdSpinlock,,,93121000.0,ns,7735
cpu,light contention,AmdSpinlock,,,94947000.0,ns,7854
cpu,light contention,AmdSpinlock,,,124012000.0,ns,7973
