group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,parking_lot::Mutex,,,8882000.0,ns,309
cpu,light contention,parking_lot::Mutex,,,14327000.0,ns,618
cpu,light contention,parking_lot::Mutex,,,18468000.0,ns,927
cpu,light contention,parking_lot::Mutex,,,22371000.0,ns,1236
cpu,light contention,parking_lot::Mutex,,,29533000.0,ns,1545
cpu,light contention,parking_lot::Mutex,,,33036000.0,ns,1854
cpu,light contention,parking_lot::Mutex,,,37081000.0,ns,2163
cpu,light contention,parking_lot::Mutex,,,38975000.0,ns,2472
cpu,light contention,parking_lot::Mutex,,,41987000.0,ns,2781
cpu,light contention,parking_lot::Mutex,,,49066000.0,ns,3090
cpu,light contention,parking_lot::Mutex,,,29630000.0,ns,3399
cpu,light contention,parking_lot::Mutex,,,55100000.0,ns,3708
cpu,light contention,parking_lot::Mutex,,,54847000.0,ns,4017
cpu,light contention,parking_lot::Mutex,,,55757000.0,ns,4326
cpu,light contention,parking_lot::Mutex,,,65386000.0,ns,4635
cpu,light contention,parking_lot::Mutex,,,55986000.0,ns,4944
cpu,light contention,parking_lot::Mutex,,,55721000.0,ns,5253
cpu,light contention,parking_lot::Mutex,,,60263000.0,ns,5562
cpu,light contention,parking_lot::Mutex,,,61060000.0,ns,5871
cpu,light contention,parking_lot::Mutex,,,79335000.0,ns,6180
cpu,light contention,parking_lot::Mutex,,,75403000.0,ns,6489
cpu,light contention,parking_lot::Mutex,,,81068000.0,ns,6798
cpu,light contention,parking_lot::Mutex,,,88706000.0,ns,7107
cpu,light contention,parking_lot::Mutex,,,92974000.0,ns,7416
cpu,light contention,parking_lot::Mutex,,,94123000.0,ns,7725
cpu,light contention,parking_lot::Mutex,,,96579000.0,ns,8034
cpu,light contention,parking_lot::Mutex,,,101654000.0,ns,8343
cpu,light contention,parking_lot::Mutex,,,102462000.0,ns,8652
cpu,light contention,parking_lot::Mutex,,,106517000.0,ns,8961
cpu,light contention,parking_lot::Mutex,,,93693000.0,ns,9270
cpu,light contention,parking_lot::Mutex,,,90925000.0,ns,9579
cpu,light contention,parking_lot::Mutex,,,102340000.0,ns,9888
cpu,light contention,parking_lot::Mutex,,,113616000.0,ns,10197
cpu,light contention,parking_lot::Mutex,,,95665000.0,ns,10506
cpu,light contention,parking_lot::Mutex,,,119518000.0,ns,10815
cpu,light contention,parking_lot::Mutex,,,105520000.0,ns,11124
cpu,light contention,parking_lot::Mutex,,,125862000.0,ns,11433
cpu,light contention,parking_lot::Mutex,,,103476000.0,ns,11742
cpu,light contention,parking_lot::Mutex,,,134702000.0,ns,12051
cpu,light contention,parking_lot::Mutex,,,136688000.0,ns,12360
cpu,light contention,parking_lot::Mutex,,,136679000.0,ns,12669
cpu,light contention,parking_lot::Mutex,,,140077000.0,ns,12978
cpu,light contention,parking_lot::Mutex,,,136137000.0,ns,13287
cpu,light contention,parking_lot::Mutex,,,138283000.0,ns,13596
cpu,light contention,parking_lot::Mutex,,,118202000.0,ns,13905
cpu,light contention,parking_lot::Mutex,,,147118000.0,ns,14214
cpu,light contention,parking_lot::Mutex,,,153066000.0,ns,14523
cpu,light contention,parking_lot::Mutex,,,149980000.0,ns,14832
cpu,light contention,parking_lot::Mutex,,,157046000.0,ns,15141
