group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,spin::Mutex,,,3171000.0,ns,87
cpu,light contention,spin::Mutex,,,5896000.0,ns,174
cpu,light contention,spin::Mutex,,,8470000.0,ns,261
cpu,light contention,spin::Mutex,,,4702000.0,ns,348
cpu,light contention,spin::Mutex,,,8740000.0,ns,435
cpu,light contention,spin::Mutex,,,13182000.0,ns,522
cpu,light contention,spin::Mutex,,,12389000.0,ns,609
cpu,light contention,spin::Mutex,,,13727000.0,ns,696
cpu,light contention,spin::Mutex,,,15056000.0,ns,783
cpu,light contention,spin::Mutex,,,16417000.0,ns,870
cpu,light contention,spin::Mutex,,,19839000.0,ns,957
cpu,light contention,spin::Mutex,,,19950000.0,ns,1044
cpu,light contention,spin::Mutex,,,12965000.0,ns,1131
cpu,light contention,spin::Mutex,,,26184000.0,ns,1218
cpu,light contention,spin::Mutex,,,25471000.0,ns,1305
cpu,light contention,spin::Mutex,,,22910000.0,ns,1392
cpu,light contention,spin::Mutex,,,24296000.0,ns,1479
cpu,light contention,spin::Mutex,,,19111000.0,ns,1566
cpu,light contention,spin::Mutex,,,30065000.0,ns,1653
cpu,light contention,spin::Mutex,,,25317000.0,ns,1740
cpu,light contention,spin::Mutex,,,33570000.0,ns,1827
cpu,light contention,spin::Mutex,,,27687000.0,ns,1914
cpu,light contention,spin::Mutex,,,33322000.0,ns,2001
cpu,light contention,spin::Mutex,,,29930000.0,ns,2088
cpu,light contention,spin::Mutex,,,23325000.0,ns,2175
cpu,light contention,spin::Mutex,,,32707000.0,ns,2262
cpu,light contention,spin::Mutex,,,40821000.0,ns,2349
cpu,light contention,spin::Mutex,,,36058000.0,ns,2436
cpu,light contention,spin::Mutex,,,34386000.0,ns,2523
cpu,light contention,spin::Mutex,,,38562000.0,ns,2610
cpu,light contention,spin::Mutex,,,42223000.0,ns,2697
cpu,light contention,spin::Mutex,,,47976000.0,ns,2784
cpu,light contention,spin::Mutex,,,33037000.0,ns,2871
cpu,light contention,spin::Mutex,,,37321000.0,ns,2958
cpu,light contention,spin::Mutex,,,26136000.0,ns,3045
cpu,light contention,spin::Mutex,,,47514000.0,ns,3132
cpu,light contention,spin::Mutex,,,46997000.0,ns,3219
cpu,light contention,spin::Mutex,,,41852000.0,ns,3306
cpu,light contention,spin::Mutex,,,48470000.0,ns,3393
cpu,light contention,spin::Mutex,,,49446000.0,ns,3480
cpu,light contention,spin::Mutex,,,46536000.0,ns,3567
cpu,light contention,spin::Mutex,,,53203000.0,ns,3654
cpu,light contention,spin::Mutex,,,42427000.0,ns,3741
cpu,light contention,spin::Mutex,,,52984000.0,ns,3828
cpu,light contention,spin::Mutex,,,45877000.0,ns,3915
cpu,light contention,spin::Mutex,,,55957000.0,ns,4002
cpu,light contention,spin::Mutex,,,55336000.0,ns,4089
cpu,light contention,spin::Mutex,,,56758000.0,ns,4176
cpu,light contention,spin::Mutex,,,99509000.0,ns,4263
cpu,light contention,spin::Mutex,,,61078000.0,ns,4350
cpu,light contention,spin::Mutex,,,68109000.0,ns,4437
cpu,light contention,spin::Mutex,,,309898000.0,ns,4524
cpu,light contention,spin::Mutex,,,62316000.0,ns,4611
cpu,light contention,spin::Mutex,,,112264000.0,ns,4698
cpu,light contention,spin::Mutex,,,84709000.0,ns,4785
cpu,light contention,spin::Mutex,,,63670000.0,ns,4872
cpu,light contention,spin::Mutex,,,75183000.0,ns,4959
cpu,light contention,spin::Mutex,,,67020000.0,ns,5046
cpu,light contention,spin::Mutex,,,89663000.0,ns,5133
cpu,light contention,spin::Mutex,,,54801000.0,ns,5220
cpu,light contention,spin::Mutex,,,68087000.0,ns,5307
cpu,light contention,spin::Mutex,,,75779000.0,ns,5394
cpu,light contention,spin::Mutex,,,67941000.0,ns,5481
cpu,light contention,spin::Mutex,,,71912000.0,ns,5568
cpu,light contention,spin::Mutex,,,67618000.0,ns,5655
cpu,light contention,spin::Mutex,,,94615000.0,ns,5742
cpu,light contention,spin::Mutex,,,55254000.0,ns,5829
cpu,light contention,spin::Mutex,,,75049000.0,ns,5916
cpu,light contention,spin::Mutex,,,85735000.0,ns,6003
cpu,light contention,spin::Mutex,,,50698000.0,ns,6090
cpu,light contention,spin::Mutex,,,97463000.0,ns,6177
cpu,light contention,spin::Mutex,,,78995000.0,ns,6264
cpu,light contention,spin::Mutex,,,79295000.0,ns,6351
cpu,light contention,spin::Mutex,,,77412000.0,ns,6438
cpu,light contention,spin::Mutex,,,79023000.0,ns,6525
cpu,light contention,spin::Mutex,,,70047000.0,ns,6612
cpu,light contention,spin::Mutex,,,351978000.0,ns,6699
cpu,light contention,spin::Mutex,,,87935000.0,ns,6786
cpu,light contention,spin::Mutex,,,104673000.0,ns,6873
cpu,light contention,spin::Mutex,,,79645000.0,ns,6960
cpu,light contention,spin::Mutex,,,85102000.0,ns,7047
cpu,light contention,spin::Mutex,,,78790000.0,ns,7134
cpu,light contention,spin::Mutex,,,85565000.0,ns,7221
cpu,light contention,spin::Mutex,,,81764000.0,ns,7308
cpu,light contention,spin::Mutex,,,88848000.0,ns,7395
cpu,light contention,spin::Mutex,,,112977000.0,ns,7482
cpu,light contention,spin::Mutex,,,108361000.0,ns,7569
cpu,light contention,spin::Mutex,,,97316000.0,ns,7656
cpu,light contention,spin::Mutex,,,93789000.0,ns,7743
cpu,light contention,spin::Mutex,,,581373000.0,ns,7830
cpu,light contention,spin::Mutex,,,88082000.0,ns,7917
cpu,light contention,spin::Mutex,,,78264000.0,ns,8004
cpu,light contention,spin::Mutex,,,146371000.0,ns,8091
cpu,light contention,spin::Mutex,,,91249000.0,ns,8178
cpu,light contention,spin::Mutex,,,113166000.0,ns,8265
cpu,light contention,spin::Mutex,,,97066000.0,ns,8352
cpu,light contention,spin::Mutex,,,82829000.0,ns,8439
