group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,light contention,std::sync::Mutex,,,8997000.0,ns,278
cpu,light contention,std::sync::Mutex,,,9863000.0,ns,556
cpu,light contention,std::sync::Mutex,,,13717000.0,ns,834
cpu,light contention,std::sync::Mutex,,,15267000.0,ns,1112
cpu,light contention,std::sync::Mutex,,,30115000.0,ns,1390
cpu,light contention,std::sync::Mutex,,,37525000.0,ns,1668
cpu,light contention,std::sync::Mutex,,,36821000.0,ns,1946
cpu,light contention,std::sync::Mutex,,,45784000.0,ns,2224
cpu,light contention,std::sync::Mutex,,,46677000.0,ns,2502
cpu,light contention,std::sync::Mutex,,,53566000.0,ns,2780
cpu,light contention,std::sync::Mutex,,,54260000.0,ns,3058
cpu,light contention,std::sync::Mutex,,,58033000.0,ns,3336
cpu,light contention,std::sync::Mutex,,,67107000.0,ns,3614
cpu,light contention,std::sync::Mutex,,,70071000.0,ns,3892
cpu,light contention,std::sync::Mutex,,,75300000.0,ns,4170
cpu,light contention,std::sync::Mutex,,,74812000.0,ns,4448
cpu,light contention,std::sync::Mutex,,,80693000.0,ns,4726
cpu,light contention,std::sync::Mutex,,,84905000.0,ns,5004
cpu,light contention,std::sync::Mutex,,,81439000.0,ns,5282
cpu,light contention,std::sync::Mutex,,,92908000.0,ns,5560
cpu,light contention,std::sync::Mutex,,,93467000.0,ns,5838
cpu,light contention,std::sync::Mutex,,,83624000.0,ns,6116
cpu,light contention,std::sync::Mutex,,,101147000.0,ns,6394
cpu,light contention,std::sync::Mutex,,,99421000.0,ns,6672
cpu,light contention,std::sync::Mutex,,,87018000.0,ns,6950
cpu,light contention,std::sync::Mutex,,,87840000.0,ns,7228
cpu,light contention,std::sync::Mutex,,,109753000.0,ns,7506
cpu,light contention,std::sync::Mutex,,,109766000.0,ns,7784
cpu,light contention,std::sync::Mutex,,,123501000.0,ns,8062
cpu,light contention,std::sync::Mutex,,,107341000.0,ns,8340
cpu,light contention,std::sync::Mutex,,,125521000.0,ns,8618
cpu,light contention,std::sync::Mutex,,,129330000.0,ns,8896
cpu,light contention,std::sync::Mutex,,,131988000.0,ns,9174
cpu,light contention,std::sync::Mutex,,,134143000.0,ns,9452
cpu,light contention,std::sync::Mutex,,,134469000.0,ns,9730
cpu,light contention,std::sync::Mutex,,,143701000.0,ns,10008
cpu,light contention,std::sync::Mutex,,,146540000.0,ns,10286
cpu,light contention,std::sync::Mutex,,,144581000.0,ns,10564
cpu,light contention,std::sync::Mutex,,,151951000.0,ns,10842
cpu,light contention,std::sync::Mutex,,,145389000.0,ns,11120
cpu,light contention,std::sync::Mutex,,,154880000.0,ns,11398
cpu,light contention,std::sync::Mutex,,,162340000.0,ns,11676
cpu,light contention,std::sync::Mutex,,,160959000.0,ns,11954
cpu,light contention,std::sync::Mutex,,,160560000.0,ns,12232
cpu,light contention,std::sync::Mutex,,,152815000.0,ns,12510
cpu,light contention,std::sync::Mutex,,,167539000.0,ns,12788
cpu,light contention,std::sync::Mutex,,,160060000.0,ns,13066
cpu,light contention,std::sync::Mutex,,,161094000.0,ns,13344
cpu,light contention,std::sync::Mutex,,,188325000.0,ns,13622
cpu,light contention,std::sync::Mutex,,,180456000.0,ns,13900
cpu,light contention,std::sync::Mutex,,,185793000.0,ns,14178
cpu,light contention,std::sync::Mutex,,,190092000.0,ns,14456
cpu,light contention,std::sync::Mutex,,,193130000.0,ns,14734
cpu,light contention,std::sync::Mutex,,,195942000.0,ns,15012
cpu,light contention,std::sync::Mutex,,,194387000.0,ns,15290
cpu,light contention,std::sync::Mutex,,,203509000.0,ns,15568
cpu,light contention,std::sync::Mutex,,,174342000.0,ns,15846
cpu,light contention,std::sync::Mutex,,,193678000.0,ns,16124
cpu,light contention,std::sync::Mutex,,,205182000.0,ns,16402
cpu,light contention,std::sync::Mutex,,,214903000.0,ns,16680
cpu,light contention,std::sync::Mutex,,,218040000.0,ns,16958
cpu,light contention,std::sync::Mutex,,,190638000.0,ns,17236
cpu,light contention,std::sync::Mutex,,,223013000.0,ns,17514
cpu,light contention,std::sync::Mutex,,,231296000.0,ns,17792
cpu,light contention,std::sync::Mutex,,,221453000.0,ns,18070
cpu,light contention,std::sync::Mutex,,,226711000.0,ns,18348
cpu,light contention,std::sync::Mutex,,,230358000.0,ns,18626
cpu,light contention,std::sync::Mutex,,,247444000.0,ns,18904
cpu,light contention,std::sync::Mutex,,,243157000.0,ns,19182
cpu,light contention,std::sync::Mutex,,,247146000.0,ns,19460
cpu,light contention,std::sync::Mutex,,,254274000.0,ns,19738
cpu,light contention,std::sync::Mutex,,,223983000.0,ns,20016
cpu,light contention,std::sync::Mutex,,,256466000.0,ns,20294
cpu,light contention,std::sync::Mutex,,,257606000.0,ns,20572
cpu,light contention,std::sync::Mutex,,,259217000.0,ns,20850
cpu,light contention,std::sync::Mutex,,,259316000.0,ns,21128
cpu,light contention,std::sync::Mutex,,,278299000.0,ns,21406
cpu,light contention,std::sync::Mutex,,,283428000.0,ns,21684
cpu,light contention,std::sync::Mutex,,,271583000.0,ns,21962
