group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,no contention,AmdSpinlock,,,1212000.0,ns,1
cpu,no contention,AmdSpinlock,,,966000.0,ns,2
cpu,no contention,AmdSpinlock,,,4113000.0,ns,3
cpu,no contention,AmdSpinlock,,,2925000.0,ns,4
cpu,no contention,AmdSpinlock,,,1791000.0,ns,5
cpu,no contention,AmdSpinlock,,,2087000.0,ns,6
cpu,no contention,AmdSpinlock,,,661000.0,ns,7
cpu,no contention,AmdSpinlock,,,773000.0,ns,8
cpu,no contention,AmdSpinlock,,,1814000.0,ns,9
cpu,no contention,AmdSpinlock,,,2823000.0,ns,10
cpu,no contention,AmdSpinlock,,,2576000.0,ns,11
cpu,no contention,AmdSpinlock,,,1682000.0,ns,12
cpu,no contention,AmdSpinlock,,,2704000.0,ns,13
cpu,no contention,AmdSpinlock,,,1001000.0,ns,14
cpu,no contention,AmdSpinlock,,,1091000.0,ns,15
cpu,no contention,AmdSpinlock,,,1588000.0,ns,16
cpu,no contention,AmdSpinlock,,,1345000.0,ns,17
cpu,no contention,AmdSpinlock,,,2148000.0,ns,18
cpu,no contention,AmdSpinlock,,,2277000.0,ns,19
cpu,no contention,AmdSpinlock,,,1477000.0,ns,20
cpu,no contention,AmdSpinlock,,,3045000.0,ns,21
cpu,no contention,AmdSpinlock,,,1891000.0,ns,22
cpu,no contention,AmdSpinlock,,,1428000.0,ns,23
cpu,no contention,AmdSpinlock,,,5749000.0,ns,24
cpu,no contention,AmdSpinlock,,,2130000.0,ns,25
cpu,no contention,AmdSpinlock,,,2022000.0,ns,26
cpu,no contention,AmdSpinlock,,,1709000.0,ns,27
cpu,no contention,AmdSpinlock,,,2049000.0,ns,28
cpu,no contention,AmdSpinlock,,,1918000.0,ns,29
cpu,no contention,AmdSpinlock,,,6113000.0,ns,30
cpu,no contention,AmdSpinlock,,,1987000.0,ns,31
cpu,no contention,AmdSpinlock,,,3013000.0,ns,32
cpu,no contention,AmdSpinlock,,,1576000.0,ns,33
cpu,no contention,AmdSpinlock,,,5166000.0,ns,34
cpu,no contention,AmdSpinlock,,,1882000.0,ns,35
cpu,no contention,AmdSpinlock,,,2813000.0,ns,36
cpu,no contention,AmdSpinlock,,,2683000.0,ns,37
cpu,no contention,AmdSpinlock,,,4096000.0,ns,38
cpu,no contention,AmdSpinlock,,,2662000.0,ns,39
cpu,no contention,AmdSpinlock,,,1780000.0,ns,40
cpu,no contention,AmdSpinlock,,,3365000.0,ns,41
cpu,no contention,AmdSpinlock,,,2155000.0,ns,42
cpu,no contention,AmdSpinlock,,,2090000.0,ns,43
cpu,no contention,AmdSpinlock,,,4281000.0,ns,44
cpu,no contention,AmdSpinlock,,,1661000.0,ns,45
cpu,no contention,AmdSpinlock,,,2422000.0,ns,46
