group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,no contention,parking_lot::Mutex,,,2832000.0,ns,1
cpu,no contention,parking_lot::Mutex,,,3113000.0,ns,2
cpu,no contention,parking_lot::Mutex,,,3796000.0,ns,3
cpu,no contention,parking_lot::Mutex,,,2066000.0,ns,4
cpu,no contention,parking_lot::Mutex,,,1345000.0,ns,5
cpu,no contention,parking_lot::Mutex,,,2292000.0,ns,6
cpu,no contention,parking_lot::Mutex,,,3114000.0,ns,7
cpu,no contention,parking_lot::Mutex,,,436000.0,ns,8
cpu,no contention,parking_lot::Mutex,,,1515000.0,ns,9
cpu,no contention,parking_lot::Mutex,,,2780000.0,ns,10
cpu,no contention,parking_lot::Mutex,,,1854000.0,ns,11
cpu,no contention,parking_lot::Mutex,,,3481000.0,ns,12
cpu,no contention,parking_lot::Mutex,,,3268000.0,ns,13
cpu,no contention,parking_lot::Mutex,,,1399000.0,ns,14
cpu,no contention,parking_lot::Mutex,,,3995000.0,ns,15
cpu,no contention,parking_lot::Mutex,,,3119000.0,ns,16
cpu,no contention,parking_lot::Mutex,,,1797000.0,ns,17
cpu,no contention,parking_lot::Mutex,,,3188000.0,ns,18
cpu,no contention,parking_lot::Mutex,,,3956000.0,ns,19
cpu,no contention,parking_lot::Mutex,,,1629000.0,ns,20
cpu,no contention,parking_lot::Mutex,,,1680000.0,ns,21
cpu,no contention,parking_lot::Mutex,,,3748000.0,ns,22
cpu,no contention,parking_lot::Mutex,,,2902000.0,ns,23
cpu,no contention,parking_lot::Mutex,,,3407000.0,ns,24
cpu,no contention,parking_lot::Mutex,,,3772000.0,ns,25
cpu,no contention,parking_lot::Mutex,,,1657000.0,ns,26
cpu,no contention,parking_lot::Mutex,,,1759000.0,ns,27
cpu,no contention,parking_lot::Mutex,,,1963000.0,ns,28
cpu,no contention,parking_lot::Mutex,,,1878000.0,ns,29
cpu,no contention,parking_lot::Mutex,,,2242000.0,ns,30
cpu,no contention,parking_lot::Mutex,,,1805000.0,ns,31
cpu,no contention,parking_lot::Mutex,,,2367000.0,ns,32
cpu,no contention,parking_lot::Mutex,,,2188000.0,ns,33
cpu,no contention,parking_lot::Mutex,,,3785000.0,ns,34
cpu,no contention,parking_lot::Mutex,,,3007000.0,ns,35
cpu,no contention,parking_lot::Mutex,,,3626000.0,ns,36
cpu,no contention,parking_lot::Mutex,,,1825000.0,ns,37
cpu,no contention,parking_lot::Mutex,,,1905000.0,ns,38
cpu,no contention,parking_lot::Mutex,,,4297000.0,ns,39
cpu,no contention,parking_lot::Mutex,,,2228000.0,ns,40
cpu,no contention,parking_lot::Mutex,,,3782000.0,ns,41
cpu,no contention,parking_lot::Mutex,,,6013000.0,ns,42
cpu,no contention,parking_lot::Mutex,,,3781000.0,ns,43
cpu,no contention,parking_lot::Mutex,,,5921000.0,ns,44
cpu,no contention,parking_lot::Mutex,,,2408000.0,ns,45
cpu,no contention,parking_lot::Mutex,,,1986000.0,ns,46
cpu,no contention,parking_lot::Mutex,,,4320000.0,ns,47
cpu,no contention,parking_lot::Mutex,,,4748000.0,ns,48
cpu,no contention,parking_lot::Mutex,,,2296000.0,ns,49
cpu,no contention,parking_lot::Mutex,,,3635000.0,ns,50
cpu,no contention,parking_lot::Mutex,,,2522000.0,ns,51
cpu,no contention,parking_lot::Mutex,,,2929000.0,ns,52
cpu,no contention,parking_lot::Mutex,,,2314000.0,ns,53
cpu,no contention,parking_lot::Mutex,,,1843000.0,ns,54
cpu,no contention,parking_lot::Mutex,,,3349000.0,ns,55
cpu,no contention,parking_lot::Mutex,,,4880000.0,ns,56
cpu,no contention,parking_lot::Mutex,,,3899000.0,ns,57
cpu,no contention,parking_lot::Mutex,,,4751000.0,ns,58
cpu,no contention,parking_lot::Mutex,,,2210000.0,ns,59
cpu,no contention,parking_lot::Mutex,,,3623000.0,ns,60
cpu,no contention,parking_lot::Mutex,,,2018000.0,ns,61
cpu,no contention,parking_lot::Mutex,,,2638000.0,ns,62
cpu,no contention,parking_lot::Mutex,,,4715000.0,ns,63
cpu,no contention,parking_lot::Mutex,,,2821000.0,ns,64
cpu,no contention,parking_lot::Mutex,,,2523000.0,ns,65
cpu,no contention,parking_lot::Mutex,,,2710000.0,ns,66
cpu,no contention,parking_lot::Mutex,,,4688000.0,ns,67
cpu,no contention,parking_lot::Mutex,,,2681000.0,ns,68
cpu,no contention,parking_lot::Mutex,,,2419000.0,ns,69
cpu,no contention,parking_lot::Mutex,,,4269000.0,ns,70
cpu,no contention,parking_lot::Mutex,,,1419000.0,ns,71
cpu,no contention,parking_lot::Mutex,,,1802000.0,ns,72
cpu,no contention,parking_lot::Mutex,,,1406000.0,ns,73
cpu,no contention,parking_lot::Mutex,,,3875000.0,ns,74
cpu,no contention,parking_lot::Mutex,,,2741000.0,ns,75
cpu,no contention,parking_lot::Mutex,,,1777000.0,ns,76
cpu,no contention,parking_lot::Mutex,,,4974000.0,ns,77
cpu,no contention,parking_lot::Mutex,,,4405000.0,ns,78
cpu,no contention,parking_lot::Mutex,,,4259000.0,ns,79
cpu,no contention,parking_lot::Mutex,,,2561000.0,ns,80
cpu,no contention,parking_lot::Mutex,,,4389000.0,ns,81
cpu,no contention,parking_lot::Mutex,,,2334000.0,ns,82
cpu,no contention,parking_lot::Mutex,,,3753000.0,ns,83
cpu,no contention,parking_lot::Mutex,,,4524000.0,ns,84
cpu,no contention,parking_lot::Mutex,,,3114000.0,ns,85
cpu,no contention,parking_lot::Mutex,,,2652000.0,ns,86
cpu,no contention,parking_lot::Mutex,,,3178000.0,ns,87
cpu,no contention,parking_lot::Mutex,,,3387000.0,ns,88
cpu,no contention,parking_lot::Mutex,,,2587000.0,ns,89
cpu,no contention,parking_lot::Mutex,,,4806000.0,ns,90
cpu,no contention,parking_lot::Mutex,,,4038000.0,ns,91
cpu,no contention,parking_lot::Mutex,,,3415000.0,ns,92
cpu,no contention,parking_lot::Mutex,,,3453000.0,ns,93
cpu,no contention,parking_lot::Mutex,,,4784000.0,ns,94
cpu,no contention,parking_lot::Mutex,,,4503000.0,ns,95
cpu,no contention,parking_lot::Mutex,,,4678000.0,ns,96
cpu,no contention,parking_lot::Mutex,,,3445000.0,ns,97
cpu,no contention,parking_lot::Mutex,,,3464000.0,ns,98
cpu,no contention,parking_lot::Mutex,,,5752000.0,ns,99
cpu,no contention,parking_lot::Mutex,,,5961000.0,ns,100
