group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,no contention,spin::Mutex,,,934000.0,ns,1
cpu,no contention,spin::Mutex,,,1272000.0,ns,2
cpu,no contention,spin::Mutex,,,1870000.0,ns,3
cpu,no contention,spin::Mutex,,,1668000.0,ns,4
cpu,no contention,spin::Mutex,,,1817000.0,ns,5
cpu,no contention,spin::Mutex,,,3215000.0,ns,6
cpu,no contention,spin::Mutex,,,2243000.0,ns,7
cpu,no contention,spin::Mutex,,,1814000.0,ns,8
cpu,no contention,spin::Mutex,,,1624000.0,ns,9
cpu,no contention,spin::Mutex,,,1809000.0,ns,10
cpu,no contention,spin::Mutex,,,3199000.0,ns,11
cpu,no contention,spin::Mutex,,,1030000.0,ns,12
cpu,no contention,spin::Mutex,,,1160000.0,ns,13
cpu,no contention,spin::Mutex,,,4042000.0,ns,14
cpu,no contention,spin::Mutex,,,3442000.0,ns,15
cpu,no contention,spin::Mutex,,,1982000.0,ns,16
cpu,no contention,spin::Mutex,,,2027000.0,ns,17
cpu,no contention,spin::Mutex,,,3309000.0,ns,18
cpu,no contention,spin::Mutex,,,3301000.0,ns,19
cpu,no contention,spin::Mutex,,,2038000.0,ns,20
cpu,no contention,spin::Mutex,,,1547000.0,ns,21
cpu,no contention,spin::Mutex,,,1570000.0,ns,22
cpu,no contention,spin::Mutex,,,929000.0,ns,23
cpu,no contention,spin::Mutex,,,1716000.0,ns,24
cpu,no contention,spin::Mutex,,,2099000.0,ns,25
cpu,no contention,spin::Mutex,,,1938000.0,ns,26
cpu,no contention,spin::Mutex,,,1638000.0,ns,27
cpu,no contention,spin::Mutex,,,1759000.0,ns,28
cpu,no contention,spin::Mutex,,,1995000.0,ns,29
cpu,no contention,spin::Mutex,,,1736000.0,ns,30
cpu,no contention,spin::Mutex,,,2382000.0,ns,31
cpu,no contention,spin::Mutex,,,1898000.0,ns,32
cpu,no contention,spin::Mutex,,,2656000.0,ns,33
cpu,no contention,spin::Mutex,,,2079000.0,ns,34
cpu,no contention,spin::Mutex,,,1382000.0,ns,35
cpu,no contention,spin::Mutex,,,1907000.0,ns,36
cpu,no contention,spin::Mutex,,,4369000.0,ns,37
cpu,no contention,spin::Mutex,,,2618000.0,ns,38
cpu,no contention,spin::Mutex,,,2274000.0,ns,39
cpu,no contention,spin::Mutex,,,5779000.0,ns,40
cpu,no contention,spin::Mutex,,,3000000.0,ns,41
