group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,no contention,std::sync::Mutex,,,1482000.0,ns,1
cpu,no contention,std::sync::Mutex,,,2791000.0,ns,2
cpu,no contention,std::sync::Mutex,,,1772000.0,ns,3
cpu,no contention,std::sync::Mutex,,,1695000.0,ns,4
cpu,no contention,std::sync::Mutex,,,2223000.0,ns,5
cpu,no contention,std::sync::Mutex,,,2683000.0,ns,6
cpu,no contention,std::sync::Mutex,,,1440000.0,ns,7
cpu,no contention,std::sync::Mutex,,,1738000.0,ns,8
cpu,no contention,std::sync::Mutex,,,1071000.0,ns,9
cpu,no contention,std::sync::Mutex,,,2190000.0,ns,10
cpu,no contention,std::sync::Mutex,,,1616000.0,ns,11
cpu,no contention,std::sync::Mutex,,,2889000.0,ns,12
cpu,no contention,std::sync::Mutex,,,2036000.0,ns,13
cpu,no contention,std::sync::Mutex,,,1949000.0,ns,14
cpu,no contention,std::sync::Mutex,,,1576000.0,ns,15
cpu,no contention,std::sync::Mutex,,,966000.0,ns,16
cpu,no contention,std::sync::Mutex,,,4526000.0,ns,17
cpu,no contention,std::sync::Mutex,,,1185000.0,ns,18
cpu,no contention,std::sync::Mutex,,,1947000.0,ns,19
cpu,no contention,std::sync::Mutex,,,2935000.0,ns,20
cpu,no contention,std::sync::Mutex,,,2103000.0,ns,21
cpu,no contention,std::sync::Mutex,,,2715000.0,ns,22
cpu,no contention,std::sync::Mutex,,,3160000.0,ns,23
cpu,no contention,std::sync::Mutex,,,2395000.0,ns,24
cpu,no contention,std::sync::Mutex,,,2215000.0,ns,25
cpu,no contention,std::sync::Mutex,,,2332000.0,ns,26
cpu,no contention,std::sync::Mutex,,,2642000.0,ns,27
cpu,no contention,std::sync::Mutex,,,2146000.0,ns,28
cpu,no contention,std::sync::Mutex,,,2434000.0,ns,29
cpu,no contention,std::sync::Mutex,,,5771000.0,ns,30
cpu,no contention,std::sync::Mutex,,,1861000.0,ns,31
cpu,no contention,std::sync::Mutex,,,2118000.0,ns,32
cpu,no contention,std::sync::Mutex,,,2480000.0,ns,33
cpu,no contention,std::sync::Mutex,,,2707000.0,ns,34
cpu,no contention,std::sync::Mutex,,,2151000.0,ns,35
cpu,no contention,std::sync::Mutex,,,2484000.0,ns,36
cpu,no contention,std::sync::Mutex,,,2063000.0,ns,37
cpu,no contention,std::sync::Mutex,,,2118000.0,ns,38
cpu,no contention,std::sync::Mutex,,,3798000.0,ns,39
cpu,no contention,std::sync::Mutex,,,2910000.0,ns,40
cpu,no contention,std::sync::Mutex,,,2631000.0,ns,41
cpu,no contention,std::sync::Mutex,,,3386000.0,ns,42
cpu,no contention,std::sync::Mutex,,,2200000.0,ns,43
cpu,no contention,std::sync::Mutex,,,2525000.0,ns,44
cpu,no contention,std::sync::Mutex,,,1602000.0,ns,45
cpu,no contention,std::sync::Mutex,,,4347000.0,ns,46
cpu,no contention,std::sync::Mutex,,,3050000.0,ns,47
cpu,no contention,std::sync::Mutex,,,1324000.0,ns,48
cpu,no contention,std::sync::Mutex,,,2657000.0,ns,49
cpu,no contention,std::sync::Mutex,,,2756000.0,ns,50
cpu,no contention,std::sync::Mutex,,,3261000.0,ns,51
cpu,no contention,std::sync::Mutex,,,2038000.0,ns,52
cpu,no contention,std::sync::Mutex,,,5702000.0,ns,53
cpu,no contention,std::sync::Mutex,,,4331000.0,ns,54
cpu,no contention,std::sync::Mutex,,,7074000.0,ns,55
cpu,no contention,std::sync::Mutex,,,3500000.0,ns,56
cpu,no contention,std::sync::Mutex,,,2927000.0,ns,57
cpu,no contention,std::sync::Mutex,,,3872000.0,ns,58
cpu,no contention,std::sync::Mutex,,,4412000.0,ns,59
cpu,no contention,std::sync::Mutex,,,6808000.0,ns,60
cpu,no contention,std::sync::Mutex,,,3782000.0,ns,61
cpu,no contention,std::sync::Mutex,,,3436000.0,ns,62
cpu,no contention,std::sync::Mutex,,,3496000.0,ns,63
cpu,no contention,std::sync::Mutex,,,3288000.0,ns,64
cpu,no contention,std::sync::Mutex,,,4257000.0,ns,65
cpu,no contention,std::sync::Mutex,,,4072000.0,ns,66
cpu,no contention,std::sync::Mutex,,,4034000.0,ns,67
cpu,no contention,std::sync::Mutex,,,3612000.0,ns,68
cpu,no contention,std::sync::Mutex,,,3062000.0,ns,69
cpu,no contention,std::sync::Mutex,,,5087000.0,ns,70
cpu,no contention,std::sync::Mutex,,,3820000.0,ns,71
cpu,no contention,std::sync::Mutex,,,3986000.0,ns,72
cpu,no contention,std::sync::Mutex,,,4799000.0,ns,73
cpu,no contention,std::sync::Mutex,,,1960000.0,ns,74
cpu,no contention,std::sync::Mutex,,,3113000.0,ns,75
cpu,no contention,std::sync::Mutex,,,4517000.0,ns,76
cpu,no contention,std::sync::Mutex,,,4544000.0,ns,77
cpu,no contention,std::sync::Mutex,,,3817000.0,ns,78
cpu,no contention,std::sync::Mutex,,,5236000.0,ns,79
cpu,no contention,std::sync::Mutex,,,3803000.0,ns,80
cpu,no contention,std::sync::Mutex,,,3273000.0,ns,81
cpu,no contention,std::sync::Mutex,,,5417000.0,ns,82
cpu,no contention,std::sync::Mutex,,,3931000.0,ns,83
cpu,no contention,std::sync::Mutex,,,3901000.0,ns,84
cpu,no contention,std::sync::Mutex,,,3290000.0,ns,85
cpu,no contention,std::sync::Mutex,,,2303000.0,ns,86
cpu,no contention,std::sync::Mutex,,,5147000.0,ns,87
cpu,no contention,std::sync::Mutex,,,5752000.0,ns,88
cpu,no contention,std::sync::Mutex,,,5129000.0,ns,89
cpu,no contention,std::sync::Mutex,,,5888000.0,ns,90
cpu,no contention,std::sync::Mutex,,,4252000.0,ns,91
cpu,no contention,std::sync::Mutex,,,2944000.0,ns,92
cpu,no contention,std::sync::Mutex,,,5044000.0,ns,93
cpu,no contention,std::sync::Mutex,,,4641000.0,ns,94
cpu,no contention,std::sync::Mutex,,,5320000.0,ns,95
cpu,no contention,std::sync::Mutex,,,4061000.0,ns,96
cpu,no contention,std::sync::Mutex,,,5555000.0,ns,97
cpu,no contention,std::sync::Mutex,,,6204000.0,ns,98
cpu,no contention,std::sync::Mutex,,,5387000.0,ns,99
cpu,no contention,std::sync::Mutex,,,4269000.0,ns,100
