group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,AmdSpinlock,,,446615.0,ns,38
duration,extreme contention,AmdSpinlock,,,875416.0,ns,76
duration,extreme contention,AmdSpinlock,,,1382310.0,ns,114
duration,extreme contention,AmdSpinlock,,,896167.0,ns,152
duration,extreme contention,AmdSpinlock,,,5121396.0,ns,190
duration,extreme contention,AmdSpinlock,,,2309095.0,ns,228
duration,extreme contention,AmdSpinlock,,,3553514.0,ns,266
duration,extreme contention,AmdSpinlock,,,1610638.0,ns,304
duration,extreme contention,AmdSpinlock,,,3263792.0,ns,342
duration,extreme contention,AmdSpinlock,,,3148562.0,ns,380
duration,extreme contention,AmdSpinlock,,,2040664.0,ns,418
duration,extreme contention,AmdSpinlock,,,4193026.0,ns,456
duration,extreme contention,AmdSpinlock,,,11212639.0,ns,494
duration,extreme contention,AmdSpinlock,,,5917792.0,ns,532
duration,extreme contention,AmdSpinlock,,,2892153.0,ns,570
duration,extreme contention,AmdSpinlock,,,5695381.0,ns,608
duration,extreme contention,AmdSpinlock,,,4706291.0,ns,646
duration,extreme contention,AmdSpinlock,,,4957777.0,ns,684
duration,extreme contention,AmdSpinlock,,,5310328.0,ns,722
duration,extreme contention,AmdSpinlock,,,7108980.0,ns,760
duration,extreme contention,AmdSpinlock,,,13830358.0,ns,798
duration,extreme contention,AmdSpinlock,,,12248571.0,ns,836
duration,extreme contention,AmdSpinlock,,,5374770.0,ns,874
duration,extreme contention,AmdSpinlock,,,4452145.0,ns,912
duration,extreme contention,AmdSpinlock,,,11556759.0,ns,950
duration,extreme contention,AmdSpinlock,,,6253204.0,ns,988
duration,extreme contention,AmdSpinlock,,,7124790.0,ns,1026
duration,extreme contention,AmdSpinlock,,,14906863.0,ns,1064
duration,extreme contention,AmdSpinlock,,,7202334.0,ns,1102
duration,extreme contention,AmdSpinlock,,,12802151.0,ns,1140
duration,extreme contention,AmdSpinlock,,,5518712.0,ns,1178
duration,extreme contention,AmdSpinlock,,,7744858.0,ns,1216
duration,extreme contention,AmdSpinlock,,,6796808.0,ns,1254
duration,extreme contention,AmdSpinlock,,,7324290.0,ns,1292
