group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,parking_lot::Mutex,,,476817.0,ns,43
duration,extreme contention,parking_lot::Mutex,,,1128756.0,ns,86
duration,extreme contention,parking_lot::Mutex,,,1239392.0,ns,129
duration,extreme contention,parking_lot::Mutex,,,1744046.0,ns,172
duration,extreme contention,parking_lot::Mutex,,,1058397.0,ns,215
duration,extreme contention,parking_lot::Mutex,,,2381972.0,ns,258
duration,extreme contention,parking_lot::Mutex,,,3896545.0,ns,301
duration,extreme contention,parking_lot::Mutex,,,3613751.0,ns,344
duration,extreme contention,parking_lot::Mutex,,,2950138.0,ns,387
duration,extreme contention,parking_lot::Mutex,,,3787895.0,ns,430
duration,extreme contention,parking_lot::Mutex,,,3958529.0,ns,473
duration,extreme contention,parking_lot::Mutex,,,2904865.0,ns,516
duration,extreme contention,parking_lot::Mutex,,,4296863.0,ns,559
duration,extreme contention,parking_lot::Mutex,,,4140851.0,ns,602
duration,extreme contention,parking_lot::Mutex,,,5304521.0,ns,645
duration,extreme contention,parking_lot::Mutex,,,3638695.0,ns,688
duration,extreme contention,parking_lot::Mutex,,,6222772.0,ns,731
duration,extreme contention,parking_lot::Mutex,,,6372369.0,ns,774
duration,extreme contention,parking_lot::Mutex,,,5972156.0,ns,817
duration,extreme contention,parking_lot::Mutex,,,8005014.0,ns,860
duration,extreme contention,parking_lot::Mutex,,,7255037.0,ns,903
duration,extreme contention,parking_lot::Mutex,,,5887872.0,ns,946
duration,extreme contention,parking_lot::Mutex,,,7008921.0,ns,989
duration,extreme contention,parking_lot::Mutex,,,7440520.0,ns,1032
duration,extreme contention,parking_lot::Mutex,,,5183132.0,ns,1075
duration,extreme contention,parking_lot::Mutex,,,8295763.0,ns,1118
duration,extreme contention,parking_lot::Mutex,,,11954702.0,ns,1161
duration,extreme contention,parking_lot::Mutex,,,10298593.0,ns,1204
duration,extreme contention,parking_lot::Mutex,,,11659300.0,ns,1247
duration,extreme contention,parking_lot::Mutex,,,9982906.0,ns,1290
duration,extreme contention,parking_lot::Mutex,,,13271275.0,ns,1333
duration,extreme contention,parking_lot::Mutex,,,9084755.0,ns,1376
duration,extreme contention,parking_lot::Mutex,,,15421595.0,ns,1419
duration,extreme contention,parking_lot::Mutex,,,10295845.0,ns,1462
duration,extreme contention,parking_lot::Mutex,,,14036592.0,ns,1505
duration,extreme contention,parking_lot::Mutex,,,10150868.0,ns,1548
duration,extreme contention,parking_lot::Mutex,,,10639818.0,ns,1591
duration,extreme contention,parking_lot::Mutex,,,10729937.0,ns,1634
duration,extreme contention,parking_lot::Mutex,,,12823253.0,ns,1677
duration,extreme contention,parking_lot::Mutex,,,10885205.0,ns,1720
duration,extreme contention,parking_lot::Mutex,,,9501156.0,ns,1763
duration,extreme contention,parking_lot::Mutex,,,14270244.0,ns,1806
duration,extreme contention,parking_lot::Mutex,,,15055017.0,ns,1849
duration,extreme contention,parking_lot::Mutex,,,15883954.0,ns,1892
duration,extreme contention,parking_lot::Mutex,,,13139322.0,ns,1935
duration,extreme contention,parking_lot::Mutex,,,13718337.0,ns,1978
duration,extreme contention,parking_lot::Mutex,,,12052743.0,ns,2021
duration,extreme contention,parking_lot::Mutex,,,17403276.0,ns,2064
duration,extreme contention,parking_lot::Mutex,,,12762686.0,ns,2107
duration,extreme contention,parking_lot::Mutex,,,16663006.0,ns,2150
duration,extreme contention,parking_lot::Mutex,,,15333338.0,ns,2193
duration,extreme contention,parking_lot::Mutex,,,14881538.0,ns,2236
duration,extreme contention,parking_lot::Mutex,,,13019176.0,ns,2279
duration,extreme contention,parking_lot::Mutex,,,20484486.0,ns,2322
duration,extreme contention,parking_lot::Mutex,,,14612988.0,ns,2365
duration,extreme contention,parking_lot::Mutex,,,21551534.0,ns,2408
duration,extreme contention,parking_lot::Mutex,,,19714555.0,ns,2451
duration,extreme contention,parking_lot::Mutex,,,16799639.0,ns,2494
duration,extreme contention,parking_lot::Mutex,,,17061778.0,ns,2537
duration,extreme contention,parking_lot::Mutex,,,16731374.0,ns,2580
duration,extreme contention,parking_lot::Mutex,,,16817217.0,ns,2623
duration,extreme contention,parking_lot::Mutex,,,17130101.0,ns,2666
duration,extreme contention,parking_lot::Mutex,,,16321175.0,ns,2709
duration,extreme contention,parking_lot::Mutex,,,19917946.0,ns,2752
duration,extreme contention,parking_lot::Mutex,,,15845856.0,ns,2795
