group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,spin::Mutex,,,4125478.0,ns,38
duration,extreme contention,spin::Mutex,,,898767.0,ns,76
duration,extreme contention,spin::Mutex,,,4156123.0,ns,114
duration,extreme contention,spin::Mutex,,,1683227.0,ns,152
duration,extreme contention,spin::Mutex,,,2554414.0,ns,190
duration,extreme contention,spin::Mutex,,,4921465.0,ns,228
duration,extreme contention,spin::Mutex,,,2484804.0,ns,266
duration,extreme contention,spin::Mutex,,,3412885.0,ns,304
duration,extreme contention,spin::Mutex,,,3147841.0,ns,342
duration,extreme contention,spin::Mutex,,,3753681.0,ns,380
duration,extreme contention,spin::Mutex,,,3922574.0,ns,418
duration,extreme contention,spin::Mutex,,,11026928.0,ns,456
duration,extreme contention,spin::Mutex,,,2602845.0,ns,494
duration,extreme contention,spin::Mutex,,,4372143.0,ns,532
duration,extreme contention,spin::Mutex,,,5805857.0,ns,570
duration,extreme contention,spin::Mutex,,,5986037.0,ns,608
duration,extreme contention,spin::Mutex,,,4427037.0,ns,646
duration,extreme contention,spin::Mutex,,,5137763.0,ns,684
duration,extreme contention,spin::Mutex,,,5962294.0,ns,722
duration,extreme contention,spin::Mutex,,,5653212.0,ns,760
duration,extreme contention,spin::Mutex,,,5190390.0,ns,798
duration,extreme contention,spin::Mutex,,,6586689.0,ns,836
duration,extreme contention,spin::Mutex,,,6196742.0,ns,874
duration,extreme contention,spin::Mutex,,,6384485.0,ns,912
duration,extreme contention,spin::Mutex,,,6391410.0,ns,950
duration,extreme contention,spin::Mutex,,,6629954.0,ns,988
duration,extreme contention,spin::Mutex,,,7330390.0,ns,1026
duration,extreme contention,spin::Mutex,,,14617670.0,ns,1064
duration,extreme contention,spin::Mutex,,,9494201.0,ns,1102
duration,extreme contention,spin::Mutex,,,7876006.0,ns,1140
duration,extreme contention,spin::Mutex,,,6056474.0,ns,1178
duration,extreme contention,spin::Mutex,,,7627232.0,ns,1216
duration,extreme contention,spin::Mutex,,,12117832.0,ns,1254
duration,extreme contention,spin::Mutex,,,7880103.0,ns,1292
duration,extreme contention,spin::Mutex,,,8731374.0,ns,1330
duration,extreme contention,spin::Mutex,,,9243389.0,ns,1368
duration,extreme contention,spin::Mutex,,,9285365.0,ns,1406
duration,extreme contention,spin::Mutex,,,7122412.0,ns,1444
duration,extreme contention,spin::Mutex,,,7582608.0,ns,1482
duration,extreme contention,spin::Mutex,,,10966246.0,ns,1520
duration,extreme contention,spin::Mutex,,,9713721.0,ns,1558
duration,extreme contention,spin::Mutex,,,13571027.0,ns,1596
duration,extreme contention,spin::Mutex,,,12689620.0,ns,1634
duration,extreme contention,spin::Mutex,,,9541337.0,ns,1672
duration,extreme contention,spin::Mutex,,,10659541.0,ns,1710
duration,extreme contention,spin::Mutex,,,10015292.0,ns,1748
duration,extreme contention,spin::Mutex,,,10614034.0,ns,1786
duration,extreme contention,spin::Mutex,,,10517390.0,ns,1824
duration,extreme contention,spin::Mutex,,,11106650.0,ns,1862
duration,extreme contention,spin::Mutex,,,10894436.0,ns,1900
