group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,extreme contention,std::sync::Mutex,,,1584742.0,ns,38
duration,extreme contention,std::sync::Mutex,,,2256820.0,ns,76
duration,extreme contention,std::sync::Mutex,,,2089393.0,ns,114
duration,extreme contention,std::sync::Mutex,,,3973477.0,ns,152
duration,extreme contention,std::sync::Mutex,,,4564763.0,ns,190
duration,extreme contention,std::sync::Mutex,,,5677748.0,ns,228
duration,extreme contention,std::sync::Mutex,,,3749472.0,ns,266
duration,extreme contention,std::sync::Mutex,,,7262439.0,ns,304
duration,extreme contention,std::sync::Mutex,,,7735346.0,ns,342
duration,extreme contention,std::sync::Mutex,,,7948104.0,ns,380
duration,extreme contention,std::sync::Mutex,,,9164006.0,ns,418
duration,extreme contention,std::sync::Mutex,,,9731898.0,ns,456
duration,extreme contention,std::sync::Mutex,,,9973015.0,ns,494
duration,extreme contention,std::sync::Mutex,,,10457176.0,ns,532
duration,extreme contention,std::sync::Mutex,,,11499258.0,ns,570
duration,extreme contention,std::sync::Mutex,,,11853042.0,ns,608
duration,extreme contention,std::sync::Mutex,,,12032627.0,ns,646
duration,extreme contention,std::sync::Mutex,,,11871488.0,ns,684
duration,extreme contention,std::sync::Mutex,,,13214819.0,ns,722
duration,extreme contention,std::sync::Mutex,,,12836240.0,ns,760
duration,extreme contention,std::sync::Mutex,,,14295405.0,ns,798
duration,extreme contention,std::sync::Mutex,,,14822238.0,ns,836
duration,extreme contention,std::sync::Mutex,,,11987261.0,ns,874
duration,extreme contention,std::sync::Mutex,,,15798427.0,ns,912
duration,extreme contention,std::sync::Mutex,,,16508163.0,ns,950
duration,extreme contention,std::sync::Mutex,,,17004219.0,ns,988
duration,extreme contention,std::sync::Mutex,,,17608978.0,ns,1026
duration,extreme contention,std::sync::Mutex,,,17397606.0,ns,1064
duration,extreme contention,std::sync::Mutex,,,19424284.0,ns,1102
duration,extreme contention,std::sync::Mutex,,,18259418.0,ns,1140
duration,extreme contention,std::sync::Mutex,,,19700612.0,ns,1178
duration,extreme contention,std::sync::Mutex,,,19653117.0,ns,1216
duration,extreme contention,std::sync::Mutex,,,19907521.0,ns,1254
duration,extreme contention,std::sync::Mutex,,,20954978.0,ns,1292
duration,extreme contention,std::sync::Mutex,,,21101645.0,ns,1330
duration,extreme contention,std::sync::Mutex,,,22324215.0,ns,1368
duration,extreme contention,std::sync::Mutex,,,22426966.0,ns,1406
duration,extreme contention,std::sync::Mutex,,,22840321.0,ns,1444
duration,extreme contention,std::sync::Mutex,,,23004179.0,ns,1482
duration,extreme contention,std::sync::Mutex,,,23393747.0,ns,1520
duration,extreme contention,std::sync::Mutex,,,24207268.0,ns,1558
duration,extreme contention,std::sync::Mutex,,,24414744.0,ns,1596
duration,extreme contention,std::sync::Mutex,,,25647031.0,ns,1634
duration,extreme contention,std::sync::Mutex,,,23613466.0,ns,1672
duration,extreme contention,std::sync::Mutex,,,26078268.0,ns,1710
duration,extreme contention,std::sync::Mutex,,,25231574.0,ns,1748
duration,extreme contention,std::sync::Mutex,,,24779009.0,ns,1786
duration,extreme contention,std::sync::Mutex,,,27324767.0,ns,1824
duration,extreme contention,std::sync::Mutex,,,28585808.0,ns,1862
duration,extreme contention,std::sync::Mutex,,,29370959.0,ns,1900
duration,extreme contention,std::sync::Mutex,,,29773307.0,ns,1938
duration,extreme contention,std::sync::Mutex,,,27086696.0,ns,1976
duration,extreme contention,std::sync::Mutex,,,31052054.0,ns,2014
duration,extreme contention,std::sync::Mutex,,,29720535.0,ns,2052
duration,extreme contention,std::sync::Mutex,,,30986217.0,ns,2090
duration,extreme contention,std::sync::Mutex,,,31566121.0,ns,2128
duration,extreme contention,std::sync::Mutex,,,31977834.0,ns,2166
duration,extreme contention,std::sync::Mutex,,,32953542.0,ns,2204
duration,extreme contention,std::sync::Mutex,,,33921025.0,ns,2242
duration,extreme contention,std::sync::Mutex,,,33984566.0,ns,2280
duration,extreme contention,std::sync::Mutex,,,34375804.0,ns,2318
duration,extreme contention,std::sync::Mutex,,,35647894.0,ns,2356
duration,extreme contention,std::sync::Mutex,,,32294785.0,ns,2394
duration,extreme contention,std::sync::Mutex,,,35382507.0,ns,2432
duration,extreme contention,std::sync::Mutex,,,37394373.0,ns,2470
duration,extreme contention,std::sync::Mutex,,,37161740.0,ns,2508
duration,extreme contention,std::sync::Mutex,,,37211879.0,ns,2546
duration,extreme contention,std::sync::Mutex,,,36827521.0,ns,2584
duration,extreme contention,std::sync::Mutex,,,36453569.0,ns,2622
duration,extreme contention,std::sync::Mutex,,,37239384.0,ns,2660
duration,extreme contention,std::sync::Mutex,,,39126487.0,ns,2698
duration,extreme contention,std::sync::Mutex,,,37608868.0,ns,2736
duration,extreme contention,std::sync::Mutex,,,40407749.0,ns,2774
duration,extreme contention,std::sync::Mutex,,,42903174.0,ns,2812
duration,extreme contention,std::sync::Mutex,,,41665401.0,ns,2850
duration,extreme contention,std::sync::Mutex,,,40531352.0,ns,2888
duration,extreme contention,std::sync::Mutex,,,40701459.0,ns,2926
duration,extreme contention,std::sync::Mutex,,,43319865.0,ns,2964
duration,extreme contention,std::sync::Mutex,,,42566576.0,ns,3002
duration,extreme contention,std::sync::Mutex,,,42785696.0,ns,3040
duration,extreme contention,std::sync::Mutex,,,43534834.0,ns,3078
duration,extreme contention,std::sync::Mutex,,,46485375.0,ns,3116
duration,extreme contention,std::sync::Mutex,,,42923281.0,ns,3154
duration,extreme contention,std::sync::Mutex,,,44581786.0,ns,3192
duration,extreme contention,std::sync::Mutex,,,46629282.0,ns,3230
duration,extreme contention,std::sync::Mutex,,,47006841.0,ns,3268
duration,extreme contention,std::sync::Mutex,,,46506570.0,ns,3306
duration,extreme contention,std::sync::Mutex,,,48026649.0,ns,3344
duration,extreme contention,std::sync::Mutex,,,47966066.0,ns,3382
duration,extreme contention,std::sync::Mutex,,,47466075.0,ns,3420
duration,extreme contention,std::sync::Mutex,,,49057525.0,ns,3458
duration,extreme contention,std::sync::Mutex,,,47199374.0,ns,3496
duration,extreme contention,std::sync::Mutex,,,48013016.0,ns,3534
duration,extreme contention,std::sync::Mutex,,,51064541.0,ns,3572
duration,extreme contention,std::sync::Mutex,,,50740009.0,ns,3610
duration,extreme contention,std::sync::Mutex,,,49485524.0,ns,3648
duration,extreme contention,std::sync::Mutex,,,49484169.0,ns,3686
duration,extreme contention,std::sync::Mutex,,,51912158.0,ns,3724
duration,extreme contention,std::sync::Mutex,,,49338582.0,ns,3762
duration,extreme contention,std::sync::Mutex,,,51910465.0,ns,3800
