group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,AmdSpinlock,,,411031.0,ns,80
duration,heavy contention,AmdSpinlock,,,595907.0,ns,160
duration,heavy contention,AmdSpinlock,,,616061.0,ns,240
duration,heavy contention,AmdSpinlock,,,4198163.0,ns,320
duration,heavy contention,AmdSpinlock,,,766445.0,ns,400
duration,heavy contention,AmdSpinlock,,,1409660.0,ns,480
duration,heavy contention,AmdSpinlock,,,10318100.0,ns,560
duration,heavy contention,AmdSpinlock,,,1953986.0,ns,640
duration,heavy contention,AmdSpinlock,,,2124997.0,ns,720
duration,heavy contention,AmdSpinlock,,,2322766.0,ns,800
duration,heavy contention,AmdSpinlock,,,3082193.0,ns,880
duration,heavy contention,AmdSpinlock,,,2914695.0,ns,960
duration,heavy contention,AmdSpinlock,,,2153237.0,ns,1040
duration,heavy contention,AmdSpinlock,,,2091370.0,ns,1120
duration,heavy contention,AmdSpinlock,,,5260484.0,ns,1200
duration,heavy contention,AmdSpinlock,,,11398063.0,ns,1280
duration,heavy contention,AmdSpinlock,,,4375815.0,ns,1360
duration,heavy contention,AmdSpinlock,,,3893918.0,ns,1440
duration,heavy contention,AmdSpinlock,,,3069739.0,ns,1520
duration,heavy contention,AmdSpinlock,,,9914869.0,ns,1600
duration,heavy contention,AmdSpinlock,,,4198123.0,ns,1680
duration,heavy contention,AmdSpinlock,,,4583574.0,ns,1760
duration,heavy contention,AmdSpinlock,,,4425464.0,ns,1840
duration,heavy contention,AmdSpinlock,,,9233138.0,ns,1920
duration,heavy contention,AmdSpinlock,,,4870723.0,ns,2000
duration,heavy contention,AmdSpinlock,,,4934695.0,ns,2080
duration,heavy contention,AmdSpinlock,,,5566200.0,ns,2160
duration,heavy contention,AmdSpinlock,,,5285262.0,ns,2240
duration,heavy contention,AmdSpinlock,,,9648318.0,ns,2320
duration,heavy contention,AmdSpinlock,,,5500426.0,ns,2400
duration,heavy contention,AmdSpinlock,,,11376866.0,ns,2480
duration,heavy contention,AmdSpinlock,,,6793123.0,ns,2560
duration,heavy contention,AmdSpinlock,,,7140888.0,ns,2640
duration,heavy contention,AmdSpinlock,,,7798061.0,ns,2720
duration,heavy contention,AmdSpinlock,,,6126651.0,ns,2800
duration,heavy contention,AmdSpinlock,,,5638998.0,ns,2880
duration,heavy contention,AmdSpinlock,,,6003600.0,ns,2960
duration,heavy contention,AmdSpinlock,,,6210477.0,ns,3040
duration,heavy contention,AmdSpinlock,,,6691520.0,ns,3120
duration,heavy contention,AmdSpinlock,,,6817742.0,ns,3200
duration,heavy contention,AmdSpinlock,,,6901454.0,ns,3280
duration,heavy contention,AmdSpinlock,,,12240312.0,ns,3360
duration,heavy contention,AmdSpinlock,,,10350414.0,ns,3440
duration,heavy contention,AmdSpinlock,,,7471215.0,ns,3520
duration,heavy contention,AmdSpinlock,,,6881288.0,ns,3600
duration,heavy contention,AmdSpinlock,,,32434472.0,ns,3680
duration,heavy contention,AmdSpinlock,,,7392394.0,ns,3760
duration,heavy contention,AmdSpinlock,,,7982552.0,ns,3840
duration,heavy contention,AmdSpinlock,,,10133815.0,ns,3920
duration,heavy contention,AmdSpinlock,,,7925061.0,ns,4000
duration,heavy contention,AmdSpinlock,,,9230480.0,ns,4080
duration,heavy contention,AmdSpinlock,,,8314747.0,ns,4160
duration,heavy contention,AmdSpinlock,,,8408649.0,ns,4240
duration,heavy contention,AmdSpinlock,,,10201771.0,ns,4320
duration,heavy contention,AmdSpinlock,,,10873266.0,ns,4400
duration,heavy contention,AmdSpinlock,,,8533786.0,ns,4480
duration,heavy contention,AmdSpinlock,,,11389829.0,ns,4560
duration,heavy contention,AmdSpinlock,,,9344709.0,ns,4640
duration,heavy contention,AmdSpinlock,,,8725390.0,ns,4720
duration,heavy contention,AmdSpinlock,,,10450386.0,ns,4800
duration,heavy contention,AmdSpinlock,,,9759453.0,ns,4880
duration,heavy contention,AmdSpinlock,,,13365635.0,ns,4960
duration,heavy contention,AmdSpinlock,,,8626556.0,ns,5040
duration,heavy contention,AmdSpinlock,,,27589875.0,ns,5120
duration,heavy contention,AmdSpinlock,,,10818771.0,ns,5200
duration,heavy contention,AmdSpinlock,,,15305552.0,ns,5280
duration,heavy contention,AmdSpinlock,,,10020177.0,ns,5360
duration,heavy contention,AmdSpinlock,,,13263879.0,ns,5440
duration,heavy contention,AmdSpinlock,,,9153854.0,ns,5520
duration,heavy contention,AmdSpinlock,,,10273922.0,ns,5600
duration,heavy contention,AmdSpinlock,,,8148702.0,ns,5680
duration,heavy contention,AmdSpinlock,,,11483697.0,ns,5760
duration,heavy contention,AmdSpinlock,,,15233781.0,ns,5840
duration,heavy contention,AmdSpinlock,,,8118172.0,ns,5920
duration,heavy contention,AmdSpinlock,,,8319578.0,ns,6000
duration,heavy contention,AmdSpinlock,,,11444495.0,ns,6080
duration,heavy contention,AmdSpinlock,,,10809294.0,ns,6160
duration,heavy contention,AmdSpinlock,,,18219049.0,ns,6240
duration,heavy contention,AmdSpinlock,,,40383559.0,ns,6320
duration,heavy contention,AmdSpinlock,,,14107059.0,ns,6400
duration,heavy contention,AmdSpinlock,,,8849636.0,ns,6480
duration,heavy contention,AmdSpinlock,,,12609969.0,ns,6560
duration,heavy contention,AmdSpinlock,,,10937440.0,ns,6640
duration,heavy contention,AmdSpinlock,,,19146069.0,ns,6720
duration,heavy contention,AmdSpinlock,,,9779080.0,ns,6800
duration,heavy contention,AmdSpinlock,,,11705550.0,ns,6880
duration,heavy contention,AmdSpinlock,,,14174834.0,ns,6960
duration,heavy contention,AmdSpinlock,,,21275006.0,ns,7040
duration,heavy contention,AmdSpinlock,,,13483468.0,ns,7120
duration,heavy contention,AmdSpinlock,,,31454225.0,ns,7200
duration,heavy contention,AmdSpinlock,,,13903781.0,ns,7280
duration,heavy contention,AmdSpinlock,,,13918938.0,ns,7360
duration,heavy contention,AmdSpinlock,,,12905657.0,ns,7440
duration,heavy contention,AmdSpinlock,,,17108614.0,ns,7520
duration,heavy contention,AmdSpinlock,,,11214588.0,ns,7600
duration,heavy contention,AmdSpinlock,,,15993157.0,ns,7680
duration,heavy contention,AmdSpinlock,,,13025261.0,ns,7760
duration,heavy contention,AmdSpinlock,,,13092574.0,ns,7840
duration,heavy contention,AmdSpinlock,,,19725899.0,ns,7920
duration,heavy contention,AmdSpinlock,,,17246463.0,ns,8000
