group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,parking_lot::Mutex,,,1351495.0,ns,305
duration,heavy contention,parking_lot::Mutex,,,1929898.0,ns,610
duration,heavy contention,parking_lot::Mutex,,,2611946.0,ns,915
duration,heavy contention,parking_lot::Mutex,,,3898383.0,ns,1220
duration,heavy contention,parking_lot::Mutex,,,3710962.0,ns,1525
duration,heavy contention,parking_lot::Mutex,,,5113461.0,ns,1830
duration,heavy contention,parking_lot::Mutex,,,3877757.0,ns,2135
duration,heavy contention,parking_lot::Mutex,,,5661682.0,ns,2440
duration,heavy contention,parking_lot::Mutex,,,3835276.0,ns,2745
duration,heavy contention,parking_lot::Mutex,,,6854153.0,ns,3050
duration,heavy contention,parking_lot::Mutex,,,5365749.0,ns,3355
duration,heavy contention,parking_lot::Mutex,,,7582906.0,ns,3660
duration,heavy contention,parking_lot::Mutex,,,5758134.0,ns,3965
duration,heavy contention,parking_lot::Mutex,,,9211586.0,ns,4270
duration,heavy contention,parking_lot::Mutex,,,9346052.0,ns,4575
duration,heavy contention,parking_lot::Mutex,,,7753624.0,ns,4880
duration,heavy contention,parking_lot::Mutex,,,10175431.0,ns,5185
duration,heavy contention,parking_lot::Mutex,,,14123077.0,ns,5490
duration,heavy contention,parking_lot::Mutex,,,11673380.0,ns,5795
duration,heavy contention,parking_lot::Mutex,,,12045487.0,ns,6100
duration,heavy contention,parking_lot::Mutex,,,12019027.0,ns,6405
duration,heavy contention,parking_lot::Mutex,,,12629809.0,ns,6710
duration,heavy contention,parking_lot::Mutex,,,12160919.0,ns,7015
duration,heavy contention,parking_lot::Mutex,,,12217221.0,ns,7320
duration,heavy contention,parking_lot::Mutex,,,13140119.0,ns,7625
duration,heavy contention,parking_lot::Mutex,,,13158800.0,ns,7930
duration,heavy contention,parking_lot::Mutex,,,11933160.0,ns,8235
duration,heavy contention,parking_lot::Mutex,,,13519716.0,ns,8540
duration,heavy contention,parking_lot::Mutex,,,12534764.0,ns,8845
duration,heavy contention,parking_lot::Mutex,,,13760846.0,ns,9150
duration,heavy contention,parking_lot::Mutex,,,16248893.0,ns,9455
duration,heavy contention,parking_lot::Mutex,,,13114360.0,ns,9760
duration,heavy contention,parking_lot::Mutex,,,17802387.0,ns,10065
duration,heavy contention,parking_lot::Mutex,,,16767377.0,ns,10370
