group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,spin::Mutex,,,418884.0,ns,77
duration,heavy contention,spin::Mutex,,,790909.0,ns,154
duration,heavy contention,spin::Mutex,,,698654.0,ns,231
duration,heavy contention,spin::Mutex,,,618979.0,ns,308
duration,heavy contention,spin::Mutex,,,939891.0,ns,385
duration,heavy contention,spin::Mutex,,,3124062.0,ns,462
duration,heavy contention,spin::Mutex,,,1876266.0,ns,539
duration,heavy contention,spin::Mutex,,,2930086.0,ns,616
duration,heavy contention,spin::Mutex,,,2204162.0,ns,693
duration,heavy contention,spin::Mutex,,,2784373.0,ns,770
duration,heavy contention,spin::Mutex,,,9932982.0,ns,847
duration,heavy contention,spin::Mutex,,,6993967.0,ns,924
duration,heavy contention,spin::Mutex,,,8389364.0,ns,1001
duration,heavy contention,spin::Mutex,,,6412423.0,ns,1078
duration,heavy contention,spin::Mutex,,,1967481.0,ns,1155
duration,heavy contention,spin::Mutex,,,3448873.0,ns,1232
duration,heavy contention,spin::Mutex,,,2961236.0,ns,1309
duration,heavy contention,spin::Mutex,,,3704532.0,ns,1386
duration,heavy contention,spin::Mutex,,,4881510.0,ns,1463
duration,heavy contention,spin::Mutex,,,4078409.0,ns,1540
duration,heavy contention,spin::Mutex,,,4188601.0,ns,1617
duration,heavy contention,spin::Mutex,,,4227840.0,ns,1694
duration,heavy contention,spin::Mutex,,,12131304.0,ns,1771
duration,heavy contention,spin::Mutex,,,3445237.0,ns,1848
duration,heavy contention,spin::Mutex,,,10390741.0,ns,1925
duration,heavy contention,spin::Mutex,,,3618390.0,ns,2002
duration,heavy contention,spin::Mutex,,,5450333.0,ns,2079
duration,heavy contention,spin::Mutex,,,15095050.0,ns,2156
duration,heavy contention,spin::Mutex,,,5215513.0,ns,2233
duration,heavy contention,spin::Mutex,,,4337223.0,ns,2310
duration,heavy contention,spin::Mutex,,,16723691.0,ns,2387
duration,heavy contention,spin::Mutex,,,7644536.0,ns,2464
duration,heavy contention,spin::Mutex,,,5574933.0,ns,2541
duration,heavy contention,spin::Mutex,,,5095239.0,ns,2618
duration,heavy contention,spin::Mutex,,,3312668.0,ns,2695
duration,heavy contention,spin::Mutex,,,5750057.0,ns,2772
duration,heavy contention,spin::Mutex,,,8131528.0,ns,2849
duration,heavy contention,spin::Mutex,,,6184041.0,ns,2926
duration,heavy contention,spin::Mutex,,,7644837.0,ns,3003
duration,heavy contention,spin::Mutex,,,9059102.0,ns,3080
duration,heavy contention,spin::Mutex,,,7455156.0,ns,3157
duration,heavy contention,spin::Mutex,,,9263747.0,ns,3234
duration,heavy contention,spin::Mutex,,,7114215.0,ns,3311
duration,heavy contention,spin::Mutex,,,6007052.0,ns,3388
duration,heavy contention,spin::Mutex,,,8395427.0,ns,3465
duration,heavy contention,spin::Mutex,,,10532818.0,ns,3542
duration,heavy contention,spin::Mutex,,,6619356.0,ns,3619
duration,heavy contention,spin::Mutex,,,10020821.0,ns,3696
duration,heavy contention,spin::Mutex,,,7877451.0,ns,3773
duration,heavy contention,spin::Mutex,,,6435512.0,ns,3850
duration,heavy contention,spin::Mutex,,,8351266.0,ns,3927
duration,heavy contention,spin::Mutex,,,7033123.0,ns,4004
duration,heavy contention,spin::Mutex,,,8621867.0,ns,4081
duration,heavy contention,spin::Mutex,,,15340630.0,ns,4158
duration,heavy contention,spin::Mutex,,,15493666.0,ns,4235
duration,heavy contention,spin::Mutex,,,14471929.0,ns,4312
duration,heavy contention,spin::Mutex,,,8238895.0,ns,4389
duration,heavy contention,spin::Mutex,,,10679442.0,ns,4466
duration,heavy contention,spin::Mutex,,,10564885.0,ns,4543
duration,heavy contention,spin::Mutex,,,15452144.0,ns,4620
duration,heavy contention,spin::Mutex,,,7059445.0,ns,4697
duration,heavy contention,spin::Mutex,,,11353817.0,ns,4774
duration,heavy contention,spin::Mutex,,,11740146.0,ns,4851
duration,heavy contention,spin::Mutex,,,8819875.0,ns,4928
duration,heavy contention,spin::Mutex,,,10569781.0,ns,5005
duration,heavy contention,spin::Mutex,,,7949849.0,ns,5082
duration,heavy contention,spin::Mutex,,,13111438.0,ns,5159
