group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,heavy contention,std::sync::Mutex,,,1016166.0,ns,165
duration,heavy contention,std::sync::Mutex,,,2223844.0,ns,330
duration,heavy contention,std::sync::Mutex,,,2724189.0,ns,495
duration,heavy contention,std::sync::Mutex,,,3741116.0,ns,660
duration,heavy contention,std::sync::Mutex,,,4200252.0,ns,825
duration,heavy contention,std::sync::Mutex,,,3251013.0,ns,990
duration,heavy contention,std::sync::Mutex,,,3701752.0,ns,1155
duration,heavy contention,std::sync::Mutex,,,5571093.0,ns,1320
duration,heavy contention,std::sync::Mutex,,,5616613.0,ns,1485
duration,heavy contention,std::sync::Mutex,,,6754738.0,ns,1650
duration,heavy contention,std::sync::Mutex,,,6615986.0,ns,1815
duration,heavy contention,std::sync::Mutex,,,8245265.0,ns,1980
duration,heavy contention,std::sync::Mutex,,,8487927.0,ns,2145
duration,heavy contention,std::sync::Mutex,,,8625527.0,ns,2310
duration,heavy contention,std::sync::Mutex,,,8942132.0,ns,2475
duration,heavy contention,std::sync::Mutex,,,9764201.0,ns,2640
duration,heavy contention,std::sync::Mutex,,,10190725.0,ns,2805
duration,heavy contention,std::sync::Mutex,,,9858574.0,ns,2970
duration,heavy contention,std::sync::Mutex,,,11080651.0,ns,3135
duration,heavy contention,std::sync::Mutex,,,10609047.0,ns,3300
duration,heavy contention,std::sync::Mutex,,,11519093.0,ns,3465
duration,heavy contention,std::sync::Mutex,,,11870974.0,ns,3630
duration,heavy contention,std::sync::Mutex,,,13182867.0,ns,3795
duration,heavy contention,std::sync::Mutex,,,10813958.0,ns,3960
duration,heavy contention,std::sync::Mutex,,,13758199.0,ns,4125
duration,heavy contention,std::sync::Mutex,,,12902499.0,ns,4290
duration,heavy contention,std::sync::Mutex,,,13602201.0,ns,4455
duration,heavy contention,std::sync::Mutex,,,14881992.0,ns,4620
duration,heavy contention,std::sync::Mutex,,,12916030.0,ns,4785
duration,heavy contention,std::sync::Mutex,,,15881894.0,ns,4950
duration,heavy contention,std::sync::Mutex,,,15762173.0,ns,5115
duration,heavy contention,std::sync::Mutex,,,16820611.0,ns,5280
duration,heavy contention,std::sync::Mutex,,,16200803.0,ns,5445
duration,heavy contention,std::sync::Mutex,,,16743881.0,ns,5610
duration,heavy contention,std::sync::Mutex,,,18139628.0,ns,5775
duration,heavy contention,std::sync::Mutex,,,17140971.0,ns,5940
duration,heavy contention,std::sync::Mutex,,,16552212.0,ns,6105
duration,heavy contention,std::sync::Mutex,,,17218510.0,ns,6270
duration,heavy contention,std::sync::Mutex,,,19049287.0,ns,6435
duration,heavy contention,std::sync::Mutex,,,18506029.0,ns,6600
duration,heavy contention,std::sync::Mutex,,,17129288.0,ns,6765
duration,heavy contention,std::sync::Mutex,,,21517000.0,ns,6930
duration,heavy contention,std::sync::Mutex,,,19636582.0,ns,7095
duration,heavy contention,std::sync::Mutex,,,20469936.0,ns,7260
duration,heavy contention,std::sync::Mutex,,,18096438.0,ns,7425
duration,heavy contention,std::sync::Mutex,,,22678964.0,ns,7590
duration,heavy contention,std::sync::Mutex,,,22287652.0,ns,7755
duration,heavy contention,std::sync::Mutex,,,22704626.0,ns,7920
duration,heavy contention,std::sync::Mutex,,,21789066.0,ns,8085
duration,heavy contention,std::sync::Mutex,,,22214186.0,ns,8250
duration,heavy contention,std::sync::Mutex,,,21811168.0,ns,8415
duration,heavy contention,std::sync::Mutex,,,23734582.0,ns,8580
duration,heavy contention,std::sync::Mutex,,,23588130.0,ns,8745
duration,heavy contention,std::sync::Mutex,,,23134032.0,ns,8910
duration,heavy contention,std::sync::Mutex,,,25665932.0,ns,9075
duration,heavy contention,std::sync::Mutex,,,25754711.0,ns,9240
duration,heavy contention,std::sync::Mutex,,,25946399.0,ns,9405
duration,heavy contention,std::sync::Mutex,,,25951171.0,ns,9570
duration,heavy contention,std::sync::Mutex,,,25784810.0,ns,9735
duration,heavy contention,std::sync::Mutex,,,27077019.0,ns,9900
