group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,AmdSpinlock,,,422679.0,ns,113
duration,light contention,AmdSpinlock,,,857455.0,ns,226
duration,light contention,AmdSpinlock,,,673530.0,ns,339
duration,light contention,AmdSpinlock,,,2042743.0,ns,452
duration,light contention,AmdSpinlock,,,1912446.0,ns,565
duration,light contention,AmdSpinlock,,,1939486.0,ns,678
duration,light contention,AmdSpinlock,,,2242360.0,ns,791
duration,light contention,AmdSpinlock,,,2715045.0,ns,904
duration,light contention,AmdSpinlock,,,3202696.0,ns,1017
duration,light contention,AmdSpinlock,,,3397630.0,ns,1130
duration,light contention,AmdSpinlock,,,3450314.0,ns,1243
duration,light contention,AmdSpinlock,,,3574520.0,ns,1356
duration,light contention,AmdSpinlock,,,3849685.0,ns,1469
duration,light contention,AmdSpinlock,,,4175423.0,ns,1582
duration,light contention,AmdSpinlock,,,2667658.0,ns,1695
duration,light contention,AmdSpinlock,,,4068564.0,ns,1808
duration,light contention,AmdSpinlock,,,3734933.0,ns,1921
duration,light contention,AmdSpinlock,,,4973950.0,ns,2034
duration,light contention,AmdSpinlock,,,3584429.0,ns,2147
duration,light contention,AmdSpinlock,,,4966246.0,ns,2260
duration,light contention,AmdSpinlock,,,4950414.0,ns,2373
duration,light contention,AmdSpinlock,,,5926896.0,ns,2486
duration,light contention,AmdSpinlock,,,5402921.0,ns,2599
duration,light contention,AmdSpinlock,,,6226727.0,ns,2712
duration,light contention,AmdSpinlock,,,5539940.0,ns,2825
duration,light contention,AmdSpinlock,,,33504321.0,ns,2938
duration,light contention,AmdSpinlock,,,6119927.0,ns,3051
duration,light contention,AmdSpinlock,,,6141450.0,ns,3164
duration,light contention,AmdSpinlock,,,6897274.0,ns,3277
duration,light contention,AmdSpinlock,,,12207271.0,ns,3390
duration,light contention,AmdSpinlock,,,7476767.0,ns,3503
duration,light contention,AmdSpinlock,,,10523285.0,ns,3616
duration,light contention,AmdSpinlock,,,5328042.0,ns,3729
duration,light contention,AmdSpinlock,,,7460941.0,ns,3842
duration,light contention,AmdSpinlock,,,8062085.0,ns,3955
duration,light contention,AmdSpinlock,,,6673134.0,ns,4068
duration,light contention,AmdSpinlock,,,8785233.0,ns,4181
duration,light contention,AmdSpinlock,,,14948395.0,ns,4294
duration,light contention,AmdSpinlock,,,8980110.0,ns,4407
duration,light contention,AmdSpinlock,,,9517045.0,ns,4520
duration,light contention,AmdSpinlock,,,9331969.0,ns,4633
duration,light contention,AmdSpinlock,,,56542666.0,ns,4746
duration,light contention,AmdSpinlock,,,26479071.0,ns,4859
duration,light contention,AmdSpinlock,,,12149402.0,ns,4972
duration,light contention,AmdSpinlock,,,9827916.0,ns,5085
duration,light contention,AmdSpinlock,,,9219520.0,ns,5198
duration,light contention,AmdSpinlock,,,8806243.0,ns,5311
duration,light contention,AmdSpinlock,,,14496659.0,ns,5424
duration,light contention,AmdSpinlock,,,9486288.0,ns,5537
duration,light contention,AmdSpinlock,,,14435134.0,ns,5650
duration,light contention,AmdSpinlock,,,10294450.0,ns,5763
duration,light contention,AmdSpinlock,,,10461140.0,ns,5876
duration,light contention,AmdSpinlock,,,11498668.0,ns,5989
duration,light contention,AmdSpinlock,,,11851002.0,ns,6102
duration,light contention,AmdSpinlock,,,9085062.0,ns,6215
duration,light contention,AmdSpinlock,,,12269994.0,ns,6328
duration,light contention,AmdSpinlock,,,9975625.0,ns,6441
duration,light contention,AmdSpinlock,,,38076374.0,ns,6554
duration,light contention,AmdSpinlock,,,11647365.0,ns,6667
duration,light contention,AmdSpinlock,,,12303837.0,ns,6780
duration,light contention,AmdSpinlock,,,10231072.0,ns,6893
duration,light contention,AmdSpinlock,,,10392634.0,ns,7006
duration,light contention,AmdSpinlock,,,11546779.0,ns,7119
duration,light contention,AmdSpinlock,,,9263569.0,ns,7232
duration,light contention,AmdSpinlock,,,12584211.0,ns,7345
duration,light contention,AmdSpinlock,,,13087176.0,ns,7458
duration,light contention,AmdSpinlock,,,15453831.0,ns,7571
duration,light contention,AmdSpinlock,,,15421731.0,ns,7684
duration,light contention,AmdSpinlock,,,17061046.0,ns,7797
duration,light contention,AmdSpinlock,,,13401497.0,ns,7910
duration,light contention,AmdSpinlock,,,12718245.0,ns,8023
duration,light contention,AmdSpinlock,,,10584833.0,ns,8136
duration,light contention,AmdSpinlock,,,12126965.0,ns,8249
duration,light contention,AmdSpinlock,,,12698371.0,ns,8362
duration,light contention,AmdSpinlock,,,13473034.0,ns,8475
duration,light contention,AmdSpinlock,,,11668965.0,ns,8588
duration,light contention,AmdSpinlock,,,31433664.0,ns,8701
duration,light contention,AmdSpinlock,,,14061859.0,ns,8814
duration,light contention,AmdSpinlock,,,28728543.0,ns,8927
duration,light contention,AmdSpinlock,,,12359582.0,ns,9040
duration,light contention,AmdSpinlock,,,14266939.0,ns,9153
duration,light contention,AmdSpinlock,,,74883274.0,ns,9266
duration,light contention,AmdSpinlock,,,14042863.0,ns,9379
duration,light contention,AmdSpinlock,,,28717131.0,ns,9492
duration,light contention,AmdSpinlock,,,14363028.0,ns,9605
duration,light contention,AmdSpinlock,,,14371150.0,ns,9718
duration,light contention,AmdSpinlock,,,14794716.0,ns,9831
duration,light contention,AmdSpinlock,,,13397778.0,ns,9944
duration,light contention,AmdSpinlock,,,14177320.0,ns,10057
duration,light contention,AmdSpinlock,,,15617045.0,ns,10170
duration,light contention,AmdSpinlock,,,18560890.0,ns,10283
duration,light contention,AmdSpinlock,,,16881169.0,ns,10396
duration,light contention,AmdSpinlock,,,19762508.0,ns,10509
duration,light contention,AmdSpinlock,,,18726417.0,ns,10622
duration,light contention,AmdSpinlock,,,14944341.0,ns,10735
duration,light contention,AmdSpinlock,,,16382850.0,ns,10848
duration,light contention,AmdSpinlock,,,28336878.0,ns,10961
duration,light contention,AmdSpinlock,,,15233626.0,ns,11074
duration,light contention,AmdSpinlock,,,16182537.0,ns,11187
duration,light contention,AmdSpinlock,,,70588985.0,ns,11300
