group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,parking_lot::Mutex,,,1133003.0,ns,309
duration,light contention,parking_lot::Mutex,,,911553.0,ns,618
duration,light contention,parking_lot::Mutex,,,3382543.0,ns,927
duration,light contention,parking_lot::Mutex,,,4060381.0,ns,1236
duration,light contention,parking_lot::Mutex,,,3642239.0,ns,1545
duration,light contention,parking_lot::Mutex,,,3570992.0,ns,1854
duration,light contention,parking_lot::Mutex,,,4487274.0,ns,2163
duration,light contention,parking_lot::Mutex,,,5850977.0,ns,2472
duration,light contention,parking_lot::Mutex,,,5085669.0,ns,2781
duration,light contention,parking_lot::Mutex,,,6348701.0,ns,3090
duration,light contention,parking_lot::Mutex,,,7749388.0,ns,3399
duration,light contention,parking_lot::Mutex,,,7682617.0,ns,3708
duration,light contention,parking_lot::Mutex,,,5982815.0,ns,4017
duration,light contention,parking_lot::Mutex,,,9036219.0,ns,4326
duration,light contention,parking_lot::Mutex,,,9106957.0,ns,4635
duration,light contention,parking_lot::Mutex,,,8699782.0,ns,4944
duration,light contention,parking_lot::Mutex,,,7712979.0,ns,5253
duration,light contention,parking_lot::Mutex,,,10975948.0,ns,5562
duration,light contention,parking_lot::Mutex,,,10239769.0,ns,5871
duration,light contention,parking_lot::Mutex,,,12031511.0,ns,6180
duration,light contention,parking_lot::Mutex,,,11694214.0,ns,6489
duration,light contention,parking_lot::Mutex,,,11019931.0,ns,6798
duration,light contention,parking_lot::Mutex,,,12301139.0,ns,7107
duration,light contention,parking_lot::Mutex,,,12980926.0,ns,7416
duration,light contention,parking_lot::Mutex,,,12983726.0,ns,7725
duration,light contention,parking_lot::Mutex,,,13459134.0,ns,8034
duration,light contention,parking_lot::Mutex,,,13993139.0,ns,8343
duration,light contention,parking_lot::Mutex,,,14726765.0,ns,8652
duration,light contention,parking_lot::Mutex,,,14466805.0,ns,8961
duration,light contention,parking_lot::Mutex,,,15394506.0,ns,9270
duration,light contention,parking_lot::Mutex,,,15120441.0,ns,9579
duration,light contention,parking_lot::Mutex,,,15607761.0,ns,9888
duration,light contention,parking_lot::Mutex,,,16788954.0,ns,10197
duration,light contention,parking_lot::Mutex,,,16757678.0,ns,10506
duration,light contention,parking_lot::Mutex,,,16773348.0,ns,10815
duration,light contention,parking_lot::Mutex,,,16674287.0,ns,11124
duration,light contention,parking_lot::Mutex,,,14499626.0,ns,11433
duration,light contention,parking_lot::Mutex,,,17836867.0,ns,11742
duration,light contention,parking_lot::Mutex,,,18836552.0,ns,12051
duration,light contention,parking_lot::Mutex,,,18199202.0,ns,12360
duration,light contention,parking_lot::Mutex,,,17365073.0,ns,12669
duration,light contention,parking_lot::Mutex,,,19604117.0,ns,12978
duration,light contention,parking_lot::Mutex,,,21317490.0,ns,13287
duration,light contention,parking_lot::Mutex,,,19603412.0,ns,13596
duration,light contention,parking_lot::Mutex,,,21731542.0,ns,13905
