group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,spin::Mutex,,,431560.0,ns,82
duration,light contention,spin::Mutex,,,615400.0,ns,164
duration,light contention,spin::Mutex,,,815702.0,ns,246
duration,light contention,spin::Mutex,,,1446306.0,ns,328
duration,light contention,spin::Mutex,,,1376324.0,ns,410
duration,light contention,spin::Mutex,,,787580.0,ns,492
duration,light contention,spin::Mutex,,,1924170.0,ns,574
duration,light contention,spin::Mutex,,,1847691.0,ns,656
duration,light contention,spin::Mutex,,,2454188.0,ns,738
duration,light contention,spin::Mutex,,,2412257.0,ns,820
duration,light contention,spin::Mutex,,,2809702.0,ns,902
duration,light contention,spin::Mutex,,,2587005.0,ns,984
duration,light contention,spin::Mutex,,,2684166.0,ns,1066
duration,light contention,spin::Mutex,,,2285645.0,ns,1148
duration,light contention,spin::Mutex,,,3040114.0,ns,1230
duration,light contention,spin::Mutex,,,3928978.0,ns,1312
duration,light contention,spin::Mutex,,,2253809.0,ns,1394
duration,light contention,spin::Mutex,,,3769649.0,ns,1476
duration,light contention,spin::Mutex,,,3351175.0,ns,1558
duration,light contention,spin::Mutex,,,4163392.0,ns,1640
duration,light contention,spin::Mutex,,,3862345.0,ns,1722
duration,light contention,spin::Mutex,,,4301364.0,ns,1804
duration,light contention,spin::Mutex,,,5712413.0,ns,1886
duration,light contention,spin::Mutex,,,3997757.0,ns,1968
duration,light contention,spin::Mutex,,,4941989.0,ns,2050
duration,light contention,spin::Mutex,,,3650232.0,ns,2132
duration,light contention,spin::Mutex,,,3214067.0,ns,2214
duration,light contention,spin::Mutex,,,5233762.0,ns,2296
duration,light contention,spin::Mutex,,,3990160.0,ns,2378
duration,light contention,spin::Mutex,,,4458161.0,ns,2460
duration,light contention,spin::Mutex,,,3815994.0,ns,2542
duration,light contention,spin::Mutex,,,5917072.0,ns,2624
duration,light contention,spin::Mutex,,,6488396.0,ns,2706
duration,light contention,spin::Mutex,,,5591048.0,ns,2788
duration,light contention,spin::Mutex,,,6192494.0,ns,2870
duration,light contention,spin::Mutex,,,5865030.0,ns,2952
duration,light contention,spin::Mutex,,,7711278.0,ns,3034
duration,light contention,spin::Mutex,,,6599774.0,ns,3116
duration,light contention,spin::Mutex,,,5519837.0,ns,3198
duration,light contention,spin::Mutex,,,5666278.0,ns,3280
duration,light contention,spin::Mutex,,,7158067.0,ns,3362
duration,light contention,spin::Mutex,,,5245619.0,ns,3444
duration,light contention,spin::Mutex,,,4914785.0,ns,3526
duration,light contention,spin::Mutex,,,6521369.0,ns,3608
duration,light contention,spin::Mutex,,,6722853.0,ns,3690
duration,light contention,spin::Mutex,,,7242777.0,ns,3772
duration,light contention,spin::Mutex,,,10252514.0,ns,3854
duration,light contention,spin::Mutex,,,7676155.0,ns,3936
duration,light contention,spin::Mutex,,,6535590.0,ns,4018
duration,light contention,spin::Mutex,,,6887588.0,ns,4100
duration,light contention,spin::Mutex,,,11574946.0,ns,4182
duration,light contention,spin::Mutex,,,7347506.0,ns,4264
duration,light contention,spin::Mutex,,,7440193.0,ns,4346
duration,light contention,spin::Mutex,,,12467902.0,ns,4428
duration,light contention,spin::Mutex,,,8096158.0,ns,4510
duration,light contention,spin::Mutex,,,8760638.0,ns,4592
duration,light contention,spin::Mutex,,,11257365.0,ns,4674
duration,light contention,spin::Mutex,,,8468589.0,ns,4756
duration,light contention,spin::Mutex,,,8166411.0,ns,4838
duration,light contention,spin::Mutex,,,9227330.0,ns,4920
duration,light contention,spin::Mutex,,,10437988.0,ns,5002
duration,light contention,spin::Mutex,,,6110801.0,ns,5084
duration,light contention,spin::Mutex,,,8617843.0,ns,5166
duration,light contention,spin::Mutex,,,9781577.0,ns,5248
duration,light contention,spin::Mutex,,,10028563.0,ns,5330
duration,light contention,spin::Mutex,,,11678068.0,ns,5412
duration,light contention,spin::Mutex,,,10611494.0,ns,5494
duration,light contention,spin::Mutex,,,17018800.0,ns,5576
duration,light contention,spin::Mutex,,,10847259.0,ns,5658
duration,light contention,spin::Mutex,,,9748587.0,ns,5740
duration,light contention,spin::Mutex,,,11172357.0,ns,5822
duration,light contention,spin::Mutex,,,29371710.0,ns,5904
duration,light contention,spin::Mutex,,,15046407.0,ns,5986
duration,light contention,spin::Mutex,,,13066932.0,ns,6068
duration,light contention,spin::Mutex,,,11982240.0,ns,6150
duration,light contention,spin::Mutex,,,11495924.0,ns,6232
duration,light contention,spin::Mutex,,,11274079.0,ns,6314
duration,light contention,spin::Mutex,,,8840457.0,ns,6396
duration,light contention,spin::Mutex,,,10697701.0,ns,6478
duration,light contention,spin::Mutex,,,9650490.0,ns,6560
duration,light contention,spin::Mutex,,,29703468.0,ns,6642
duration,light contention,spin::Mutex,,,11267419.0,ns,6724
duration,light contention,spin::Mutex,,,13159190.0,ns,6806
duration,light contention,spin::Mutex,,,10334594.0,ns,6888
duration,light contention,spin::Mutex,,,11828437.0,ns,6970
duration,light contention,spin::Mutex,,,14019541.0,ns,7052
duration,light contention,spin::Mutex,,,11911046.0,ns,7134
duration,light contention,spin::Mutex,,,11699835.0,ns,7216
duration,light contention,spin::Mutex,,,30288958.0,ns,7298
duration,light contention,spin::Mutex,,,59277309.0,ns,7380
duration,light contention,spin::Mutex,,,34455656.0,ns,7462
duration,light contention,spin::Mutex,,,12640730.0,ns,7544
duration,light contention,spin::Mutex,,,16829265.0,ns,7626
duration,light contention,spin::Mutex,,,14638465.0,ns,7708
duration,light contention,spin::Mutex,,,15090506.0,ns,7790
duration,light contention,spin::Mutex,,,16488530.0,ns,7872
duration,light contention,spin::Mutex,,,13526617.0,ns,7954
duration,light contention,spin::Mutex,,,13311940.0,ns,8036
duration,light contention,spin::Mutex,,,12902503.0,ns,8118
duration,light contention,spin::Mutex,,,13400489.0,ns,8200
