group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,light contention,std::sync::Mutex,,,1076138.0,ns,282
duration,light contention,std::sync::Mutex,,,2333337.0,ns,564
duration,light contention,std::sync::Mutex,,,3489111.0,ns,846
duration,light contention,std::sync::Mutex,,,2254561.0,ns,1128
duration,light contention,std::sync::Mutex,,,4746256.0,ns,1410
duration,light contention,std::sync::Mutex,,,4961618.0,ns,1692
duration,light contention,std::sync::Mutex,,,6100735.0,ns,1974
duration,light contention,std::sync::Mutex,,,5018248.0,ns,2256
duration,light contention,std::sync::Mutex,,,6306228.0,ns,2538
duration,light contention,std::sync::Mutex,,,4383111.0,ns,2820
duration,light contention,std::sync::Mutex,,,7499302.0,ns,3102
duration,light contention,std::sync::Mutex,,,8545969.0,ns,3384
duration,light contention,std::sync::Mutex,,,7649304.0,ns,3666
duration,light contention,std::sync::Mutex,,,8916473.0,ns,3948
duration,light contention,std::sync::Mutex,,,9476980.0,ns,4230
duration,light contention,std::sync::Mutex,,,9566441.0,ns,4512
duration,light contention,std::sync::Mutex,,,9831474.0,ns,4794
duration,light contention,std::sync::Mutex,,,11202386.0,ns,5076
duration,light contention,std::sync::Mutex,,,12104307.0,ns,5358
duration,light contention,std::sync::Mutex,,,12693659.0,ns,5640
duration,light contention,std::sync::Mutex,,,12734660.0,ns,5922
duration,light contention,std::sync::Mutex,,,12432986.0,ns,6204
duration,light contention,std::sync::Mutex,,,13772933.0,ns,6486
duration,light contention,std::sync::Mutex,,,14458862.0,ns,6768
duration,light contention,std::sync::Mutex,,,15032143.0,ns,7050
duration,light contention,std::sync::Mutex,,,15432965.0,ns,7332
duration,light contention,std::sync::Mutex,,,16534899.0,ns,7614
duration,light contention,std::sync::Mutex,,,14246752.0,ns,7896
duration,light contention,std::sync::Mutex,,,16045323.0,ns,8178
duration,light contention,std::sync::Mutex,,,16608839.0,ns,8460
duration,light contention,std::sync::Mutex,,,16726689.0,ns,8742
duration,light contention,std::sync::Mutex,,,17722947.0,ns,9024
duration,light contention,std::sync::Mutex,,,15902223.0,ns,9306
duration,light contention,std::sync::Mutex,,,18144304.0,ns,9588
duration,light contention,std::sync::Mutex,,,19199231.0,ns,9870
duration,light contention,std::sync::Mutex,,,19112396.0,ns,10152
duration,light contention,std::sync::Mutex,,,19639161.0,ns,10434
duration,light contention,std::sync::Mutex,,,19816178.0,ns,10716
duration,light contention,std::sync::Mutex,,,19504585.0,ns,10998
duration,light contention,std::sync::Mutex,,,20825191.0,ns,11280
duration,light contention,std::sync::Mutex,,,21019656.0,ns,11562
duration,light contention,std::sync::Mutex,,,21428787.0,ns,11844
duration,light contention,std::sync::Mutex,,,22115023.0,ns,12126
duration,light contention,std::sync::Mutex,,,22098632.0,ns,12408
duration,light contention,std::sync::Mutex,,,24078039.0,ns,12690
duration,light contention,std::sync::Mutex,,,23519300.0,ns,12972
duration,light contention,std::sync::Mutex,,,23559683.0,ns,13254
duration,light contention,std::sync::Mutex,,,25007594.0,ns,13536
duration,light contention,std::sync::Mutex,,,25549545.0,ns,13818
duration,light contention,std::sync::Mutex,,,25605499.0,ns,14100
duration,light contention,std::sync::Mutex,,,25584623.0,ns,14382
duration,light contention,std::sync::Mutex,,,25081801.0,ns,14664
duration,light contention,std::sync::Mutex,,,25699988.0,ns,14946
duration,light contention,std::sync::Mutex,,,26611037.0,ns,15228
duration,light contention,std::sync::Mutex,,,27521982.0,ns,15510
duration,light contention,std::sync::Mutex,,,26705130.0,ns,15792
duration,light contention,std::sync::Mutex,,,25970732.0,ns,16074
duration,light contention,std::sync::Mutex,,,26794314.0,ns,16356
duration,light contention,std::sync::Mutex,,,26433434.0,ns,16638
duration,light contention,std::sync::Mutex,,,31858356.0,ns,16920
duration,light contention,std::sync::Mutex,,,30192078.0,ns,17202
duration,light contention,std::sync::Mutex,,,30910266.0,ns,17484
duration,light contention,std::sync::Mutex,,,30628364.0,ns,17766
duration,light contention,std::sync::Mutex,,,30060011.0,ns,18048
duration,light contention,std::sync::Mutex,,,27662863.0,ns,18330
duration,light contention,std::sync::Mutex,,,31012608.0,ns,18612
duration,light contention,std::sync::Mutex,,,31520454.0,ns,18894
duration,light contention,std::sync::Mutex,,,32095315.0,ns,19176
duration,light contention,std::sync::Mutex,,,34068206.0,ns,19458
duration,light contention,std::sync::Mutex,,,33340119.0,ns,19740
duration,light contention,std::sync::Mutex,,,34191435.0,ns,20022
duration,light contention,std::sync::Mutex,,,35084259.0,ns,20304
duration,light contention,std::sync::Mutex,,,35405460.0,ns,20586
duration,light contention,std::sync::Mutex,,,32909274.0,ns,20868
duration,light contention,std::sync::Mutex,,,34425598.0,ns,21150
duration,light contention,std::sync::Mutex,,,36514865.0,ns,21432
duration,light contention,std::sync::Mutex,,,32479808.0,ns,21714
duration,light contention,std::sync::Mutex,,,35859454.0,ns,21996
duration,light contention,std::sync::Mutex,,,36715402.0,ns,22278
duration,light contention,std::sync::Mutex,,,37496592.0,ns,22560
duration,light contention,std::sync::Mutex,,,37685459.0,ns,22842
duration,light contention,std::sync::Mutex,,,36376191.0,ns,23124
duration,light contention,std::sync::Mutex,,,39672423.0,ns,23406
duration,light contention,std::sync::Mutex,,,36838309.0,ns,23688
duration,light contention,std::sync::Mutex,,,38759292.0,ns,23970
duration,light contention,std::sync::Mutex,,,39278667.0,ns,24252
duration,light contention,std::sync::Mutex,,,38869507.0,ns,24534
duration,light contention,std::sync::Mutex,,,37699560.0,ns,24816
duration,light contention,std::sync::Mutex,,,38251045.0,ns,25098
duration,light contention,std::sync::Mutex,,,41112577.0,ns,25380
duration,light contention,std::sync::Mutex,,,40372046.0,ns,25662
duration,light contention,std::sync::Mutex,,,45026041.0,ns,25944
duration,light contention,std::sync::Mutex,,,42784889.0,ns,26226
duration,light contention,std::sync::Mutex,,,44375644.0,ns,26508
duration,light contention,std::sync::Mutex,,,44363506.0,ns,26790
duration,light contention,std::sync::Mutex,,,43709538.0,ns,27072
duration,light contention,std::sync::Mutex,,,44328076.0,ns,27354
duration,light contention,std::sync::Mutex,,,45094085.0,ns,27636
duration,light contention,std::sync::Mutex,,,46541592.0,ns,27918
duration,light contention,std::sync::Mutex,,,44397568.0,ns,28200
