group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,AmdSpinlock,,,375622.0,ns,1
duration,no contention,AmdSpinlock,,,264531.0,ns,2
duration,no contention,AmdSpinlock,,,196679.0,ns,3
duration,no contention,AmdSpinlock,,,216381.0,ns,4
duration,no contention,AmdSpinlock,,,304344.0,ns,5
duration,no contention,AmdSpinlock,,,688976.0,ns,6
duration,no contention,AmdSpinlock,,,363583.0,ns,7
duration,no contention,AmdSpinlock,,,210484.0,ns,8
duration,no contention,AmdSpinlock,,,338245.0,ns,9
duration,no contention,AmdSpinlock,,,210173.0,ns,10
duration,no contention,AmdSpinlock,,,563279.0,ns,11
duration,no contention,AmdSpinlock,,,495343.0,ns,12
duration,no contention,AmdSpinlock,,,488062.0,ns,13
duration,no contention,AmdSpinlock,,,659179.0,ns,14
duration,no contention,AmdSpinlock,,,607543.0,ns,15
duration,no contention,AmdSpinlock,,,502374.0,ns,16
duration,no contention,AmdSpinlock,,,181830.0,ns,17
duration,no contention,AmdSpinlock,,,789412.0,ns,18
duration,no contention,AmdSpinlock,,,486112.0,ns,19
duration,no contention,AmdSpinlock,,,675506.0,ns,20
duration,no contention,AmdSpinlock,,,262194.0,ns,21
duration,no contention,AmdSpinlock,,,270540.0,ns,22
duration,no contention,AmdSpinlock,,,278788.0,ns,23
duration,no contention,AmdSpinlock,,,561297.0,ns,24
duration,no contention,AmdSpinlock,,,402485.0,ns,25
duration,no contention,AmdSpinlock,,,540609.0,ns,26
duration,no contention,AmdSpinlock,,,271248.0,ns,27
duration,no contention,AmdSpinlock,,,266573.0,ns,28
duration,no contention,AmdSpinlock,,,782800.0,ns,29
duration,no contention,AmdSpinlock,,,406505.0,ns,30
duration,no contention,AmdSpinlock,,,296230.0,ns,31
duration,no contention,AmdSpinlock,,,222222.0,ns,32
duration,no contention,AmdSpinlock,,,319182.0,ns,33
duration,no contention,AmdSpinlock,,,567302.0,ns,34
duration,no contention,AmdSpinlock,,,317101.0,ns,35
duration,no contention,AmdSpinlock,,,594809.0,ns,36
duration,no contention,AmdSpinlock,,,294192.0,ns,37
duration,no contention,AmdSpinlock,,,319643.0,ns,38
duration,no contention,AmdSpinlock,,,335007.0,ns,39
duration,no contention,AmdSpinlock,,,543207.0,ns,40
duration,no contention,AmdSpinlock,,,389298.0,ns,41
duration,no contention,AmdSpinlock,,,193606.0,ns,42
duration,no contention,AmdSpinlock,,,637046.0,ns,43
duration,no contention,AmdSpinlock,,,391467.0,ns,44
duration,no contention,AmdSpinlock,,,305246.0,ns,45
duration,no contention,AmdSpinlock,,,307878.0,ns,46
duration,no contention,AmdSpinlock,,,673273.0,ns,47
duration,no contention,AmdSpinlock,,,377320.0,ns,48
duration,no contention,AmdSpinlock,,,390610.0,ns,49
duration,no contention,AmdSpinlock,,,230156.0,ns,50
duration,no contention,AmdSpinlock,,,972472.0,ns,51
duration,no contention,AmdSpinlock,,,567652.0,ns,52
duration,no contention,AmdSpinlock,,,439720.0,ns,53
duration,no contention,AmdSpinlock,,,356325.0,ns,54
duration,no contention,AmdSpinlock,,,1008664.0,ns,55
duration,no contention,AmdSpinlock,,,227702.0,ns,56
duration,no contention,AmdSpinlock,,,387948.0,ns,57
duration,no contention,AmdSpinlock,,,573117.0,ns,58
duration,no contention,AmdSpinlock,,,525040.0,ns,59
duration,no contention,AmdSpinlock,,,372781.0,ns,60
duration,no contention,AmdSpinlock,,,736635.0,ns,61
duration,no contention,AmdSpinlock,,,476850.0,ns,62
duration,no contention,AmdSpinlock,,,692314.0,ns,63
duration,no contention,AmdSpinlock,,,390221.0,ns,64
duration,no contention,AmdSpinlock,,,540661.0,ns,65
duration,no contention,AmdSpinlock,,,562610.0,ns,66
duration,no contention,AmdSpinlock,,,575308.0,ns,67
duration,no contention,AmdSpinlock,,,736706.0,ns,68
duration,no contention,AmdSpinlock,,,745829.0,ns,69
duration,no contention,AmdSpinlock,,,558455.0,ns,70
duration,no contention,AmdSpinlock,,,977057.0,ns,71
duration,no contention,AmdSpinlock,,,385074.0,ns,72
duration,no contention,AmdSpinlock,,,682191.0,ns,73
duration,no contention,AmdSpinlock,,,387069.0,ns,74
duration,no contention,AmdSpinlock,,,829103.0,ns,75
duration,no contention,AmdSpinlock,,,645136.0,ns,76
duration,no contention,AmdSpinlock,,,529414.0,ns,77
duration,no contention,AmdSpinlock,,,779728.0,ns,78
duration,no contention,AmdSpinlock,,,725794.0,ns,79
duration,no contention,AmdSpinlock,,,526626.0,ns,80
duration,no contention,AmdSpinlock,,,671072.0,ns,81
duration,no contention,AmdSpinlock,,,487198.0,ns,82
duration,no contention,AmdSpinlock,,,993072.0,ns,83
duration,no contention,AmdSpinlock,,,599427.0,ns,84
duration,no contention,AmdSpinlock,,,1107159.0,ns,85
duration,no contention,AmdSpinlock,,,668702.0,ns,86
duration,no contention,AmdSpinlock,,,687991.0,ns,87
duration,no contention,AmdSpinlock,,,496399.0,ns,88
duration,no contention,AmdSpinlock,,,797749.0,ns,89
duration,no contention,AmdSpinlock,,,624748.0,ns,90
duration,no contention,AmdSpinlock,,,922316.0,ns,91
duration,no contention,AmdSpinlock,,,540083.0,ns,92
duration,no contention,AmdSpinlock,,,501702.0,ns,93
duration,no contention,AmdSpinlock,,,637804.0,ns,94
duration,no contention,AmdSpinlock,,,586742.0,ns,95
duration,no contention,AmdSpinlock,,,885256.0,ns,96
duration,no contention,AmdSpinlock,,,856314.0,ns,97
duration,no contention,AmdSpinlock,,,410414.0,ns,98
duration,no contention,AmdSpinlock,,,561942.0,ns,99
duration,no contention,AmdSpinlock,,,499889.0,ns,100
