group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,parking_lot::Mutex,,,291456.0,ns,1
duration,no contention,parking_lot::Mutex,,,534175.0,ns,2
duration,no contention,parking_lot::Mutex,,,528972.0,ns,3
duration,no contention,parking_lot::Mutex,,,562012.0,ns,4
duration,no contention,parking_lot::Mutex,,,624148.0,ns,5
duration,no contention,parking_lot::Mutex,,,765334.0,ns,6
duration,no contention,parking_lot::Mutex,,,276464.0,ns,7
duration,no contention,parking_lot::Mutex,,,245720.0,ns,8
duration,no contention,parking_lot::Mutex,,,192165.0,ns,9
duration,no contention,parking_lot::Mutex,,,527564.0,ns,10
duration,no contention,parking_lot::Mutex,,,417830.0,ns,11
duration,no contention,parking_lot::Mutex,,,381926.0,ns,12
duration,no contention,parking_lot::Mutex,,,372268.0,ns,13
duration,no contention,parking_lot::Mutex,,,400776.0,ns,14
duration,no contention,parking_lot::Mutex,,,260445.0,ns,15
duration,no contention,parking_lot::Mutex,,,311256.0,ns,16
duration,no contention,parking_lot::Mutex,,,227191.0,ns,17
duration,no contention,parking_lot::Mutex,,,407383.0,ns,18
duration,no contention,parking_lot::Mutex,,,362187.0,ns,19
duration,no contention,parking_lot::Mutex,,,304341.0,ns,20
duration,no contention,parking_lot::Mutex,,,817308.0,ns,21
duration,no contention,parking_lot::Mutex,,,428058.0,ns,22
duration,no contention,parking_lot::Mutex,,,254533.0,ns,23
duration,no contention,parking_lot::Mutex,,,900350.0,ns,24
duration,no contention,parking_lot::Mutex,,,905918.0,ns,25
duration,no contention,parking_lot::Mutex,,,522161.0,ns,26
duration,no contention,parking_lot::Mutex,,,195337.0,ns,27
duration,no contention,parking_lot::Mutex,,,387833.0,ns,28
duration,no contention,parking_lot::Mutex,,,682007.0,ns,29
duration,no contention,parking_lot::Mutex,,,565200.0,ns,30
duration,no contention,parking_lot::Mutex,,,330813.0,ns,31
duration,no contention,parking_lot::Mutex,,,269671.0,ns,32
duration,no contention,parking_lot::Mutex,,,553048.0,ns,33
duration,no contention,parking_lot::Mutex,,,318939.0,ns,34
duration,no contention,parking_lot::Mutex,,,538780.0,ns,35
duration,no contention,parking_lot::Mutex,,,611794.0,ns,36
