group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,spin::Mutex,,,464743.0,ns,1
duration,no contention,spin::Mutex,,,448869.0,ns,2
duration,no contention,spin::Mutex,,,206443.0,ns,3
duration,no contention,spin::Mutex,,,285044.0,ns,4
duration,no contention,spin::Mutex,,,365807.0,ns,5
duration,no contention,spin::Mutex,,,457021.0,ns,6
duration,no contention,spin::Mutex,,,584355.0,ns,7
duration,no contention,spin::Mutex,,,230540.0,ns,8
duration,no contention,spin::Mutex,,,835691.0,ns,9
duration,no contention,spin::Mutex,,,945856.0,ns,10
duration,no contention,spin::Mutex,,,375262.0,ns,11
duration,no contention,spin::Mutex,,,627093.0,ns,12
duration,no contention,spin::Mutex,,,533806.0,ns,13
duration,no contention,spin::Mutex,,,118315.0,ns,14
duration,no contention,spin::Mutex,,,238453.0,ns,15
duration,no contention,spin::Mutex,,,365300.0,ns,16
duration,no contention,spin::Mutex,,,149192.0,ns,17
duration,no contention,spin::Mutex,,,490800.0,ns,18
duration,no contention,spin::Mutex,,,655906.0,ns,19
duration,no contention,spin::Mutex,,,300275.0,ns,20
duration,no contention,spin::Mutex,,,567442.0,ns,21
duration,no contention,spin::Mutex,,,153996.0,ns,22
duration,no contention,spin::Mutex,,,587550.0,ns,23
duration,no contention,spin::Mutex,,,294564.0,ns,24
duration,no contention,spin::Mutex,,,146443.0,ns,25
duration,no contention,spin::Mutex,,,525507.0,ns,26
duration,no contention,spin::Mutex,,,251781.0,ns,27
duration,no contention,spin::Mutex,,,174506.0,ns,28
duration,no contention,spin::Mutex,,,710740.0,ns,29
duration,no contention,spin::Mutex,,,519015.0,ns,30
duration,no contention,spin::Mutex,,,613975.0,ns,31
duration,no contention,spin::Mutex,,,1049062.0,ns,32
duration,no contention,spin::Mutex,,,905423.0,ns,33
duration,no contention,spin::Mutex,,,350395.0,ns,34
duration,no contention,spin::Mutex,,,297892.0,ns,35
duration,no contention,spin::Mutex,,,844094.0,ns,36
duration,no contention,spin::Mutex,,,359184.0,ns,37
duration,no contention,spin::Mutex,,,302242.0,ns,38
duration,no contention,spin::Mutex,,,519819.0,ns,39
duration,no contention,spin::Mutex,,,664353.0,ns,40
duration,no contention,spin::Mutex,,,630964.0,ns,41
duration,no contention,spin::Mutex,,,617868.0,ns,42
duration,no contention,spin::Mutex,,,579627.0,ns,43
duration,no contention,spin::Mutex,,,671829.0,ns,44
duration,no contention,spin::Mutex,,,451826.0,ns,45
duration,no contention,spin::Mutex,,,339317.0,ns,46
duration,no contention,spin::Mutex,,,324345.0,ns,47
duration,no contention,spin::Mutex,,,808872.0,ns,48
duration,no contention,spin::Mutex,,,620666.0,ns,49
duration,no contention,spin::Mutex,,,340375.0,ns,50
duration,no contention,spin::Mutex,,,679588.0,ns,51
duration,no contention,spin::Mutex,,,665776.0,ns,52
duration,no contention,spin::Mutex,,,581790.0,ns,53
duration,no contention,spin::Mutex,,,319638.0,ns,54
duration,no contention,spin::Mutex,,,305375.0,ns,55
duration,no contention,spin::Mutex,,,757826.0,ns,56
duration,no contention,spin::Mutex,,,314105.0,ns,57
duration,no contention,spin::Mutex,,,708714.0,ns,58
duration,no contention,spin::Mutex,,,795576.0,ns,59
duration,no contention,spin::Mutex,,,646760.0,ns,60
duration,no contention,spin::Mutex,,,472775.0,ns,61
duration,no contention,spin::Mutex,,,700713.0,ns,62
duration,no contention,spin::Mutex,,,399787.0,ns,63
duration,no contention,spin::Mutex,,,658840.0,ns,64
duration,no contention,spin::Mutex,,,239604.0,ns,65
duration,no contention,spin::Mutex,,,531962.0,ns,66
duration,no contention,spin::Mutex,,,611546.0,ns,67
duration,no contention,spin::Mutex,,,525849.0,ns,68
duration,no contention,spin::Mutex,,,432966.0,ns,69
duration,no contention,spin::Mutex,,,537252.0,ns,70
duration,no contention,spin::Mutex,,,597384.0,ns,71
duration,no contention,spin::Mutex,,,366421.0,ns,72
duration,no contention,spin::Mutex,,,386645.0,ns,73
duration,no contention,spin::Mutex,,,1284833.0,ns,74
duration,no contention,spin::Mutex,,,1111381.0,ns,75
duration,no contention,spin::Mutex,,,420355.0,ns,76
duration,no contention,spin::Mutex,,,491926.0,ns,77
duration,no contention,spin::Mutex,,,455036.0,ns,78
duration,no contention,spin::Mutex,,,750756.0,ns,79
duration,no contention,spin::Mutex,,,264302.0,ns,80
duration,no contention,spin::Mutex,,,702130.0,ns,81
duration,no contention,spin::Mutex,,,442846.0,ns,82
duration,no contention,spin::Mutex,,,296458.0,ns,83
duration,no contention,spin::Mutex,,,438081.0,ns,84
duration,no contention,spin::Mutex,,,410544.0,ns,85
duration,no contention,spin::Mutex,,,1073697.0,ns,86
duration,no contention,spin::Mutex,,,491556.0,ns,87
duration,no contention,spin::Mutex,,,609071.0,ns,88
duration,no contention,spin::Mutex,,,435932.0,ns,89
duration,no contention,spin::Mutex,,,438137.0,ns,90
duration,no contention,spin::Mutex,,,624393.0,ns,91
duration,no contention,spin::Mutex,,,491932.0,ns,92
duration,no contention,spin::Mutex,,,693532.0,ns,93
duration,no contention,spin::Mutex,,,931212.0,ns,94
duration,no contention,spin::Mutex,,,510494.0,ns,95
duration,no contention,spin::Mutex,,,597357.0,ns,96
duration,no contention,spin::Mutex,,,921149.0,ns,97
duration,no contention,spin::Mutex,,,462402.0,ns,98
duration,no contention,spin::Mutex,,,825666.0,ns,99
duration,no contention,spin::Mutex,,,519106.0,ns,100
