group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
duration,no contention,std::sync::Mutex,,,210347.0,ns,1
duration,no contention,std::sync::Mutex,,,632147.0,ns,2
duration,no contention,std::sync::Mutex,,,205939.0,ns,3
duration,no contention,std::sync::Mutex,,,265259.0,ns,4
duration,no contention,std::sync::Mutex,,,203546.0,ns,5
duration,no contention,std::sync::Mutex,,,177365.0,ns,6
duration,no contention,std::sync::Mutex,,,279759.0,ns,7
duration,no contention,std::sync::Mutex,,,625434.0,ns,8
duration,no contention,std::sync::Mutex,,,239608.0,ns,9
duration,no contention,std::sync::Mutex,,,958271.0,ns,10
duration,no contention,std::sync::Mutex,,,275205.0,ns,11
duration,no contention,std::sync::Mutex,,,477679.0,ns,12
duration,no contention,std::sync::Mutex,,,537266.0,ns,13
duration,no contention,std::sync::Mutex,,,317014.0,ns,14
duration,no contention,std::sync::Mutex,,,607945.0,ns,15
duration,no contention,std::sync::Mutex,,,345564.0,ns,16
duration,no contention,std::sync::Mutex,,,225543.0,ns,17
duration,no contention,std::sync::Mutex,,,317822.0,ns,18
duration,no contention,std::sync::Mutex,,,398790.0,ns,19
duration,no contention,std::sync::Mutex,,,638751.0,ns,20
duration,no contention,std::sync::Mutex,,,295309.0,ns,21
duration,no contention,std::sync::Mutex,,,282772.0,ns,22
duration,no contention,std::sync::Mutex,,,233844.0,ns,23
duration,no contention,std::sync::Mutex,,,363751.0,ns,24
duration,no contention,std::sync::Mutex,,,362153.0,ns,25
duration,no contention,std::sync::Mutex,,,438452.0,ns,26
duration,no contention,std::sync::Mutex,,,403182.0,ns,27
duration,no contention,std::sync::Mutex,,,692682.0,ns,28
duration,no contention,std::sync::Mutex,,,610366.0,ns,29
duration,no contention,std::sync::Mutex,,,487641.0,ns,30
duration,no contention,std::sync::Mutex,,,371932.0,ns,31
duration,no contention,std::sync::Mutex,,,543610.0,ns,32
duration,no contention,std::sync::Mutex,,,546165.0,ns,33
duration,no contention,std::sync::Mutex,,,334035.0,ns,34
duration,no contention,std::sync::Mutex,,,346532.0,ns,35
duration,no contention,std::sync::Mutex,,,384622.0,ns,36
duration,no contention,std::sync::Mutex,,,364330.0,ns,37
duration,no contention,std::sync::Mutex,,,562224.0,ns,38
duration,no contention,std::sync::Mutex,,,350269.0,ns,39
duration,no contention,std::sync::Mutex,,,419963.0,ns,40
duration,no contention,std::sync::Mutex,,,500337.0,ns,41
duration,no contention,std::sync::Mutex,,,482329.0,ns,42
duration,no contention,std::sync::Mutex,,,767895.0,ns,43
duration,no contention,std::sync::Mutex,,,689078.0,ns,44
duration,no contention,std::sync::Mutex,,,423389.0,ns,45
duration,no contention,std::sync::Mutex,,,734312.0,ns,46
duration,no contention,std::sync::Mutex,,,462046.0,ns,47
duration,no contention,std::sync::Mutex,,,420473.0,ns,48
duration,no contention,std::sync::Mutex,,,742085.0,ns,49
duration,no contention,std::sync::Mutex,,,682811.0,ns,50
duration,no contention,std::sync::Mutex,,,924091.0,ns,51
duration,no contention,std::sync::Mutex,,,368289.0,ns,52
duration,no contention,std::sync::Mutex,,,532753.0,ns,53
duration,no contention,std::sync::Mutex,,,564241.0,ns,54
duration,no contention,std::sync::Mutex,,,472289.0,ns,55
duration,no contention,std::sync::Mutex,,,759802.0,ns,56
duration,no contention,std::sync::Mutex,,,611873.0,ns,57
duration,no contention,std::sync::Mutex,,,742278.0,ns,58
duration,no contention,std::sync::Mutex,,,526764.0,ns,59
duration,no contention,std::sync::Mutex,,,452579.0,ns,60
duration,no contention,std::sync::Mutex,,,1096731.0,ns,61
duration,no contention,std::sync::Mutex,,,834073.0,ns,62
duration,no contention,std::sync::Mutex,,,805670.0,ns,63
duration,no contention,std::sync::Mutex,,,438245.0,ns,64
duration,no contention,std::sync::Mutex,,,658842.0,ns,65
duration,no contention,std::sync::Mutex,,,804091.0,ns,66
duration,no contention,std::sync::Mutex,,,301212.0,ns,67
duration,no contention,std::sync::Mutex,,,488889.0,ns,68
duration,no contention,std::sync::Mutex,,,805728.0,ns,69
duration,no contention,std::sync::Mutex,,,542586.0,ns,70
duration,no contention,std::sync::Mutex,,,510608.0,ns,71
duration,no contention,std::sync::Mutex,,,866315.0,ns,72
duration,no contention,std::sync::Mutex,,,542033.0,ns,73
duration,no contention,std::sync::Mutex,,,808926.0,ns,74
duration,no contention,std::sync::Mutex,,,703161.0,ns,75
duration,no contention,std::sync::Mutex,,,730539.0,ns,76
duration,no contention,std::sync::Mutex,,,582000.0,ns,77
duration,no contention,std::sync::Mutex,,,513167.0,ns,78
duration,no contention,std::sync::Mutex,,,590423.0,ns,79
duration,no contention,std::sync::Mutex,,,567118.0,ns,80
duration,no contention,std::sync::Mutex,,,767650.0,ns,81
duration,no contention,std::sync::Mutex,,,694945.0,ns,82
duration,no contention,std::sync::Mutex,,,545252.0,ns,83
duration,no contention,std::sync::Mutex,,,658465.0,ns,84
duration,no contention,std::sync::Mutex,,,989933.0,ns,85
duration,no contention,std::sync::Mutex,,,551208.0,ns,86
duration,no contention,std::sync::Mutex,,,968088.0,ns,87
duration,no contention,std::sync::Mutex,,,650088.0,ns,88
duration,no contention,std::sync::Mutex,,,664121.0,ns,89
duration,no contention,std::sync::Mutex,,,637489.0,ns,90
duration,no contention,std::sync::Mutex,,,1078703.0,ns,91
duration,no contention,std::sync::Mutex,,,784338.0,ns,92
duration,no contention,std::sync::Mutex,,,1037209.0,ns,93
duration,no contention,std::sync::Mutex,,,610484.0,ns,94
duration,no contention,std::sync::Mutex,,,1210142.0,ns,95
duration,no contention,std::sync::Mutex,,,990149.0,ns,96
duration,no contention,std::sync::Mutex,,,1169972.0,ns,97
duration,no contention,std::sync::Mutex,,,985641.0,ns,98
duration,no contention,std::sync::Mutex,,,806050.0,ns,99
duration,no contention,std::sync::Mutex,,,831791.0,ns,100
