group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,AmdSpinlock,,,1302000.0,ns,40
kernel,extreme contention,AmdSpinlock,,,314000.0,ns,80
kernel,extreme contention,AmdSpinlock,,,2872000.0,ns,120
kernel,extreme contention,AmdSpinlock,,,3261000.0,ns,160
kernel,extreme contention,AmdSpinlock,,,1825000.0,ns,200
kernel,extreme contention,AmdSpinlock,,,3459000.0,ns,240
kernel,extreme contention,AmdSpinlock,,,1719000.0,ns,280
kernel,extreme contention,AmdSpinlock,,,1593000.0,ns,320
kernel,extreme contention,AmdSpinlock,,,1725000.0,ns,360
kernel,extreme contention,AmdSpinlock,,,2451000.0,ns,400
kernel,extreme contention,AmdSpinlock,,,1405000.0,ns,440
kernel,extreme contention,AmdSpinlock,,,1710000.0,ns,480
kernel,extreme contention,AmdSpinlock,,,232000.0,ns,520
kernel,extreme contention,AmdSpinlock,,,281000.0,ns,560
kernel,extreme contention,AmdSpinlock,,,1341000.0,ns,600
kernel,extreme contention,AmdSpinlock,,,778000.0,ns,640
kernel,extreme contention,AmdSpinlock,,,583000.0,ns,680
kernel,extreme contention,AmdSpinlock,,,475000.0,ns,720
kernel,extreme contention,AmdSpinlock,,,1308000.0,ns,760
kernel,extreme contention,AmdSpinlock,,,1508000.0,ns,800
kernel,extreme contention,AmdSpinlock,,,1796000.0,ns,840
kernel,extreme contention,AmdSpinlock,,,1390000.0,ns,880
kernel,extreme contention,AmdSpinlock,,,1622000.0,ns,920
kernel,extreme contention,AmdSpinlock,,,401000.0,ns,960
kernel,extreme contention,AmdSpinlock,,,552000.0,ns,1000
kernel,extreme contention,AmdSpinlock,,,1712000.0,ns,1040
kernel,extreme contention,AmdSpinlock,,,1765000.0,ns,1080
kernel,extreme contention,AmdSpinlock,,,417000.0,ns,1120
kernel,extreme contention,AmdSpinlock,,,1121000.0,ns,1160
kernel,extreme contention,AmdSpinlock,,,795000.0,ns,1200
kernel,extreme contention,AmdSpinlock,,,1663000.0,ns,1240
kernel,extreme contention,AmdSpinlock,,,1372000.0,ns,1280
kernel,extreme contention,AmdSpinlock,,,547000.0,ns,1320
kernel,extreme contention,AmdSpinlock,,,494000.0,ns,1360
kernel,extreme contention,AmdSpinlock,,,1129000.0,ns,1400
kernel,extreme contention,AmdSpinlock,,,1616000.0,ns,1440
kernel,extreme contention,AmdSpinlock,,,1080000.0,ns,1480
kernel,extreme contention,AmdSpinlock,,,1115000.0,ns,1520
kernel,extreme contention,AmdSpinlock,,,582000.0,ns,1560
kernel,extreme contention,AmdSpinlock,,,613000.0,ns,1600
kernel,extreme contention,AmdSpinlock,,,583000.0,ns,1640
kernel,extreme contention,AmdSpinlock,,,1588000.0,ns,1680
kernel,extreme contention,AmdSpinlock,,,1192000.0,ns,1720
kernel,extreme contention,AmdSpinlock,,,1260000.0,ns,1760
kernel,extreme contention,AmdSpinlock,,,488000.0,ns,1800
kernel,extreme contention,AmdSpinlock,,,453000.0,ns,1840
kernel,extreme contention,AmdSpinlock,,,238000.0,ns,1880
kernel,extreme contention,AmdSpinlock,,,1335000.0,ns,1920
kernel,extreme contention,AmdSpinlock,,,475000.0,ns,1960
kernel,extreme contention,AmdSpinlock,,,2012000.0,ns,2000
kernel,extreme contention,AmdSpinlock,,,455000.0,ns,2040
kernel,extreme contention,AmdSpinlock,,,468000.0,ns,2080
kernel,extreme contention,AmdSpinlock,,,1404000.0,ns,2120
kernel,extreme contention,AmdSpinlock,,,1856000.0,ns,2160
kernel,extreme contention,AmdSpinlock,,,1456000.0,ns,2200
kernel,extreme contention,AmdSpinlock,,,568000.0,ns,2240
kernel,extreme contention,AmdSpinlock,,,1535000.0,ns,2280
kernel,extreme contention,AmdSpinlock,,,1594000.0,ns,2320
kernel,extreme contention,AmdSpinlock,,,1578000.0,ns,2360
kernel,extreme contention,AmdSpinlock,,,1334000.0,ns,2400
kernel,extreme contention,AmdSpinlock,,,1244000.0,ns,2440
kernel,extreme contention,AmdSpinlock,,,292000.0,ns,2480
kernel,extreme contention,AmdSpinlock,,,1634000.0,ns,2520
kernel,extreme contention,AmdSpinlock,,,1593000.0,ns,2560
kernel,extreme contention,AmdSpinlock,,,859000.0,ns,2600
kernel,extreme contention,AmdSpinlock,,,828000.0,ns,2640
kernel,extreme contention,AmdSpinlock,,,1379000.0,ns,2680
kernel,extreme contention,AmdSpinlock,,,1141000.0,ns,2720
kernel,extreme contention,AmdSpinlock,,,1927000.0,ns,2760
kernel,extreme contention,AmdSpinlock,,,471000.0,ns,2800
kernel,extreme contention,AmdSpinlock,,,789000.0,ns,2840
kernel,extreme contention,AmdSpinlock,,,1922000.0,ns,2880
kernel,extreme contention,AmdSpinlock,,,2112000.0,ns,2920
kernel,extreme contention,AmdSpinlock,,,1915000.0,ns,2960
kernel,extreme contention,AmdSpinlock,,,1584000.0,ns,3000
kernel,extreme contention,AmdSpinlock,,,1526000.0,ns,3040
kernel,extreme contention,AmdSpinlock,,,1952000.0,ns,3080
kernel,extreme contention,AmdSpinlock,,,692000.0,ns,3120
kernel,extreme contention,AmdSpinlock,,,589000.0,ns,3160
kernel,extreme contention,AmdSpinlock,,,1284000.0,ns,3200
kernel,extreme contention,AmdSpinlock,,,1472000.0,ns,3240
