group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,parking_lot::Mutex,,,3304000.0,ns,55
kernel,extreme contention,parking_lot::Mutex,,,4169000.0,ns,110
kernel,extreme contention,parking_lot::Mutex,,,4156000.0,ns,165
kernel,extreme contention,parking_lot::Mutex,,,8705000.0,ns,220
kernel,extreme contention,parking_lot::Mutex,,,4416000.0,ns,275
kernel,extreme contention,parking_lot::Mutex,,,9828000.0,ns,330
kernel,extreme contention,parking_lot::Mutex,,,12175000.0,ns,385
kernel,extreme contention,parking_lot::Mutex,,,12068000.0,ns,440
kernel,extreme contention,parking_lot::Mutex,,,9357000.0,ns,495
kernel,extreme contention,parking_lot::Mutex,,,9954000.0,ns,550
kernel,extreme contention,parking_lot::Mutex,,,9580000.0,ns,605
kernel,extreme contention,parking_lot::Mutex,,,8191000.0,ns,660
kernel,extreme contention,parking_lot::Mutex,,,11024000.0,ns,715
kernel,extreme contention,parking_lot::Mutex,,,16958000.0,ns,770
kernel,extreme contention,parking_lot::Mutex,,,14129000.0,ns,825
kernel,extreme contention,parking_lot::Mutex,,,23951000.0,ns,880
kernel,extreme contention,parking_lot::Mutex,,,16081000.0,ns,935
kernel,extreme contention,parking_lot::Mutex,,,19588000.0,ns,990
kernel,extreme contention,parking_lot::Mutex,,,12151000.0,ns,1045
kernel,extreme contention,parking_lot::Mutex,,,27391000.0,ns,1100
kernel,extreme contention,parking_lot::Mutex,,,23105000.0,ns,1155
kernel,extreme contention,parking_lot::Mutex,,,32908000.0,ns,1210
kernel,extreme contention,parking_lot::Mutex,,,25287000.0,ns,1265
kernel,extreme contention,parking_lot::Mutex,,,37947000.0,ns,1320
kernel,extreme contention,parking_lot::Mutex,,,33647000.0,ns,1375
kernel,extreme contention,parking_lot::Mutex,,,28727000.0,ns,1430
kernel,extreme contention,parking_lot::Mutex,,,41322000.0,ns,1485
kernel,extreme contention,parking_lot::Mutex,,,46362000.0,ns,1540
kernel,extreme contention,parking_lot::Mutex,,,28675000.0,ns,1595
kernel,extreme contention,parking_lot::Mutex,,,25352000.0,ns,1650
kernel,extreme contention,parking_lot::Mutex,,,47339000.0,ns,1705
kernel,extreme contention,parking_lot::Mutex,,,25806000.0,ns,1760
kernel,extreme contention,parking_lot::Mutex,,,34217000.0,ns,1815
kernel,extreme contention,parking_lot::Mutex,,,19689000.0,ns,1870
kernel,extreme contention,parking_lot::Mutex,,,61029000.0,ns,1925
kernel,extreme contention,parking_lot::Mutex,,,39912000.0,ns,1980
kernel,extreme contention,parking_lot::Mutex,,,47344000.0,ns,2035
kernel,extreme contention,parking_lot::Mutex,,,40477000.0,ns,2090
kernel,extreme contention,parking_lot::Mutex,,,50350000.0,ns,2145
kernel,extreme contention,parking_lot::Mutex,,,47133000.0,ns,2200
kernel,extreme contention,parking_lot::Mutex,,,44658000.0,ns,2255
kernel,extreme contention,parking_lot::Mutex,,,41631000.0,ns,2310
kernel,extreme contention,parking_lot::Mutex,,,62431000.0,ns,2365
kernel,extreme contention,parking_lot::Mutex,,,38801000.0,ns,2420
kernel,extreme contention,parking_lot::Mutex,,,48421000.0,ns,2475
kernel,extreme contention,parking_lot::Mutex,,,46628000.0,ns,2530
kernel,extreme contention,parking_lot::Mutex,,,70033000.0,ns,2585
kernel,extreme contention,parking_lot::Mutex,,,47063000.0,ns,2640
kernel,extreme contention,parking_lot::Mutex,,,77674000.0,ns,2695
kernel,extreme contention,parking_lot::Mutex,,,54248000.0,ns,2750
kernel,extreme contention,parking_lot::Mutex,,,50281000.0,ns,2805
kernel,extreme contention,parking_lot::Mutex,,,67157000.0,ns,2860
kernel,extreme contention,parking_lot::Mutex,,,58761000.0,ns,2915
kernel,extreme contention,parking_lot::Mutex,,,56820000.0,ns,2970
kernel,extreme contention,parking_lot::Mutex,,,67472000.0,ns,3025
