group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,spin::Mutex,,,1293000.0,ns,38
kernel,extreme contention,spin::Mutex,,,1646000.0,ns,76
kernel,extreme contention,spin::Mutex,,,1941000.0,ns,114
kernel,extreme contention,spin::Mutex,,,2308000.0,ns,152
kernel,extreme contention,spin::Mutex,,,1521000.0,ns,190
kernel,extreme contention,spin::Mutex,,,1181000.0,ns,228
kernel,extreme contention,spin::Mutex,,,2436000.0,ns,266
kernel,extreme contention,spin::Mutex,,,1287000.0,ns,304
kernel,extreme contention,spin::Mutex,,,731000.0,ns,342
kernel,extreme contention,spin::Mutex,,,798000.0,ns,380
kernel,extreme contention,spin::Mutex,,,712000.0,ns,418
kernel,extreme contention,spin::Mutex,,,334000.0,ns,456
kernel,extreme contention,spin::Mutex,,,998000.0,ns,494
kernel,extreme contention,spin::Mutex,,,1085000.0,ns,532
kernel,extreme contention,spin::Mutex,,,1874000.0,ns,570
kernel,extreme contention,spin::Mutex,,,344000.0,ns,608
kernel,extreme contention,spin::Mutex,,,446000.0,ns,646
kernel,extreme contention,spin::Mutex,,,538000.0,ns,684
kernel,extreme contention,spin::Mutex,,,1845000.0,ns,722
kernel,extreme contention,spin::Mutex,,,1601000.0,ns,760
kernel,extreme contention,spin::Mutex,,,463000.0,ns,798
kernel,extreme contention,spin::Mutex,,,536000.0,ns,836
kernel,extreme contention,spin::Mutex,,,580000.0,ns,874
kernel,extreme contention,spin::Mutex,,,1567000.0,ns,912
kernel,extreme contention,spin::Mutex,,,660000.0,ns,950
kernel,extreme contention,spin::Mutex,,,1774000.0,ns,988
kernel,extreme contention,spin::Mutex,,,1331000.0,ns,1026
kernel,extreme contention,spin::Mutex,,,451000.0,ns,1064
kernel,extreme contention,spin::Mutex,,,1037000.0,ns,1102
kernel,extreme contention,spin::Mutex,,,1589000.0,ns,1140
kernel,extreme contention,spin::Mutex,,,1644000.0,ns,1178
kernel,extreme contention,spin::Mutex,,,656000.0,ns,1216
kernel,extreme contention,spin::Mutex,,,331000.0,ns,1254
kernel,extreme contention,spin::Mutex,,,532000.0,ns,1292
kernel,extreme contention,spin::Mutex,,,601000.0,ns,1330
kernel,extreme contention,spin::Mutex,,,578000.0,ns,1368
kernel,extreme contention,spin::Mutex,,,1394000.0,ns,1406
kernel,extreme contention,spin::Mutex,,,356000.0,ns,1444
kernel,extreme contention,spin::Mutex,,,595000.0,ns,1482
kernel,extreme contention,spin::Mutex,,,166000.0,ns,1520
kernel,extreme contention,spin::Mutex,,,1492000.0,ns,1558
kernel,extreme contention,spin::Mutex,,,1802000.0,ns,1596
kernel,extreme contention,spin::Mutex,,,1494000.0,ns,1634
kernel,extreme contention,spin::Mutex,,,808000.0,ns,1672
kernel,extreme contention,spin::Mutex,,,984000.0,ns,1710
kernel,extreme contention,spin::Mutex,,,608000.0,ns,1748
kernel,extreme contention,spin::Mutex,,,1876000.0,ns,1786
kernel,extreme contention,spin::Mutex,,,1312000.0,ns,1824
