group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,extreme contention,std::sync::Mutex,,,7016000.0,ns,39
kernel,extreme contention,std::sync::Mutex,,,14062000.0,ns,78
kernel,extreme contention,std::sync::Mutex,,,14040000.0,ns,117
kernel,extreme contention,std::sync::Mutex,,,27229000.0,ns,156
kernel,extreme contention,std::sync::Mutex,,,28408000.0,ns,195
kernel,extreme contention,std::sync::Mutex,,,31885000.0,ns,234
kernel,extreme contention,std::sync::Mutex,,,34718000.0,ns,273
kernel,extreme contention,std::sync::Mutex,,,40179000.0,ns,312
kernel,extreme contention,std::sync::Mutex,,,44657000.0,ns,351
kernel,extreme contention,std::sync::Mutex,,,47221000.0,ns,390
kernel,extreme contention,std::sync::Mutex,,,50429000.0,ns,429
kernel,extreme contention,std::sync::Mutex,,,53292000.0,ns,468
kernel,extreme contention,std::sync::Mutex,,,60861000.0,ns,507
kernel,extreme contention,std::sync::Mutex,,,52623000.0,ns,546
kernel,extreme contention,std::sync::Mutex,,,68205000.0,ns,585
kernel,extreme contention,std::sync::Mutex,,,72561000.0,ns,624
kernel,extreme contention,std::sync::Mutex,,,76437000.0,ns,663
kernel,extreme contention,std::sync::Mutex,,,70446000.0,ns,702
kernel,extreme contention,std::sync::Mutex,,,80054000.0,ns,741
kernel,extreme contention,std::sync::Mutex,,,66415000.0,ns,780
kernel,extreme contention,std::sync::Mutex,,,85939000.0,ns,819
kernel,extreme contention,std::sync::Mutex,,,74545000.0,ns,858
kernel,extreme contention,std::sync::Mutex,,,89136000.0,ns,897
kernel,extreme contention,std::sync::Mutex,,,81499000.0,ns,936
kernel,extreme contention,std::sync::Mutex,,,67834000.0,ns,975
kernel,extreme contention,std::sync::Mutex,,,104517000.0,ns,1014
kernel,extreme contention,std::sync::Mutex,,,106770000.0,ns,1053
kernel,extreme contention,std::sync::Mutex,,,98178000.0,ns,1092
kernel,extreme contention,std::sync::Mutex,,,119535000.0,ns,1131
kernel,extreme contention,std::sync::Mutex,,,114439000.0,ns,1170
kernel,extreme contention,std::sync::Mutex,,,115529000.0,ns,1209
kernel,extreme contention,std::sync::Mutex,,,123238000.0,ns,1248
kernel,extreme contention,std::sync::Mutex,,,127553000.0,ns,1287
kernel,extreme contention,std::sync::Mutex,,,124350000.0,ns,1326
kernel,extreme contention,std::sync::Mutex,,,133117000.0,ns,1365
kernel,extreme contention,std::sync::Mutex,,,130789000.0,ns,1404
kernel,extreme contention,std::sync::Mutex,,,140196000.0,ns,1443
kernel,extreme contention,std::sync::Mutex,,,141746000.0,ns,1482
kernel,extreme contention,std::sync::Mutex,,,145091000.0,ns,1521
kernel,extreme contention,std::sync::Mutex,,,143810000.0,ns,1560
kernel,extreme contention,std::sync::Mutex,,,135773000.0,ns,1599
kernel,extreme contention,std::sync::Mutex,,,157955000.0,ns,1638
kernel,extreme contention,std::sync::Mutex,,,160196000.0,ns,1677
kernel,extreme contention,std::sync::Mutex,,,156736000.0,ns,1716
kernel,extreme contention,std::sync::Mutex,,,165482000.0,ns,1755
kernel,extreme contention,std::sync::Mutex,,,162806000.0,ns,1794
kernel,extreme contention,std::sync::Mutex,,,167481000.0,ns,1833
kernel,extreme contention,std::sync::Mutex,,,174435000.0,ns,1872
kernel,extreme contention,std::sync::Mutex,,,179105000.0,ns,1911
kernel,extreme contention,std::sync::Mutex,,,148432000.0,ns,1950
kernel,extreme contention,std::sync::Mutex,,,181175000.0,ns,1989
kernel,extreme contention,std::sync::Mutex,,,161838000.0,ns,2028
kernel,extreme contention,std::sync::Mutex,,,182437000.0,ns,2067
kernel,extreme contention,std::sync::Mutex,,,188166000.0,ns,2106
kernel,extreme contention,std::sync::Mutex,,,177796000.0,ns,2145
kernel,extreme contention,std::sync::Mutex,,,196377000.0,ns,2184
kernel,extreme contention,std::sync::Mutex,,,199735000.0,ns,2223
kernel,extreme contention,std::sync::Mutex,,,194888000.0,ns,2262
kernel,extreme contention,std::sync::Mutex,,,204242000.0,ns,2301
kernel,extreme contention,std::sync::Mutex,,,209825000.0,ns,2340
kernel,extreme contention,std::sync::Mutex,,,190010000.0,ns,2379
kernel,extreme contention,std::sync::Mutex,,,208043000.0,ns,2418
kernel,extreme contention,std::sync::Mutex,,,195597000.0,ns,2457
kernel,extreme contention,std::sync::Mutex,,,211919000.0,ns,2496
kernel,extreme contention,std::sync::Mutex,,,223268000.0,ns,2535
kernel,extreme contention,std::sync::Mutex,,,230427000.0,ns,2574
kernel,extreme contention,std::sync::Mutex,,,233258000.0,ns,2613
kernel,extreme contention,std::sync::Mutex,,,236096000.0,ns,2652
kernel,extreme contention,std::sync::Mutex,,,233510000.0,ns,2691
kernel,extreme contention,std::sync::Mutex,,,219299000.0,ns,2730
kernel,extreme contention,std::sync::Mutex,,,234869000.0,ns,2769
kernel,extreme contention,std::sync::Mutex,,,249160000.0,ns,2808
