group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,AmdSpinlock,,,2205000.0,ns,75
kernel,heavy contention,AmdSpinlock,,,1887000.0,ns,150
kernel,heavy contention,AmdSpinlock,,,2715000.0,ns,225
kernel,heavy contention,AmdSpinlock,,,2343000.0,ns,300
kernel,heavy contention,AmdSpinlock,,,1066000.0,ns,375
kernel,heavy contention,AmdSpinlock,,,484000.0,ns,450
kernel,heavy contention,AmdSpinlock,,,636000.0,ns,525
kernel,heavy contention,AmdSpinlock,,,1886000.0,ns,600
kernel,heavy contention,AmdSpinlock,,,904000.0,ns,675
kernel,heavy contention,AmdSpinlock,,,411000.0,ns,750
kernel,heavy contention,AmdSpinlock,,,2226000.0,ns,825
kernel,heavy contention,AmdSpinlock,,,926000.0,ns,900
kernel,heavy contention,AmdSpinlock,,,428000.0,ns,975
kernel,heavy contention,AmdSpinlock,,,286000.0,ns,1050
kernel,heavy contention,AmdSpinlock,,,534000.0,ns,1125
kernel,heavy contention,AmdSpinlock,,,702000.0,ns,1200
kernel,heavy contention,AmdSpinlock,,,440000.0,ns,1275
kernel,heavy contention,AmdSpinlock,,,687000.0,ns,1350
kernel,heavy contention,AmdSpinlock,,,955000.0,ns,1425
kernel,heavy contention,AmdSpinlock,,,2024000.0,ns,1500
kernel,heavy contention,AmdSpinlock,,,1809000.0,ns,1575
kernel,heavy contention,AmdSpinlock,,,1602000.0,ns,1650
kernel,heavy contention,AmdSpinlock,,,746000.0,ns,1725
kernel,heavy contention,AmdSpinlock,,,1610000.0,ns,1800
kernel,heavy contention,AmdSpinlock,,,656000.0,ns,1875
kernel,heavy contention,AmdSpinlock,,,1449000.0,ns,1950
kernel,heavy contention,AmdSpinlock,,,1901000.0,ns,2025
kernel,heavy contention,AmdSpinlock,,,1437000.0,ns,2100
kernel,heavy contention,AmdSpinlock,,,288000.0,ns,2175
kernel,heavy contention,AmdSpinlock,,,1184000.0,ns,2250
kernel,heavy contention,AmdSpinlock,,,527000.0,ns,2325
kernel,heavy contention,AmdSpinlock,,,689000.0,ns,2400
kernel,heavy contention,AmdSpinlock,,,1476000.0,ns,2475
kernel,heavy contention,AmdSpinlock,,,1808000.0,ns,2550
kernel,heavy contention,AmdSpinlock,,,1480000.0,ns,2625
kernel,heavy contention,AmdSpinlock,,,353000.0,ns,2700
kernel,heavy contention,AmdSpinlock,,,791000.0,ns,2775
kernel,heavy contention,AmdSpinlock,,,1399000.0,ns,2850
kernel,heavy contention,AmdSpinlock,,,550000.0,ns,2925
kernel,heavy contention,AmdSpinlock,,,338000.0,ns,3000
kernel,heavy contention,AmdSpinlock,,,498000.0,ns,3075
kernel,heavy contention,AmdSpinlock,,,798000.0,ns,3150
kernel,heavy contention,AmdSpinlock,,,539000.0,ns,3225
kernel,heavy contention,AmdSpinlock,,,622000.0,ns,3300
kernel,heavy contention,AmdSpinlock,,,1088000.0,ns,3375
kernel,heavy contention,AmdSpinlock,,,611000.0,ns,3450
kernel,heavy contention,AmdSpinlock,,,1770000.0,ns,3525
kernel,heavy contention,AmdSpinlock,,,553000.0,ns,3600
kernel,heavy contention,AmdSpinlock,,,581000.0,ns,3675
kernel,heavy contention,AmdSpinlock,,,484000.0,ns,3750
kernel,heavy contention,AmdSpinlock,,,493000.0,ns,3825
kernel,heavy contention,AmdSpinlock,,,548000.0,ns,3900
kernel,heavy contention,AmdSpinlock,,,995000.0,ns,3975
kernel,heavy contention,AmdSpinlock,,,494000.0,ns,4050
kernel,heavy contention,AmdSpinlock,,,488000.0,ns,4125
kernel,heavy contention,AmdSpinlock,,,2521000.0,ns,4200
kernel,heavy contention,AmdSpinlock,,,1585000.0,ns,4275
kernel,heavy contention,AmdSpinlock,,,289000.0,ns,4350
kernel,heavy contention,AmdSpinlock,,,564000.0,ns,4425
kernel,heavy contention,AmdSpinlock,,,590000.0,ns,4500
kernel,heavy contention,AmdSpinlock,,,343000.0,ns,4575
kernel,heavy contention,AmdSpinlock,,,484000.0,ns,4650
kernel,heavy contention,AmdSpinlock,,,1865000.0,ns,4725
kernel,heavy contention,AmdSpinlock,,,535000.0,ns,4800
kernel,heavy contention,AmdSpinlock,,,1131000.0,ns,4875
kernel,heavy contention,AmdSpinlock,,,519000.0,ns,4950
kernel,heavy contention,AmdSpinlock,,,509000.0,ns,5025
kernel,heavy contention,AmdSpinlock,,,379000.0,ns,5100
kernel,heavy contention,AmdSpinlock,,,353000.0,ns,5175
kernel,heavy contention,AmdSpinlock,,,1352000.0,ns,5250
kernel,heavy contention,AmdSpinlock,,,590000.0,ns,5325
kernel,heavy contention,AmdSpinlock,,,510000.0,ns,5400
kernel,heavy contention,AmdSpinlock,,,583000.0,ns,5475
kernel,heavy contention,AmdSpinlock,,,376000.0,ns,5550
kernel,heavy contention,AmdSpinlock,,,355000.0,ns,5625
kernel,heavy contention,AmdSpinlock,,,1441000.0,ns,5700
kernel,heavy contention,AmdSpinlock,,,439000.0,ns,5775
kernel,heavy contention,AmdSpinlock,,,358000.0,ns,5850
kernel,heavy contention,AmdSpinlock,,,586000.0,ns,5925
kernel,heavy contention,AmdSpinlock,,,1911000.0,ns,6000
kernel,heavy contention,AmdSpinlock,,,602000.0,ns,6075
kernel,heavy contention,AmdSpinlock,,,925000.0,ns,6150
kernel,heavy contention,AmdSpinlock,,,480000.0,ns,6225
kernel,heavy contention,AmdSpinlock,,,957000.0,ns,6300
kernel,heavy contention,AmdSpinlock,,,664000.0,ns,6375
kernel,heavy contention,AmdSpinlock,,,1448000.0,ns,6450
kernel,heavy contention,AmdSpinlock,,,393000.0,ns,6525
kernel,heavy contention,AmdSpinlock,,,878000.0,ns,6600
kernel,heavy contention,AmdSpinlock,,,1422000.0,ns,6675
kernel,heavy contention,AmdSpinlock,,,1586000.0,ns,6750
kernel,heavy contention,AmdSpinlock,,,1285000.0,ns,6825
kernel,heavy contention,AmdSpinlock,,,582000.0,ns,6900
kernel,heavy contention,AmdSpinlock,,,538000.0,ns,6975
kernel,heavy contention,AmdSpinlock,,,805000.0,ns,7050
kernel,heavy contention,AmdSpinlock,,,653000.0,ns,7125
kernel,heavy contention,AmdSpinlock,,,1155000.0,ns,7200
kernel,heavy contention,AmdSpinlock,,,704000.0,ns,7275
kernel,heavy contention,AmdSpinlock,,,1453000.0,ns,7350
kernel,heavy contention,AmdSpinlock,,,264000.0,ns,7425
kernel,heavy contention,AmdSpinlock,,,2123000.0,ns,7500
