group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,parking_lot::Mutex,,,1815000.0,ns,300
kernel,heavy contention,parking_lot::Mutex,,,753000.0,ns,600
kernel,heavy contention,parking_lot::Mutex,,,2582000.0,ns,900
kernel,heavy contention,parking_lot::Mutex,,,1395000.0,ns,1200
kernel,heavy contention,parking_lot::Mutex,,,1641000.0,ns,1500
kernel,heavy contention,parking_lot::Mutex,,,2096000.0,ns,1800
kernel,heavy contention,parking_lot::Mutex,,,489000.0,ns,2100
kernel,heavy contention,parking_lot::Mutex,,,706000.0,ns,2400
kernel,heavy contention,parking_lot::Mutex,,,1801000.0,ns,2700
kernel,heavy contention,parking_lot::Mutex,,,2356000.0,ns,3000
kernel,heavy contention,parking_lot::Mutex,,,200000.0,ns,3300
kernel,heavy contention,parking_lot::Mutex,,,835000.0,ns,3600
kernel,heavy contention,parking_lot::Mutex,,,2201000.0,ns,3900
kernel,heavy contention,parking_lot::Mutex,,,698000.0,ns,4200
kernel,heavy contention,parking_lot::Mutex,,,707000.0,ns,4500
kernel,heavy contention,parking_lot::Mutex,,,620000.0,ns,4800
kernel,heavy contention,parking_lot::Mutex,,,636000.0,ns,5100
kernel,heavy contention,parking_lot::Mutex,,,1021000.0,ns,5400
kernel,heavy contention,parking_lot::Mutex,,,373000.0,ns,5700
kernel,heavy contention,parking_lot::Mutex,,,1147000.0,ns,6000
kernel,heavy contention,parking_lot::Mutex,,,332000.0,ns,6300
kernel,heavy contention,parking_lot::Mutex,,,545000.0,ns,6600
kernel,heavy contention,parking_lot::Mutex,,,764000.0,ns,6900
kernel,heavy contention,parking_lot::Mutex,,,1068000.0,ns,7200
kernel,heavy contention,parking_lot::Mutex,,,1967000.0,ns,7500
kernel,heavy contention,parking_lot::Mutex,,,2027000.0,ns,7800
kernel,heavy contention,parking_lot::Mutex,,,739000.0,ns,8100
kernel,heavy contention,parking_lot::Mutex,,,853000.0,ns,8400
kernel,heavy contention,parking_lot::Mutex,,,1204000.0,ns,8700
kernel,heavy contention,parking_lot::Mutex,,,1957000.0,ns,9000
kernel,heavy contention,parking_lot::Mutex,,,1016000.0,ns,9300
kernel,heavy contention,parking_lot::Mutex,,,1185000.0,ns,9600
kernel,heavy contention,parking_lot::Mutex,,,1277000.0,ns,9900
kernel,heavy contention,parking_lot::Mutex,,,942000.0,ns,10200
kernel,heavy contention,parking_lot::Mutex,,,1494000.0,ns,10500
kernel,heavy contention,parking_lot::Mutex,,,784000.0,ns,10800
kernel,heavy contention,parking_lot::Mutex,,,2282000.0,ns,11100
kernel,heavy contention,parking_lot::Mutex,,,810000.0,ns,11400
kernel,heavy contention,parking_lot::Mutex,,,1541000.0,ns,11700
kernel,heavy contention,parking_lot::Mutex,,,1638000.0,ns,12000
kernel,heavy contention,parking_lot::Mutex,,,1372000.0,ns,12300
kernel,heavy contention,parking_lot::Mutex,,,1045000.0,ns,12600
kernel,heavy contention,parking_lot::Mutex,,,1847000.0,ns,12900
kernel,heavy contention,parking_lot::Mutex,,,1840000.0,ns,13200
kernel,heavy contention,parking_lot::Mutex,,,1384000.0,ns,13500
kernel,heavy contention,parking_lot::Mutex,,,2009000.0,ns,13800
kernel,heavy contention,parking_lot::Mutex,,,1686000.0,ns,14100
kernel,heavy contention,parking_lot::Mutex,,,1819000.0,ns,14400
