group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,spin::Mutex,,,1622000.0,ns,78
kernel,heavy contention,spin::Mutex,,,1656000.0,ns,156
kernel,heavy contention,spin::Mutex,,,512000.0,ns,234
kernel,heavy contention,spin::Mutex,,,1406000.0,ns,312
kernel,heavy contention,spin::Mutex,,,1900000.0,ns,390
kernel,heavy contention,spin::Mutex,,,924000.0,ns,468
kernel,heavy contention,spin::Mutex,,,714000.0,ns,546
kernel,heavy contention,spin::Mutex,,,389000.0,ns,624
kernel,heavy contention,spin::Mutex,,,2023000.0,ns,702
kernel,heavy contention,spin::Mutex,,,1241000.0,ns,780
kernel,heavy contention,spin::Mutex,,,638000.0,ns,858
kernel,heavy contention,spin::Mutex,,,1773000.0,ns,936
kernel,heavy contention,spin::Mutex,,,1469000.0,ns,1014
kernel,heavy contention,spin::Mutex,,,490000.0,ns,1092
kernel,heavy contention,spin::Mutex,,,653000.0,ns,1170
kernel,heavy contention,spin::Mutex,,,1811000.0,ns,1248
kernel,heavy contention,spin::Mutex,,,1466000.0,ns,1326
kernel,heavy contention,spin::Mutex,,,927000.0,ns,1404
kernel,heavy contention,spin::Mutex,,,1673000.0,ns,1482
kernel,heavy contention,spin::Mutex,,,2135000.0,ns,1560
kernel,heavy contention,spin::Mutex,,,735000.0,ns,1638
kernel,heavy contention,spin::Mutex,,,403000.0,ns,1716
kernel,heavy contention,spin::Mutex,,,951000.0,ns,1794
kernel,heavy contention,spin::Mutex,,,694000.0,ns,1872
kernel,heavy contention,spin::Mutex,,,1973000.0,ns,1950
kernel,heavy contention,spin::Mutex,,,1491000.0,ns,2028
kernel,heavy contention,spin::Mutex,,,506000.0,ns,2106
kernel,heavy contention,spin::Mutex,,,450000.0,ns,2184
kernel,heavy contention,spin::Mutex,,,947000.0,ns,2262
kernel,heavy contention,spin::Mutex,,,795000.0,ns,2340
kernel,heavy contention,spin::Mutex,,,1670000.0,ns,2418
kernel,heavy contention,spin::Mutex,,,685000.0,ns,2496
kernel,heavy contention,spin::Mutex,,,433000.0,ns,2574
kernel,heavy contention,spin::Mutex,,,1759000.0,ns,2652
kernel,heavy contention,spin::Mutex,,,431000.0,ns,2730
kernel,heavy contention,spin::Mutex,,,887000.0,ns,2808
kernel,heavy contention,spin::Mutex,,,615000.0,ns,2886
kernel,heavy contention,spin::Mutex,,,516000.0,ns,2964
kernel,heavy contention,spin::Mutex,,,2105000.0,ns,3042
kernel,heavy contention,spin::Mutex,,,1702000.0,ns,3120
kernel,heavy contention,spin::Mutex,,,711000.0,ns,3198
kernel,heavy contention,spin::Mutex,,,521000.0,ns,3276
kernel,heavy contention,spin::Mutex,,,634000.0,ns,3354
kernel,heavy contention,spin::Mutex,,,673000.0,ns,3432
kernel,heavy contention,spin::Mutex,,,1960000.0,ns,3510
kernel,heavy contention,spin::Mutex,,,475000.0,ns,3588
kernel,heavy contention,spin::Mutex,,,955000.0,ns,3666
kernel,heavy contention,spin::Mutex,,,1017000.0,ns,3744
kernel,heavy contention,spin::Mutex,,,1423000.0,ns,3822
kernel,heavy contention,spin::Mutex,,,1288000.0,ns,3900
kernel,heavy contention,spin::Mutex,,,1403000.0,ns,3978
kernel,heavy contention,spin::Mutex,,,1661000.0,ns,4056
kernel,heavy contention,spin::Mutex,,,1356000.0,ns,4134
kernel,heavy contention,spin::Mutex,,,1772000.0,ns,4212
kernel,heavy contention,spin::Mutex,,,538000.0,ns,4290
kernel,heavy contention,spin::Mutex,,,408000.0,ns,4368
kernel,heavy contention,spin::Mutex,,,451000.0,ns,4446
kernel,heavy contention,spin::Mutex,,,1357000.0,ns,4524
kernel,heavy contention,spin::Mutex,,,860000.0,ns,4602
kernel,heavy contention,spin::Mutex,,,531000.0,ns,4680
kernel,heavy contention,spin::Mutex,,,244000.0,ns,4758
kernel,heavy contention,spin::Mutex,,,412000.0,ns,4836
kernel,heavy contention,spin::Mutex,,,1567000.0,ns,4914
kernel,heavy contention,spin::Mutex,,,809000.0,ns,4992
kernel,heavy contention,spin::Mutex,,,462000.0,ns,5070
kernel,heavy contention,spin::Mutex,,,1670000.0,ns,5148
kernel,heavy contention,spin::Mutex,,,1287000.0,ns,5226
kernel,heavy contention,spin::Mutex,,,518000.0,ns,5304
kernel,heavy contention,spin::Mutex,,,327000.0,ns,5382
kernel,heavy contention,spin::Mutex,,,389000.0,ns,5460
kernel,heavy contention,spin::Mutex,,,772000.0,ns,5538
kernel,heavy contention,spin::Mutex,,,1309000.0,ns,5616
kernel,heavy contention,spin::Mutex,,,1647000.0,ns,5694
kernel,heavy contention,spin::Mutex,,,869000.0,ns,5772
kernel,heavy contention,spin::Mutex,,,1468000.0,ns,5850
kernel,heavy contention,spin::Mutex,,,1951000.0,ns,5928
kernel,heavy contention,spin::Mutex,,,2378000.0,ns,6006
kernel,heavy contention,spin::Mutex,,,297000.0,ns,6084
kernel,heavy contention,spin::Mutex,,,1818000.0,ns,6162
kernel,heavy contention,spin::Mutex,,,1591000.0,ns,6240
kernel,heavy contention,spin::Mutex,,,459000.0,ns,6318
kernel,heavy contention,spin::Mutex,,,1821000.0,ns,6396
kernel,heavy contention,spin::Mutex,,,865000.0,ns,6474
kernel,heavy contention,spin::Mutex,,,1412000.0,ns,6552
kernel,heavy contention,spin::Mutex,,,498000.0,ns,6630
kernel,heavy contention,spin::Mutex,,,488000.0,ns,6708
kernel,heavy contention,spin::Mutex,,,1395000.0,ns,6786
