group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,heavy contention,std::sync::Mutex,,,2653000.0,ns,160
kernel,heavy contention,std::sync::Mutex,,,3575000.0,ns,320
kernel,heavy contention,std::sync::Mutex,,,4362000.0,ns,480
kernel,heavy contention,std::sync::Mutex,,,6005000.0,ns,640
kernel,heavy contention,std::sync::Mutex,,,11111000.0,ns,800
kernel,heavy contention,std::sync::Mutex,,,12236000.0,ns,960
kernel,heavy contention,std::sync::Mutex,,,14844000.0,ns,1120
kernel,heavy contention,std::sync::Mutex,,,13576000.0,ns,1280
kernel,heavy contention,std::sync::Mutex,,,15300000.0,ns,1440
kernel,heavy contention,std::sync::Mutex,,,17932000.0,ns,1600
kernel,heavy contention,std::sync::Mutex,,,20197000.0,ns,1760
kernel,heavy contention,std::sync::Mutex,,,17405000.0,ns,1920
kernel,heavy contention,std::sync::Mutex,,,13205000.0,ns,2080
kernel,heavy contention,std::sync::Mutex,,,19953000.0,ns,2240
kernel,heavy contention,std::sync::Mutex,,,22130000.0,ns,2400
kernel,heavy contention,std::sync::Mutex,,,24073000.0,ns,2560
kernel,heavy contention,std::sync::Mutex,,,23437000.0,ns,2720
kernel,heavy contention,std::sync::Mutex,,,24973000.0,ns,2880
kernel,heavy contention,std::sync::Mutex,,,23836000.0,ns,3040
kernel,heavy contention,std::sync::Mutex,,,30675000.0,ns,3200
kernel,heavy contention,std::sync::Mutex,,,30373000.0,ns,3360
kernel,heavy contention,std::sync::Mutex,,,27828000.0,ns,3520
kernel,heavy contention,std::sync::Mutex,,,31950000.0,ns,3680
kernel,heavy contention,std::sync::Mutex,,,33939000.0,ns,3840
kernel,heavy contention,std::sync::Mutex,,,33644000.0,ns,4000
kernel,heavy contention,std::sync::Mutex,,,36426000.0,ns,4160
kernel,heavy contention,std::sync::Mutex,,,35350000.0,ns,4320
kernel,heavy contention,std::sync::Mutex,,,37667000.0,ns,4480
kernel,heavy contention,std::sync::Mutex,,,37331000.0,ns,4640
kernel,heavy contention,std::sync::Mutex,,,39190000.0,ns,4800
kernel,heavy contention,std::sync::Mutex,,,41344000.0,ns,4960
kernel,heavy contention,std::sync::Mutex,,,40123000.0,ns,5120
kernel,heavy contention,std::sync::Mutex,,,41344000.0,ns,5280
kernel,heavy contention,std::sync::Mutex,,,45200000.0,ns,5440
kernel,heavy contention,std::sync::Mutex,,,43355000.0,ns,5600
kernel,heavy contention,std::sync::Mutex,,,47424000.0,ns,5760
kernel,heavy contention,std::sync::Mutex,,,45259000.0,ns,5920
kernel,heavy contention,std::sync::Mutex,,,40021000.0,ns,6080
kernel,heavy contention,std::sync::Mutex,,,49669000.0,ns,6240
kernel,heavy contention,std::sync::Mutex,,,41993000.0,ns,6400
kernel,heavy contention,std::sync::Mutex,,,49627000.0,ns,6560
kernel,heavy contention,std::sync::Mutex,,,44044000.0,ns,6720
kernel,heavy contention,std::sync::Mutex,,,53610000.0,ns,6880
kernel,heavy contention,std::sync::Mutex,,,47080000.0,ns,7040
kernel,heavy contention,std::sync::Mutex,,,55057000.0,ns,7200
kernel,heavy contention,std::sync::Mutex,,,49018000.0,ns,7360
kernel,heavy contention,std::sync::Mutex,,,60571000.0,ns,7520
kernel,heavy contention,std::sync::Mutex,,,52454000.0,ns,7680
kernel,heavy contention,std::sync::Mutex,,,59316000.0,ns,7840
kernel,heavy contention,std::sync::Mutex,,,59322000.0,ns,8000
kernel,heavy contention,std::sync::Mutex,,,59700000.0,ns,8160
kernel,heavy contention,std::sync::Mutex,,,63868000.0,ns,8320
kernel,heavy contention,std::sync::Mutex,,,62104000.0,ns,8480
kernel,heavy contention,std::sync::Mutex,,,65066000.0,ns,8640
kernel,heavy contention,std::sync::Mutex,,,65807000.0,ns,8800
kernel,heavy contention,std::sync::Mutex,,,67301000.0,ns,8960
kernel,heavy contention,std::sync::Mutex,,,69249000.0,ns,9120
kernel,heavy contention,std::sync::Mutex,,,71804000.0,ns,9280
kernel,heavy contention,std::sync::Mutex,,,70742000.0,ns,9440
kernel,heavy contention,std::sync::Mutex,,,57277000.0,ns,9600
kernel,heavy contention,std::sync::Mutex,,,71350000.0,ns,9760
kernel,heavy contention,std::sync::Mutex,,,70866000.0,ns,9920
kernel,heavy contention,std::sync::Mutex,,,69556000.0,ns,10080
kernel,heavy contention,std::sync::Mutex,,,74512000.0,ns,10240
kernel,heavy contention,std::sync::Mutex,,,72448000.0,ns,10400
kernel,heavy contention,std::sync::Mutex,,,77944000.0,ns,10560
kernel,heavy contention,std::sync::Mutex,,,76297000.0,ns,10720
kernel,heavy contention,std::sync::Mutex,,,77349000.0,ns,10880
kernel,heavy contention,std::sync::Mutex,,,81357000.0,ns,11040
kernel,heavy contention,std::sync::Mutex,,,83680000.0,ns,11200
kernel,heavy contention,std::sync::Mutex,,,79964000.0,ns,11360
kernel,heavy contention,std::sync::Mutex,,,75320000.0,ns,11520
kernel,heavy contention,std::sync::Mutex,,,78815000.0,ns,11680
kernel,heavy contention,std::sync::Mutex,,,81202000.0,ns,11840
kernel,heavy contention,std::sync::Mutex,,,80262000.0,ns,12000
kernel,heavy contention,std::sync::Mutex,,,87026000.0,ns,12160
kernel,heavy contention,std::sync::Mutex,,,84762000.0,ns,12320
kernel,heavy contention,std::sync::Mutex,,,86730000.0,ns,12480
kernel,heavy contention,std::sync::Mutex,,,69883000.0,ns,12640
kernel,heavy contention,std::sync::Mutex,,,93354000.0,ns,12800
kernel,heavy contention,std::sync::Mutex,,,86381000.0,ns,12960
kernel,heavy contention,std::sync::Mutex,,,92639000.0,ns,13120
kernel,heavy contention,std::sync::Mutex,,,88354000.0,ns,13280
kernel,heavy contention,std::sync::Mutex,,,85885000.0,ns,13440
kernel,heavy contention,std::sync::Mutex,,,95325000.0,ns,13600
kernel,heavy contention,std::sync::Mutex,,,94234000.0,ns,13760
kernel,heavy contention,std::sync::Mutex,,,95809000.0,ns,13920
kernel,heavy contention,std::sync::Mutex,,,95279000.0,ns,14080
kernel,heavy contention,std::sync::Mutex,,,98300000.0,ns,14240
kernel,heavy contention,std::sync::Mutex,,,104662000.0,ns,14400
kernel,heavy contention,std::sync::Mutex,,,103203000.0,ns,14560
kernel,heavy contention,std::sync::Mutex,,,90850000.0,ns,14720
kernel,heavy contention,std::sync::Mutex,,,92543000.0,ns,14880
kernel,heavy contention,std::sync::Mutex,,,110151000.0,ns,15040
kernel,heavy contention,std::sync::Mutex,,,105227000.0,ns,15200
kernel,heavy contention,std::sync::Mutex,,,104845000.0,ns,15360
kernel,heavy contention,std::sync::Mutex,,,106462000.0,ns,15520
kernel,heavy contention,std::sync::Mutex,,,102150000.0,ns,15680
kernel,heavy contention,std::sync::Mutex,,,110374000.0,ns,15840
kernel,heavy contention,std::sync::Mutex,,,107761000.0,ns,16000
