group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,AmdSpinlock,,,2321000.0,ns,86
kernel,light contention,AmdSpinlock,,,1089000.0,ns,172
kernel,light contention,AmdSpinlock,,,779000.0,ns,258
kernel,light contention,AmdSpinlock,,,1126000.0,ns,344
kernel,light contention,AmdSpinlock,,,2667000.0,ns,430
kernel,light contention,AmdSpinlock,,,424000.0,ns,516
kernel,light contention,AmdSpinlock,,,1539000.0,ns,602
kernel,light contention,AmdSpinlock,,,816000.0,ns,688
kernel,light contention,AmdSpinlock,,,2034000.0,ns,774
kernel,light contention,AmdSpinlock,,,859000.0,ns,860
kernel,light contention,AmdSpinlock,,,1469000.0,ns,946
kernel,light contention,AmdSpinlock,,,2658000.0,ns,1032
kernel,light contention,AmdSpinlock,,,2381000.0,ns,1118
kernel,light contention,AmdSpinlock,,,2121000.0,ns,1204
kernel,light contention,AmdSpinlock,,,540000.0,ns,1290
kernel,light contention,AmdSpinlock,,,806000.0,ns,1376
kernel,light contention,AmdSpinlock,,,1468000.0,ns,1462
kernel,light contention,AmdSpinlock,,,2015000.0,ns,1548
kernel,light contention,AmdSpinlock,,,437000.0,ns,1634
kernel,light contention,AmdSpinlock,,,422000.0,ns,1720
kernel,light contention,AmdSpinlock,,,660000.0,ns,1806
kernel,light contention,AmdSpinlock,,,233000.0,ns,1892
kernel,light contention,AmdSpinlock,,,612000.0,ns,1978
kernel,light contention,AmdSpinlock,,,803000.0,ns,2064
kernel,light contention,AmdSpinlock,,,2012000.0,ns,2150
kernel,light contention,AmdSpinlock,,,1755000.0,ns,2236
kernel,light contention,AmdSpinlock,,,1785000.0,ns,2322
kernel,light contention,AmdSpinlock,,,1051000.0,ns,2408
kernel,light contention,AmdSpinlock,,,620000.0,ns,2494
kernel,light contention,AmdSpinlock,,,406000.0,ns,2580
kernel,light contention,AmdSpinlock,,,1439000.0,ns,2666
kernel,light contention,AmdSpinlock,,,424000.0,ns,2752
kernel,light contention,AmdSpinlock,,,296000.0,ns,2838
kernel,light contention,AmdSpinlock,,,516000.0,ns,2924
kernel,light contention,AmdSpinlock,,,1551000.0,ns,3010
kernel,light contention,AmdSpinlock,,,465000.0,ns,3096
kernel,light contention,AmdSpinlock,,,388000.0,ns,3182
kernel,light contention,AmdSpinlock,,,321000.0,ns,3268
kernel,light contention,AmdSpinlock,,,528000.0,ns,3354
kernel,light contention,AmdSpinlock,,,572000.0,ns,3440
kernel,light contention,AmdSpinlock,,,571000.0,ns,3526
kernel,light contention,AmdSpinlock,,,631000.0,ns,3612
kernel,light contention,AmdSpinlock,,,476000.0,ns,3698
kernel,light contention,AmdSpinlock,,,1137000.0,ns,3784
kernel,light contention,AmdSpinlock,,,1451000.0,ns,3870
kernel,light contention,AmdSpinlock,,,474000.0,ns,3956
kernel,light contention,AmdSpinlock,,,506000.0,ns,4042
kernel,light contention,AmdSpinlock,,,1372000.0,ns,4128
kernel,light contention,AmdSpinlock,,,209000.0,ns,4214
kernel,light contention,AmdSpinlock,,,286000.0,ns,4300
kernel,light contention,AmdSpinlock,,,938000.0,ns,4386
kernel,light contention,AmdSpinlock,,,386000.0,ns,4472
kernel,light contention,AmdSpinlock,,,1624000.0,ns,4558
kernel,light contention,AmdSpinlock,,,1743000.0,ns,4644
kernel,light contention,AmdSpinlock,,,567000.0,ns,4730
kernel,light contention,AmdSpinlock,,,1707000.0,ns,4816
kernel,light contention,AmdSpinlock,,,413000.0,ns,4902
kernel,light contention,AmdSpinlock,,,479000.0,ns,4988
kernel,light contention,AmdSpinlock,,,1871000.0,ns,5074
kernel,light contention,AmdSpinlock,,,1542000.0,ns,5160
kernel,light contention,AmdSpinlock,,,311000.0,ns,5246
kernel,light contention,AmdSpinlock,,,1974000.0,ns,5332
kernel,light contention,AmdSpinlock,,,764000.0,ns,5418
kernel,light contention,AmdSpinlock,,,1426000.0,ns,5504
kernel,light contention,AmdSpinlock,,,1047000.0,ns,5590
kernel,light contention,AmdSpinlock,,,513000.0,ns,5676
kernel,light contention,AmdSpinlock,,,1872000.0,ns,5762
kernel,light contention,AmdSpinlock,,,1378000.0,ns,5848
