group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,parking_lot::Mutex,,,2342000.0,ns,303
kernel,light contention,parking_lot::Mutex,,,2515000.0,ns,606
kernel,light contention,parking_lot::Mutex,,,1946000.0,ns,909
kernel,light contention,parking_lot::Mutex,,,1366000.0,ns,1212
kernel,light contention,parking_lot::Mutex,,,889000.0,ns,1515
kernel,light contention,parking_lot::Mutex,,,434000.0,ns,1818
kernel,light contention,parking_lot::Mutex,,,260000.0,ns,2121
kernel,light contention,parking_lot::Mutex,,,526000.0,ns,2424
kernel,light contention,parking_lot::Mutex,,,1710000.0,ns,2727
kernel,light contention,parking_lot::Mutex,,,1590000.0,ns,3030
kernel,light contention,parking_lot::Mutex,,,1787000.0,ns,3333
kernel,light contention,parking_lot::Mutex,,,582000.0,ns,3636
kernel,light contention,parking_lot::Mutex,,,600000.0,ns,3939
kernel,light contention,parking_lot::Mutex,,,502000.0,ns,4242
kernel,light contention,parking_lot::Mutex,,,273000.0,ns,4545
kernel,light contention,parking_lot::Mutex,,,444000.0,ns,4848
kernel,light contention,parking_lot::Mutex,,,351000.0,ns,5151
kernel,light contention,parking_lot::Mutex,,,498000.0,ns,5454
kernel,light contention,parking_lot::Mutex,,,326000.0,ns,5757
kernel,light contention,parking_lot::Mutex,,,1380000.0,ns,6060
kernel,light contention,parking_lot::Mutex,,,1154000.0,ns,6363
kernel,light contention,parking_lot::Mutex,,,1567000.0,ns,6666
kernel,light contention,parking_lot::Mutex,,,892000.0,ns,6969
kernel,light contention,parking_lot::Mutex,,,269000.0,ns,7272
kernel,light contention,parking_lot::Mutex,,,1377000.0,ns,7575
kernel,light contention,parking_lot::Mutex,,,1645000.0,ns,7878
kernel,light contention,parking_lot::Mutex,,,775000.0,ns,8181
kernel,light contention,parking_lot::Mutex,,,1774000.0,ns,8484
kernel,light contention,parking_lot::Mutex,,,917000.0,ns,8787
kernel,light contention,parking_lot::Mutex,,,277000.0,ns,9090
kernel,light contention,parking_lot::Mutex,,,1696000.0,ns,9393
kernel,light contention,parking_lot::Mutex,,,642000.0,ns,9696
kernel,light contention,parking_lot::Mutex,,,1576000.0,ns,9999
kernel,light contention,parking_lot::Mutex,,,376000.0,ns,10302
kernel,light contention,parking_lot::Mutex,,,1395000.0,ns,10605
kernel,light contention,parking_lot::Mutex,,,2034000.0,ns,10908
kernel,light contention,parking_lot::Mutex,,,1691000.0,ns,11211
kernel,light contention,parking_lot::Mutex,,,480000.0,ns,11514
kernel,light contention,parking_lot::Mutex,,,1954000.0,ns,11817
kernel,light contention,parking_lot::Mutex,,,1824000.0,ns,12120
kernel,light contention,parking_lot::Mutex,,,1343000.0,ns,12423
kernel,light contention,parking_lot::Mutex,,,1715000.0,ns,12726
kernel,light contention,parking_lot::Mutex,,,1255000.0,ns,13029
kernel,light contention,parking_lot::Mutex,,,1511000.0,ns,13332
kernel,light contention,parking_lot::Mutex,,,1509000.0,ns,13635
kernel,light contention,parking_lot::Mutex,,,938000.0,ns,13938
kernel,light contention,parking_lot::Mutex,,,1474000.0,ns,14241
kernel,light contention,parking_lot::Mutex,,,896000.0,ns,14544
kernel,light contention,parking_lot::Mutex,,,3511000.0,ns,14847
kernel,light contention,parking_lot::Mutex,,,1730000.0,ns,15150
kernel,light contention,parking_lot::Mutex,,,1422000.0,ns,15453
kernel,light contention,parking_lot::Mutex,,,1170000.0,ns,15756
kernel,light contention,parking_lot::Mutex,,,2368000.0,ns,16059
kernel,light contention,parking_lot::Mutex,,,804000.0,ns,16362
kernel,light contention,parking_lot::Mutex,,,678000.0,ns,16665
kernel,light contention,parking_lot::Mutex,,,2107000.0,ns,16968
kernel,light contention,parking_lot::Mutex,,,796000.0,ns,17271
kernel,light contention,parking_lot::Mutex,,,1394000.0,ns,17574
kernel,light contention,parking_lot::Mutex,,,1883000.0,ns,17877
kernel,light contention,parking_lot::Mutex,,,1171000.0,ns,18180
kernel,light contention,parking_lot::Mutex,,,1385000.0,ns,18483
kernel,light contention,parking_lot::Mutex,,,1510000.0,ns,18786
kernel,light contention,parking_lot::Mutex,,,563000.0,ns,19089
kernel,light contention,parking_lot::Mutex,,,779000.0,ns,19392
kernel,light contention,parking_lot::Mutex,,,1579000.0,ns,19695
kernel,light contention,parking_lot::Mutex,,,2238000.0,ns,19998
kernel,light contention,parking_lot::Mutex,,,935000.0,ns,20301
kernel,light contention,parking_lot::Mutex,,,2569000.0,ns,20604
kernel,light contention,parking_lot::Mutex,,,1418000.0,ns,20907
kernel,light contention,parking_lot::Mutex,,,1618000.0,ns,21210
kernel,light contention,parking_lot::Mutex,,,1115000.0,ns,21513
kernel,light contention,parking_lot::Mutex,,,1436000.0,ns,21816
kernel,light contention,parking_lot::Mutex,,,655000.0,ns,22119
kernel,light contention,parking_lot::Mutex,,,1595000.0,ns,22422
kernel,light contention,parking_lot::Mutex,,,1624000.0,ns,22725
kernel,light contention,parking_lot::Mutex,,,1566000.0,ns,23028
kernel,light contention,parking_lot::Mutex,,,1502000.0,ns,23331
kernel,light contention,parking_lot::Mutex,,,1670000.0,ns,23634
kernel,light contention,parking_lot::Mutex,,,1649000.0,ns,23937
kernel,light contention,parking_lot::Mutex,,,778000.0,ns,24240
kernel,light contention,parking_lot::Mutex,,,608000.0,ns,24543
kernel,light contention,parking_lot::Mutex,,,2695000.0,ns,24846
kernel,light contention,parking_lot::Mutex,,,2296000.0,ns,25149
kernel,light contention,parking_lot::Mutex,,,2123000.0,ns,25452
kernel,light contention,parking_lot::Mutex,,,1349000.0,ns,25755
kernel,light contention,parking_lot::Mutex,,,1157000.0,ns,26058
kernel,light contention,parking_lot::Mutex,,,2433000.0,ns,26361
kernel,light contention,parking_lot::Mutex,,,2372000.0,ns,26664
kernel,light contention,parking_lot::Mutex,,,1968000.0,ns,26967
kernel,light contention,parking_lot::Mutex,,,906000.0,ns,27270
kernel,light contention,parking_lot::Mutex,,,1019000.0,ns,27573
kernel,light contention,parking_lot::Mutex,,,1972000.0,ns,27876
kernel,light contention,parking_lot::Mutex,,,1716000.0,ns,28179
kernel,light contention,parking_lot::Mutex,,,648000.0,ns,28482
kernel,light contention,parking_lot::Mutex,,,845000.0,ns,28785
kernel,light contention,parking_lot::Mutex,,,1864000.0,ns,29088
kernel,light contention,parking_lot::Mutex,,,2044000.0,ns,29391
kernel,light contention,parking_lot::Mutex,,,1788000.0,ns,29694
kernel,light contention,parking_lot::Mutex,,,997000.0,ns,29997
kernel,light contention,parking_lot::Mutex,,,1503000.0,ns,30300
