group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,spin::Mutex,,,2119000.0,ns,78
kernel,light contention,spin::Mutex,,,2133000.0,ns,156
kernel,light contention,spin::Mutex,,,518000.0,ns,234
kernel,light contention,spin::Mutex,,,2338000.0,ns,312
kernel,light contention,spin::Mutex,,,477000.0,ns,390
kernel,light contention,spin::Mutex,,,517000.0,ns,468
kernel,light contention,spin::Mutex,,,3226000.0,ns,546
kernel,light contention,spin::Mutex,,,2638000.0,ns,624
kernel,light contention,spin::Mutex,,,3023000.0,ns,702
kernel,light contention,spin::Mutex,,,3477000.0,ns,780
kernel,light contention,spin::Mutex,,,1796000.0,ns,858
kernel,light contention,spin::Mutex,,,507000.0,ns,936
kernel,light contention,spin::Mutex,,,2244000.0,ns,1014
kernel,light contention,spin::Mutex,,,1861000.0,ns,1092
kernel,light contention,spin::Mutex,,,2457000.0,ns,1170
kernel,light contention,spin::Mutex,,,2274000.0,ns,1248
kernel,light contention,spin::Mutex,,,744000.0,ns,1326
kernel,light contention,spin::Mutex,,,1788000.0,ns,1404
kernel,light contention,spin::Mutex,,,1779000.0,ns,1482
kernel,light contention,spin::Mutex,,,1888000.0,ns,1560
kernel,light contention,spin::Mutex,,,278000.0,ns,1638
kernel,light contention,spin::Mutex,,,571000.0,ns,1716
kernel,light contention,spin::Mutex,,,412000.0,ns,1794
kernel,light contention,spin::Mutex,,,390000.0,ns,1872
kernel,light contention,spin::Mutex,,,1871000.0,ns,1950
kernel,light contention,spin::Mutex,,,1531000.0,ns,2028
kernel,light contention,spin::Mutex,,,1616000.0,ns,2106
kernel,light contention,spin::Mutex,,,238000.0,ns,2184
kernel,light contention,spin::Mutex,,,949000.0,ns,2262
kernel,light contention,spin::Mutex,,,718000.0,ns,2340
kernel,light contention,spin::Mutex,,,1336000.0,ns,2418
kernel,light contention,spin::Mutex,,,713000.0,ns,2496
kernel,light contention,spin::Mutex,,,416000.0,ns,2574
kernel,light contention,spin::Mutex,,,488000.0,ns,2652
kernel,light contention,spin::Mutex,,,478000.0,ns,2730
kernel,light contention,spin::Mutex,,,829000.0,ns,2808
kernel,light contention,spin::Mutex,,,597000.0,ns,2886
kernel,light contention,spin::Mutex,,,525000.0,ns,2964
kernel,light contention,spin::Mutex,,,1020000.0,ns,3042
kernel,light contention,spin::Mutex,,,348000.0,ns,3120
kernel,light contention,spin::Mutex,,,1634000.0,ns,3198
kernel,light contention,spin::Mutex,,,626000.0,ns,3276
kernel,light contention,spin::Mutex,,,936000.0,ns,3354
kernel,light contention,spin::Mutex,,,417000.0,ns,3432
kernel,light contention,spin::Mutex,,,793000.0,ns,3510
kernel,light contention,spin::Mutex,,,338000.0,ns,3588
kernel,light contention,spin::Mutex,,,524000.0,ns,3666
kernel,light contention,spin::Mutex,,,665000.0,ns,3744
kernel,light contention,spin::Mutex,,,2185000.0,ns,3822
kernel,light contention,spin::Mutex,,,401000.0,ns,3900
kernel,light contention,spin::Mutex,,,2107000.0,ns,3978
kernel,light contention,spin::Mutex,,,241000.0,ns,4056
kernel,light contention,spin::Mutex,,,542000.0,ns,4134
kernel,light contention,spin::Mutex,,,1665000.0,ns,4212
kernel,light contention,spin::Mutex,,,1216000.0,ns,4290
kernel,light contention,spin::Mutex,,,1687000.0,ns,4368
kernel,light contention,spin::Mutex,,,445000.0,ns,4446
kernel,light contention,spin::Mutex,,,1462000.0,ns,4524
kernel,light contention,spin::Mutex,,,1848000.0,ns,4602
kernel,light contention,spin::Mutex,,,1512000.0,ns,4680
kernel,light contention,spin::Mutex,,,1090000.0,ns,4758
kernel,light contention,spin::Mutex,,,1779000.0,ns,4836
kernel,light contention,spin::Mutex,,,431000.0,ns,4914
kernel,light contention,spin::Mutex,,,1324000.0,ns,4992
kernel,light contention,spin::Mutex,,,346000.0,ns,5070
kernel,light contention,spin::Mutex,,,1103000.0,ns,5148
kernel,light contention,spin::Mutex,,,744000.0,ns,5226
kernel,light contention,spin::Mutex,,,572000.0,ns,5304
kernel,light contention,spin::Mutex,,,330000.0,ns,5382
