group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,light contention,std::sync::Mutex,,,1229000.0,ns,276
kernel,light contention,std::sync::Mutex,,,1636000.0,ns,552
kernel,light contention,std::sync::Mutex,,,2125000.0,ns,828
kernel,light contention,std::sync::Mutex,,,1311000.0,ns,1104
kernel,light contention,std::sync::Mutex,,,1309000.0,ns,1380
kernel,light contention,std::sync::Mutex,,,1927000.0,ns,1656
kernel,light contention,std::sync::Mutex,,,3016000.0,ns,1932
kernel,light contention,std::sync::Mutex,,,2874000.0,ns,2208
kernel,light contention,std::sync::Mutex,,,1684000.0,ns,2484
kernel,light contention,std::sync::Mutex,,,4352000.0,ns,2760
kernel,light contention,std::sync::Mutex,,,3633000.0,ns,3036
kernel,light contention,std::sync::Mutex,,,3574000.0,ns,3312
kernel,light contention,std::sync::Mutex,,,3517000.0,ns,3588
kernel,light contention,std::sync::Mutex,,,3414000.0,ns,3864
kernel,light contention,std::sync::Mutex,,,4524000.0,ns,4140
kernel,light contention,std::sync::Mutex,,,3774000.0,ns,4416
kernel,light contention,std::sync::Mutex,,,3260000.0,ns,4692
kernel,light contention,std::sync::Mutex,,,3681000.0,ns,4968
kernel,light contention,std::sync::Mutex,,,5210000.0,ns,5244
kernel,light contention,std::sync::Mutex,,,4427000.0,ns,5520
kernel,light contention,std::sync::Mutex,,,4829000.0,ns,5796
kernel,light contention,std::sync::Mutex,,,4038000.0,ns,6072
kernel,light contention,std::sync::Mutex,,,5155000.0,ns,6348
kernel,light contention,std::sync::Mutex,,,5509000.0,ns,6624
kernel,light contention,std::sync::Mutex,,,6241000.0,ns,6900
kernel,light contention,std::sync::Mutex,,,4948000.0,ns,7176
kernel,light contention,std::sync::Mutex,,,7095000.0,ns,7452
kernel,light contention,std::sync::Mutex,,,6089000.0,ns,7728
kernel,light contention,std::sync::Mutex,,,5893000.0,ns,8004
kernel,light contention,std::sync::Mutex,,,6090000.0,ns,8280
kernel,light contention,std::sync::Mutex,,,5689000.0,ns,8556
kernel,light contention,std::sync::Mutex,,,6229000.0,ns,8832
kernel,light contention,std::sync::Mutex,,,6712000.0,ns,9108
kernel,light contention,std::sync::Mutex,,,7115000.0,ns,9384
kernel,light contention,std::sync::Mutex,,,8169000.0,ns,9660
kernel,light contention,std::sync::Mutex,,,7242000.0,ns,9936
kernel,light contention,std::sync::Mutex,,,6246000.0,ns,10212
kernel,light contention,std::sync::Mutex,,,9090000.0,ns,10488
kernel,light contention,std::sync::Mutex,,,8071000.0,ns,10764
kernel,light contention,std::sync::Mutex,,,7249000.0,ns,11040
kernel,light contention,std::sync::Mutex,,,9370000.0,ns,11316
kernel,light contention,std::sync::Mutex,,,7638000.0,ns,11592
kernel,light contention,std::sync::Mutex,,,8280000.0,ns,11868
kernel,light contention,std::sync::Mutex,,,7585000.0,ns,12144
kernel,light contention,std::sync::Mutex,,,8082000.0,ns,12420
kernel,light contention,std::sync::Mutex,,,9362000.0,ns,12696
kernel,light contention,std::sync::Mutex,,,10261000.0,ns,12972
kernel,light contention,std::sync::Mutex,,,8649000.0,ns,13248
kernel,light contention,std::sync::Mutex,,,8296000.0,ns,13524
kernel,light contention,std::sync::Mutex,,,9222000.0,ns,13800
kernel,light contention,std::sync::Mutex,,,8468000.0,ns,14076
kernel,light contention,std::sync::Mutex,,,9074000.0,ns,14352
kernel,light contention,std::sync::Mutex,,,10646000.0,ns,14628
kernel,light contention,std::sync::Mutex,,,10403000.0,ns,14904
kernel,light contention,std::sync::Mutex,,,9115000.0,ns,15180
kernel,light contention,std::sync::Mutex,,,10469000.0,ns,15456
kernel,light contention,std::sync::Mutex,,,10372000.0,ns,15732
kernel,light contention,std::sync::Mutex,,,11246000.0,ns,16008
kernel,light contention,std::sync::Mutex,,,12047000.0,ns,16284
kernel,light contention,std::sync::Mutex,,,9608000.0,ns,16560
kernel,light contention,std::sync::Mutex,,,10239000.0,ns,16836
kernel,light contention,std::sync::Mutex,,,9877000.0,ns,17112
kernel,light contention,std::sync::Mutex,,,10763000.0,ns,17388
kernel,light contention,std::sync::Mutex,,,11414000.0,ns,17664
kernel,light contention,std::sync::Mutex,,,11367000.0,ns,17940
kernel,light contention,std::sync::Mutex,,,11279000.0,ns,18216
kernel,light contention,std::sync::Mutex,,,9763000.0,ns,18492
kernel,light contention,std::sync::Mutex,,,13171000.0,ns,18768
kernel,light contention,std::sync::Mutex,,,10998000.0,ns,19044
kernel,light contention,std::sync::Mutex,,,11975000.0,ns,19320
kernel,light contention,std::sync::Mutex,,,12244000.0,ns,19596
kernel,light contention,std::sync::Mutex,,,10859000.0,ns,19872
kernel,light contention,std::sync::Mutex,,,11343000.0,ns,20148
kernel,light contention,std::sync::Mutex,,,13125000.0,ns,20424
kernel,light contention,std::sync::Mutex,,,13419000.0,ns,20700
kernel,light contention,std::sync::Mutex,,,13233000.0,ns,20976
kernel,light contention,std::sync::Mutex,,,14040000.0,ns,21252
kernel,light contention,std::sync::Mutex,,,12686000.0,ns,21528
kernel,light contention,std::sync::Mutex,,,12732000.0,ns,21804
kernel,light contention,std::sync::Mutex,,,13234000.0,ns,22080
kernel,light contention,std::sync::Mutex,,,12297000.0,ns,22356
kernel,light contention,std::sync::Mutex,,,11663000.0,ns,22632
kernel,light contention,std::sync::Mutex,,,15216000.0,ns,22908
kernel,light contention,std::sync::Mutex,,,13982000.0,ns,23184
kernel,light contention,std::sync::Mutex,,,14348000.0,ns,23460
kernel,light contention,std::sync::Mutex,,,13984000.0,ns,23736
kernel,light contention,std::sync::Mutex,,,13934000.0,ns,24012
kernel,light contention,std::sync::Mutex,,,14005000.0,ns,24288
kernel,light contention,std::sync::Mutex,,,14802000.0,ns,24564
kernel,light contention,std::sync::Mutex,,,14991000.0,ns,24840
kernel,light contention,std::sync::Mutex,,,14775000.0,ns,25116
kernel,light contention,std::sync::Mutex,,,16083000.0,ns,25392
kernel,light contention,std::sync::Mutex,,,14565000.0,ns,25668
kernel,light contention,std::sync::Mutex,,,14677000.0,ns,25944
kernel,light contention,std::sync::Mutex,,,13900000.0,ns,26220
kernel,light contention,std::sync::Mutex,,,15213000.0,ns,26496
kernel,light contention,std::sync::Mutex,,,15360000.0,ns,26772
kernel,light contention,std::sync::Mutex,,,15163000.0,ns,27048
kernel,light contention,std::sync::Mutex,,,15376000.0,ns,27324
kernel,light contention,std::sync::Mutex,,,16379000.0,ns,27600
