group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,no contention,AmdSpinlock,,,1389000.0,ns,1
kernel,no contention,AmdSpinlock,,,855000.0,ns,2
kernel,no contention,AmdSpinlock,,,1957000.0,ns,3
kernel,no contention,AmdSpinlock,,,2817000.0,ns,4
kernel,no contention,AmdSpinlock,,,2367000.0,ns,5
kernel,no contention,AmdSpinlock,,,1949000.0,ns,6
kernel,no contention,AmdSpinlock,,,540000.0,ns,7
kernel,no contention,AmdSpinlock,,,2623000.0,ns,8
kernel,no contention,AmdSpinlock,,,1140000.0,ns,9
kernel,no contention,AmdSpinlock,,,872000.0,ns,10
kernel,no contention,AmdSpinlock,,,3734000.0,ns,11
kernel,no contention,AmdSpinlock,,,1070000.0,ns,12
kernel,no contention,AmdSpinlock,,,1157000.0,ns,13
kernel,no contention,AmdSpinlock,,,1141000.0,ns,14
kernel,no contention,AmdSpinlock,,,2629000.0,ns,15
kernel,no contention,AmdSpinlock,,,1393000.0,ns,16
kernel,no contention,AmdSpinlock,,,1504000.0,ns,17
kernel,no contention,AmdSpinlock,,,1824000.0,ns,18
kernel,no contention,AmdSpinlock,,,1189000.0,ns,19
kernel,no contention,AmdSpinlock,,,1190000.0,ns,20
kernel,no contention,AmdSpinlock,,,2404000.0,ns,21
kernel,no contention,AmdSpinlock,,,1125000.0,ns,22
kernel,no contention,AmdSpinlock,,,607000.0,ns,23
kernel,no contention,AmdSpinlock,,,2183000.0,ns,24
kernel,no contention,AmdSpinlock,,,1198000.0,ns,25
kernel,no contention,AmdSpinlock,,,1340000.0,ns,26
kernel,no contention,AmdSpinlock,,,2198000.0,ns,27
kernel,no contention,AmdSpinlock,,,1761000.0,ns,28
kernel,no contention,AmdSpinlock,,,1097000.0,ns,29
kernel,no contention,AmdSpinlock,,,2689000.0,ns,30
kernel,no contention,AmdSpinlock,,,352000.0,ns,31
kernel,no contention,AmdSpinlock,,,1715000.0,ns,32
kernel,no contention,AmdSpinlock,,,2844000.0,ns,33
kernel,no contention,AmdSpinlock,,,833000.0,ns,34
kernel,no contention,AmdSpinlock,,,767000.0,ns,35
kernel,no contention,AmdSpinlock,,,2004000.0,ns,36
kernel,no contention,AmdSpinlock,,,1074000.0,ns,37
kernel,no contention,AmdSpinlock,,,1100000.0,ns,38
kernel,no contention,AmdSpinlock,,,586000.0,ns,39
kernel,no contention,AmdSpinlock,,,2733000.0,ns,40
kernel,no contention,AmdSpinlock,,,1931000.0,ns,41
kernel,no contention,AmdSpinlock,,,1228000.0,ns,42
kernel,no contention,AmdSpinlock,,,1036000.0,ns,43
kernel,no contention,AmdSpinlock,,,1861000.0,ns,44
kernel,no contention,AmdSpinlock,,,1437000.0,ns,45
kernel,no contention,AmdSpinlock,,,2371000.0,ns,46
kernel,no contention,AmdSpinlock,,,1357000.0,ns,47
kernel,no contention,AmdSpinlock,,,1351000.0,ns,48
kernel,no contention,AmdSpinlock,,,711000.0,ns,49
kernel,no contention,AmdSpinlock,,,713000.0,ns,50
kernel,no contention,AmdSpinlock,,,848000.0,ns,51
kernel,no contention,AmdSpinlock,,,1110000.0,ns,52
kernel,no contention,AmdSpinlock,,,2683000.0,ns,53
kernel,no contention,AmdSpinlock,,,895000.0,ns,54
kernel,no contention,AmdSpinlock,,,2538000.0,ns,55
kernel,no contention,AmdSpinlock,,,1506000.0,ns,56
kernel,no contention,AmdSpinlock,,,1454000.0,ns,57
kernel,no contention,AmdSpinlock,,,2882000.0,ns,58
kernel,no contention,AmdSpinlock,,,4941000.0,ns,59
kernel,no contention,AmdSpinlock,,,2905000.0,ns,60
kernel,no contention,AmdSpinlock,,,2460000.0,ns,61
kernel,no contention,AmdSpinlock,,,4535000.0,ns,62
kernel,no contention,AmdSpinlock,,,1993000.0,ns,63
kernel,no contention,AmdSpinlock,,,4406000.0,ns,64
kernel,no contention,AmdSpinlock,,,1753000.0,ns,65
kernel,no contention,AmdSpinlock,,,2075000.0,ns,66
kernel,no contention,AmdSpinlock,,,794000.0,ns,67
kernel,no contention,AmdSpinlock,,,1047000.0,ns,68
kernel,no contention,AmdSpinlock,,,366000.0,ns,69
kernel,no contention,AmdSpinlock,,,5160000.0,ns,70
kernel,no contention,AmdSpinlock,,,363000.0,ns,71
kernel,no contention,AmdSpinlock,,,4914000.0,ns,72
kernel,no contention,AmdSpinlock,,,4822000.0,ns,73
kernel,no contention,AmdSpinlock,,,1016000.0,ns,74
kernel,no contention,AmdSpinlock,,,889000.0,ns,75
kernel,no contention,AmdSpinlock,,,3310000.0,ns,76
kernel,no contention,AmdSpinlock,,,1205000.0,ns,77
kernel,no contention,AmdSpinlock,,,2144000.0,ns,78
kernel,no contention,AmdSpinlock,,,1197000.0,ns,79
kernel,no contention,AmdSpinlock,,,1075000.0,ns,80
kernel,no contention,AmdSpinlock,,,2524000.0,ns,81
kernel,no contention,AmdSpinlock,,,782000.0,ns,82
kernel,no contention,AmdSpinlock,,,1060000.0,ns,83
kernel,no contention,AmdSpinlock,,,588000.0,ns,84
kernel,no contention,AmdSpinlock,,,1824000.0,ns,85
kernel,no contention,AmdSpinlock,,,612000.0,ns,86
kernel,no contention,AmdSpinlock,,,1186000.0,ns,87
kernel,no contention,AmdSpinlock,,,1230000.0,ns,88
kernel,no contention,AmdSpinlock,,,1421000.0,ns,89
kernel,no contention,AmdSpinlock,,,1155000.0,ns,90
kernel,no contention,AmdSpinlock,,,1456000.0,ns,91
kernel,no contention,AmdSpinlock,,,1372000.0,ns,92
kernel,no contention,AmdSpinlock,,,721000.0,ns,93
kernel,no contention,AmdSpinlock,,,940000.0,ns,94
kernel,no contention,AmdSpinlock,,,1437000.0,ns,95
kernel,no contention,AmdSpinlock,,,2881000.0,ns,96
kernel,no contention,AmdSpinlock,,,476000.0,ns,97
kernel,no contention,AmdSpinlock,,,957000.0,ns,98
kernel,no contention,AmdSpinlock,,,2078000.0,ns,99
kernel,no contention,AmdSpinlock,,,486000.0,ns,100
