group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,no contention,parking_lot::Mutex,,,2074000.0,ns,1
kernel,no contention,parking_lot::Mutex,,,454000.0,ns,2
kernel,no contention,parking_lot::Mutex,,,3377000.0,ns,3
kernel,no contention,parking_lot::Mutex,,,2440000.0,ns,4
kernel,no contention,parking_lot::Mutex,,,2294000.0,ns,5
kernel,no contention,parking_lot::Mutex,,,2120000.0,ns,6
kernel,no contention,parking_lot::Mutex,,,1496000.0,ns,7
kernel,no contention,parking_lot::Mutex,,,2272000.0,ns,8
kernel,no contention,parking_lot::Mutex,,,1746000.0,ns,9
kernel,no contention,parking_lot::Mutex,,,2264000.0,ns,10
kernel,no contention,parking_lot::Mutex,,,3283000.0,ns,11
kernel,no contention,parking_lot::Mutex,,,2376000.0,ns,12
kernel,no contention,parking_lot::Mutex,,,1737000.0,ns,13
kernel,no contention,parking_lot::Mutex,,,1043000.0,ns,14
kernel,no contention,parking_lot::Mutex,,,3430000.0,ns,15
kernel,no contention,parking_lot::Mutex,,,2050000.0,ns,16
kernel,no contention,parking_lot::Mutex,,,2294000.0,ns,17
kernel,no contention,parking_lot::Mutex,,,1110000.0,ns,18
kernel,no contention,parking_lot::Mutex,,,1128000.0,ns,19
kernel,no contention,parking_lot::Mutex,,,2023000.0,ns,20
kernel,no contention,parking_lot::Mutex,,,3464000.0,ns,21
kernel,no contention,parking_lot::Mutex,,,1645000.0,ns,22
kernel,no contention,parking_lot::Mutex,,,781000.0,ns,23
kernel,no contention,parking_lot::Mutex,,,3263000.0,ns,24
kernel,no contention,parking_lot::Mutex,,,457000.0,ns,25
kernel,no contention,parking_lot::Mutex,,,1294000.0,ns,26
kernel,no contention,parking_lot::Mutex,,,554000.0,ns,27
kernel,no contention,parking_lot::Mutex,,,2546000.0,ns,28
kernel,no contention,parking_lot::Mutex,,,946000.0,ns,29
kernel,no contention,parking_lot::Mutex,,,1585000.0,ns,30
kernel,no contention,parking_lot::Mutex,,,752000.0,ns,31
kernel,no contention,parking_lot::Mutex,,,2514000.0,ns,32
kernel,no contention,parking_lot::Mutex,,,2264000.0,ns,33
kernel,no contention,parking_lot::Mutex,,,4504000.0,ns,34
kernel,no contention,parking_lot::Mutex,,,795000.0,ns,35
kernel,no contention,parking_lot::Mutex,,,1918000.0,ns,36
kernel,no contention,parking_lot::Mutex,,,468000.0,ns,37
kernel,no contention,parking_lot::Mutex,,,866000.0,ns,38
kernel,no contention,parking_lot::Mutex,,,923000.0,ns,39
kernel,no contention,parking_lot::Mutex,,,1147000.0,ns,40
kernel,no contention,parking_lot::Mutex,,,954000.0,ns,41
kernel,no contention,parking_lot::Mutex,,,3647000.0,ns,42
kernel,no contention,parking_lot::Mutex,,,866000.0,ns,43
kernel,no contention,parking_lot::Mutex,,,1424000.0,ns,44
kernel,no contention,parking_lot::Mutex,,,1122000.0,ns,45
kernel,no contention,parking_lot::Mutex,,,1382000.0,ns,46
kernel,no contention,parking_lot::Mutex,,,4693000.0,ns,47
kernel,no contention,parking_lot::Mutex,,,1239000.0,ns,48
kernel,no contention,parking_lot::Mutex,,,2095000.0,ns,49
kernel,no contention,parking_lot::Mutex,,,1966000.0,ns,50
kernel,no contention,parking_lot::Mutex,,,999000.0,ns,51
kernel,no contention,parking_lot::Mutex,,,2789000.0,ns,52
kernel,no contention,parking_lot::Mutex,,,1673000.0,ns,53
kernel,no contention,parking_lot::Mutex,,,3258000.0,ns,54
kernel,no contention,parking_lot::Mutex,,,3887000.0,ns,55
kernel,no contention,parking_lot::Mutex,,,1484000.0,ns,56
kernel,no contention,parking_lot::Mutex,,,1788000.0,ns,57
kernel,no contention,parking_lot::Mutex,,,2670000.0,ns,58
kernel,no contention,parking_lot::Mutex,,,1747000.0,ns,59
kernel,no contention,parking_lot::Mutex,,,808000.0,ns,60
kernel,no contention,parking_lot::Mutex,,,1161000.0,ns,61
kernel,no contention,parking_lot::Mutex,,,2215000.0,ns,62
kernel,no contention,parking_lot::Mutex,,,1695000.0,ns,63
kernel,no contention,parking_lot::Mutex,,,928000.0,ns,64
kernel,no contention,parking_lot::Mutex,,,2486000.0,ns,65
kernel,no contention,parking_lot::Mutex,,,260000.0,ns,66
kernel,no contention,parking_lot::Mutex,,,2623000.0,ns,67
kernel,no contention,parking_lot::Mutex,,,529000.0,ns,68
kernel,no contention,parking_lot::Mutex,,,1170000.0,ns,69
kernel,no contention,parking_lot::Mutex,,,2615000.0,ns,70
kernel,no contention,parking_lot::Mutex,,,2713000.0,ns,71
kernel,no contention,parking_lot::Mutex,,,1614000.0,ns,72
kernel,no contention,parking_lot::Mutex,,,2699000.0,ns,73
kernel,no contention,parking_lot::Mutex,,,1370000.0,ns,74
kernel,no contention,parking_lot::Mutex,,,1036000.0,ns,75
kernel,no contention,parking_lot::Mutex,,,993000.0,ns,76
kernel,no contention,parking_lot::Mutex,,,1213000.0,ns,77
kernel,no contention,parking_lot::Mutex,,,2235000.0,ns,78
kernel,no contention,parking_lot::Mutex,,,963000.0,ns,79
kernel,no contention,parking_lot::Mutex,,,1191000.0,ns,80
kernel,no contention,parking_lot::Mutex,,,825000.0,ns,81
kernel,no contention,parking_lot::Mutex,,,1813000.0,ns,82
kernel,no contention,parking_lot::Mutex,,,2453000.0,ns,83
kernel,no contention,parking_lot::Mutex,,,1992000.0,ns,84
kernel,no contention,parking_lot::Mutex,,,1062000.0,ns,85
kernel,no contention,parking_lot::Mutex,,,2099000.0,ns,86
kernel,no contention,parking_lot::Mutex,,,1035000.0,ns,87
kernel,no contention,parking_lot::Mutex,,,2815000.0,ns,88
kernel,no contention,parking_lot::Mutex,,,2231000.0,ns,89
kernel,no contention,parking_lot::Mutex,,,851000.0,ns,90
kernel,no contention,parking_lot::Mutex,,,1245000.0,ns,91
kernel,no contention,parking_lot::Mutex,,,2414000.0,ns,92
kernel,no contention,parking_lot::Mutex,,,908000.0,ns,93
kernel,no contention,parking_lot::Mutex,,,926000.0,ns,94
kernel,no contention,parking_lot::Mutex,,,513000.0,ns,95
kernel,no contention,parking_lot::Mutex,,,1149000.0,ns,96
kernel,no contention,parking_lot::Mutex,,,1089000.0,ns,97
kernel,no contention,parking_lot::Mutex,,,1729000.0,ns,98
