group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,no contention,spin::Mutex,,,3154000.0,ns,1
kernel,no contention,spin::Mutex,,,2401000.0,ns,2
kernel,no contention,spin::Mutex,,,487000.0,ns,3
kernel,no contention,spin::Mutex,,,1600000.0,ns,4
kernel,no contention,spin::Mutex,,,1979000.0,ns,5
kernel,no contention,spin::Mutex,,,842000.0,ns,6
kernel,no contention,spin::Mutex,,,2121000.0,ns,7
kernel,no contention,spin::Mutex,,,3505000.0,ns,8
kernel,no contention,spin::Mutex,,,2284000.0,ns,9
kernel,no contention,spin::Mutex,,,1798000.0,ns,10
kernel,no contention,spin::Mutex,,,514000.0,ns,11
kernel,no contention,spin::Mutex,,,1600000.0,ns,12
kernel,no contention,spin::Mutex,,,1885000.0,ns,13
kernel,no contention,spin::Mutex,,,1595000.0,ns,14
kernel,no contention,spin::Mutex,,,2095000.0,ns,15
kernel,no contention,spin::Mutex,,,1595000.0,ns,16
kernel,no contention,spin::Mutex,,,1821000.0,ns,17
kernel,no contention,spin::Mutex,,,1901000.0,ns,18
kernel,no contention,spin::Mutex,,,3139000.0,ns,19
kernel,no contention,spin::Mutex,,,378000.0,ns,20
kernel,no contention,spin::Mutex,,,2528000.0,ns,21
kernel,no contention,spin::Mutex,,,2133000.0,ns,22
kernel,no contention,spin::Mutex,,,2646000.0,ns,23
kernel,no contention,spin::Mutex,,,2087000.0,ns,24
kernel,no contention,spin::Mutex,,,1730000.0,ns,25
kernel,no contention,spin::Mutex,,,1705000.0,ns,26
kernel,no contention,spin::Mutex,,,383000.0,ns,27
kernel,no contention,spin::Mutex,,,1056000.0,ns,28
kernel,no contention,spin::Mutex,,,1512000.0,ns,29
kernel,no contention,spin::Mutex,,,846000.0,ns,30
kernel,no contention,spin::Mutex,,,1962000.0,ns,31
kernel,no contention,spin::Mutex,,,2175000.0,ns,32
kernel,no contention,spin::Mutex,,,1135000.0,ns,33
kernel,no contention,spin::Mutex,,,787000.0,ns,34
kernel,no contention,spin::Mutex,,,2790000.0,ns,35
kernel,no contention,spin::Mutex,,,2424000.0,ns,36
kernel,no contention,spin::Mutex,,,2635000.0,ns,37
kernel,no contention,spin::Mutex,,,1092000.0,ns,38
kernel,no contention,spin::Mutex,,,2557000.0,ns,39
kernel,no contention,spin::Mutex,,,1329000.0,ns,40
kernel,no contention,spin::Mutex,,,833000.0,ns,41
kernel,no contention,spin::Mutex,,,2104000.0,ns,42
kernel,no contention,spin::Mutex,,,2316000.0,ns,43
kernel,no contention,spin::Mutex,,,982000.0,ns,44
kernel,no contention,spin::Mutex,,,2618000.0,ns,45
kernel,no contention,spin::Mutex,,,1055000.0,ns,46
kernel,no contention,spin::Mutex,,,497000.0,ns,47
kernel,no contention,spin::Mutex,,,1797000.0,ns,48
kernel,no contention,spin::Mutex,,,2476000.0,ns,49
kernel,no contention,spin::Mutex,,,1198000.0,ns,50
kernel,no contention,spin::Mutex,,,992000.0,ns,51
kernel,no contention,spin::Mutex,,,2386000.0,ns,52
kernel,no contention,spin::Mutex,,,870000.0,ns,53
kernel,no contention,spin::Mutex,,,922000.0,ns,54
kernel,no contention,spin::Mutex,,,1623000.0,ns,55
kernel,no contention,spin::Mutex,,,1813000.0,ns,56
kernel,no contention,spin::Mutex,,,528000.0,ns,57
kernel,no contention,spin::Mutex,,,1120000.0,ns,58
kernel,no contention,spin::Mutex,,,1659000.0,ns,59
kernel,no contention,spin::Mutex,,,1579000.0,ns,60
kernel,no contention,spin::Mutex,,,1021000.0,ns,61
kernel,no contention,spin::Mutex,,,836000.0,ns,62
kernel,no contention,spin::Mutex,,,706000.0,ns,63
kernel,no contention,spin::Mutex,,,1414000.0,ns,64
kernel,no contention,spin::Mutex,,,940000.0,ns,65
kernel,no contention,spin::Mutex,,,982000.0,ns,66
kernel,no contention,spin::Mutex,,,1084000.0,ns,67
kernel,no contention,spin::Mutex,,,681000.0,ns,68
kernel,no contention,spin::Mutex,,,1814000.0,ns,69
kernel,no contention,spin::Mutex,,,2221000.0,ns,70
kernel,no contention,spin::Mutex,,,2266000.0,ns,71
kernel,no contention,spin::Mutex,,,3775000.0,ns,72
kernel,no contention,spin::Mutex,,,1994000.0,ns,73
kernel,no contention,spin::Mutex,,,1141000.0,ns,74
kernel,no contention,spin::Mutex,,,586000.0,ns,75
kernel,no contention,spin::Mutex,,,1043000.0,ns,76
kernel,no contention,spin::Mutex,,,1990000.0,ns,77
kernel,no contention,spin::Mutex,,,1051000.0,ns,78
kernel,no contention,spin::Mutex,,,1825000.0,ns,79
kernel,no contention,spin::Mutex,,,1166000.0,ns,80
kernel,no contention,spin::Mutex,,,1946000.0,ns,81
kernel,no contention,spin::Mutex,,,849000.0,ns,82
kernel,no contention,spin::Mutex,,,1544000.0,ns,83
kernel,no contention,spin::Mutex,,,1519000.0,ns,84
kernel,no contention,spin::Mutex,,,1026000.0,ns,85
kernel,no contention,spin::Mutex,,,2211000.0,ns,86
kernel,no contention,spin::Mutex,,,737000.0,ns,87
kernel,no contention,spin::Mutex,,,2125000.0,ns,88
kernel,no contention,spin::Mutex,,,488000.0,ns,89
kernel,no contention,spin::Mutex,,,1490000.0,ns,90
kernel,no contention,spin::Mutex,,,2025000.0,ns,91
kernel,no contention,spin::Mutex,,,1054000.0,ns,92
kernel,no contention,spin::Mutex,,,496000.0,ns,93
kernel,no contention,spin::Mutex,,,770000.0,ns,94
kernel,no contention,spin::Mutex,,,1414000.0,ns,95
kernel,no contention,spin::Mutex,,,1139000.0,ns,96
kernel,no contention,spin::Mutex,,,930000.0,ns,97
kernel,no contention,spin::Mutex,,,728000.0,ns,98
kernel,no contention,spin::Mutex,,,1550000.0,ns,99
kernel,no contention,spin::Mutex,,,976000.0,ns,100
