group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
kernel,no contention,std::sync::Mutex,,,2285000.0,ns,1
kernel,no contention,std::sync::Mutex,,,1296000.0,ns,2
kernel,no contention,std::sync::Mutex,,,1965000.0,ns,3
kernel,no contention,std::sync::Mutex,,,4806000.0,ns,4
kernel,no contention,std::sync::Mutex,,,976000.0,ns,5
kernel,no contention,std::sync::Mutex,,,1644000.0,ns,6
kernel,no contention,std::sync::Mutex,,,1122000.0,ns,7
kernel,no contention,std::sync::Mutex,,,1220000.0,ns,8
kernel,no contention,std::sync::Mutex,,,881000.0,ns,9
kernel,no contention,std::sync::Mutex,,,1209000.0,ns,10
kernel,no contention,std::sync::Mutex,,,2037000.0,ns,11
kernel,no contention,std::sync::Mutex,,,591000.0,ns,12
kernel,no contention,std::sync::Mutex,,,4046000.0,ns,13
kernel,no contention,std::sync::Mutex,,,2075000.0,ns,14
kernel,no contention,std::sync::Mutex,,,1122000.0,ns,15
kernel,no contention,std::sync::Mutex,,,4592000.0,ns,16
kernel,no contention,std::sync::Mutex,,,2146000.0,ns,17
kernel,no contention,std::sync::Mutex,,,2084000.0,ns,18
kernel,no contention,std::sync::Mutex,,,4563000.0,ns,19
kernel,no contention,std::sync::Mutex,,,1604000.0,ns,20
kernel,no contention,std::sync::Mutex,,,1547000.0,ns,21
kernel,no contention,std::sync::Mutex,,,2855000.0,ns,22
kernel,no contention,std::sync::Mutex,,,938000.0,ns,23
kernel,no contention,std::sync::Mutex,,,865000.0,ns,24
kernel,no contention,std::sync::Mutex,,,1849000.0,ns,25
kernel,no contention,std::sync::Mutex,,,1781000.0,ns,26
kernel,no contention,std::sync::Mutex,,,2753000.0,ns,27
kernel,no contention,std::sync::Mutex,,,2481000.0,ns,28
kernel,no contention,std::sync::Mutex,,,2338000.0,ns,29
kernel,no contention,std::sync::Mutex,,,3755000.0,ns,30
kernel,no contention,std::sync::Mutex,,,1516000.0,ns,31
kernel,no contention,std::sync::Mutex,,,2215000.0,ns,32
kernel,no contention,std::sync::Mutex,,,1347000.0,ns,33
kernel,no contention,std::sync::Mutex,,,2206000.0,ns,34
kernel,no contention,std::sync::Mutex,,,958000.0,ns,35
kernel,no contention,std::sync::Mutex,,,1159000.0,ns,36
kernel,no contention,std::sync::Mutex,,,2949000.0,ns,37
kernel,no contention,std::sync::Mutex,,,1795000.0,ns,38
kernel,no contention,std::sync::Mutex,,,388000.0,ns,39
kernel,no contention,std::sync::Mutex,,,1248000.0,ns,40
kernel,no contention,std::sync::Mutex,,,2103000.0,ns,41
kernel,no contention,std::sync::Mutex,,,2266000.0,ns,42
kernel,no contention,std::sync::Mutex,,,3093000.0,ns,43
kernel,no contention,std::sync::Mutex,,,2529000.0,ns,44
kernel,no contention,std::sync::Mutex,,,757000.0,ns,45
kernel,no contention,std::sync::Mutex,,,2836000.0,ns,46
kernel,no contention,std::sync::Mutex,,,1054000.0,ns,47
kernel,no contention,std::sync::Mutex,,,2073000.0,ns,48
kernel,no contention,std::sync::Mutex,,,1003000.0,ns,49
kernel,no contention,std::sync::Mutex,,,2692000.0,ns,50
kernel,no contention,std::sync::Mutex,,,3071000.0,ns,51
kernel,no contention,std::sync::Mutex,,,1557000.0,ns,52
kernel,no contention,std::sync::Mutex,,,2141000.0,ns,53
kernel,no contention,std::sync::Mutex,,,563000.0,ns,54
kernel,no contention,std::sync::Mutex,,,969000.0,ns,55
kernel,no contention,std::sync::Mutex,,,3010000.0,ns,56
kernel,no contention,std::sync::Mutex,,,1110000.0,ns,57
kernel,no contention,std::sync::Mutex,,,1221000.0,ns,58
kernel,no contention,std::sync::Mutex,,,349000.0,ns,59
kernel,no contention,std::sync::Mutex,,,2021000.0,ns,60
kernel,no contention,std::sync::Mutex,,,633000.0,ns,61
kernel,no contention,std::sync::Mutex,,,1093000.0,ns,62
kernel,no contention,std::sync::Mutex,,,2008000.0,ns,63
kernel,no contention,std::sync::Mutex,,,2810000.0,ns,64
kernel,no contention,std::sync::Mutex,,,617000.0,ns,65
kernel,no contention,std::sync::Mutex,,,2113000.0,ns,66
kernel,no contention,std::sync::Mutex,,,1452000.0,ns,67
kernel,no contention,std::sync::Mutex,,,2210000.0,ns,68
kernel,no contention,std::sync::Mutex,,,2278000.0,ns,69
kernel,no contention,std::sync::Mutex,,,1462000.0,ns,70
kernel,no contention,std::sync::Mutex,,,2344000.0,ns,71
kernel,no contention,std::sync::Mutex,,,404000.0,ns,72
kernel,no contention,std::sync::Mutex,,,1000000.0,ns,73
kernel,no contention,std::sync::Mutex,,,1927000.0,ns,74
kernel,no contention,std::sync::Mutex,,,727000.0,ns,75
kernel,no contention,std::sync::Mutex,,,565000.0,ns,76
kernel,no contention,std::sync::Mutex,,,761000.0,ns,77
kernel,no contention,std::sync::Mutex,,,2659000.0,ns,78
kernel,no contention,std::sync::Mutex,,,3458000.0,ns,79
kernel,no contention,std::sync::Mutex,,,1977000.0,ns,80
kernel,no contention,std::sync::Mutex,,,700000.0,ns,81
kernel,no contention,std::sync::Mutex,,,997000.0,ns,82
kernel,no contention,std::sync::Mutex,,,710000.0,ns,83
kernel,no contention,std::sync::Mutex,,,2312000.0,ns,84
kernel,no contention,std::sync::Mutex,,,2641000.0,ns,85
kernel,no contention,std::sync::Mutex,,,2886000.0,ns,86
kernel,no contention,std::sync::Mutex,,,343000.0,ns,87
kernel,no contention,std::sync::Mutex,,,4145000.0,ns,88
kernel,no contention,std::sync::Mutex,,,2052000.0,ns,89
kernel,no contention,std::sync::Mutex,,,647000.0,ns,90
kernel,no contention,std::sync::Mutex,,,1380000.0,ns,91
kernel,no contention,std::sync::Mutex,,,1428000.0,ns,92
kernel,no contention,std::sync::Mutex,,,1686000.0,ns,93
kernel,no contention,std::sync::Mutex,,,1869000.0,ns,94
kernel,no contention,std::sync::Mutex,,,1243000.0,ns,95
kernel,no contention,std::sync::Mutex,,,954000.0,ns,96
kernel,no contention,std::sync::Mutex,,,2694000.0,ns,97
kernel,no contention,std::sync::Mutex,,,718000.0,ns,98
kernel,no contention,std::sync::Mutex,,,996000.0,ns,99
kernel,no contention,std::sync::Mutex,,,1669000.0,ns,100
