group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,AmdSpinlock,,,1570000.0,ns,37
user,extreme contention,AmdSpinlock,,,30710000.0,ns,74
user,extreme contention,AmdSpinlock,,,5420000.0,ns,111
user,extreme contention,AmdSpinlock,,,6408000.0,ns,148
user,extreme contention,AmdSpinlock,,,24277000.0,ns,185
user,extreme contention,AmdSpinlock,,,13392000.0,ns,222
user,extreme contention,AmdSpinlock,,,81229000.0,ns,259
user,extreme contention,AmdSpinlock,,,46035000.0,ns,296
user,extreme contention,AmdSpinlock,,,10463000.0,ns,333
user,extreme contention,AmdSpinlock,,,60619000.0,ns,370
user,extreme contention,AmdSpinlock,,,19765000.0,ns,407
user,extreme contention,AmdSpinlock,,,22213000.0,ns,444
user,extreme contention,AmdSpinlock,,,25824000.0,ns,481
user,extreme contention,AmdSpinlock,,,89991000.0,ns,518
user,extreme contention,AmdSpinlock,,,32993000.0,ns,555
user,extreme contention,AmdSpinlock,,,23063000.0,ns,592
user,extreme contention,AmdSpinlock,,,32268000.0,ns,629
user,extreme contention,AmdSpinlock,,,36924000.0,ns,666
user,extreme contention,AmdSpinlock,,,37913000.0,ns,703
user,extreme contention,AmdSpinlock,,,32958000.0,ns,740
user,extreme contention,AmdSpinlock,,,38447000.0,ns,777
user,extreme contention,AmdSpinlock,,,42730000.0,ns,814
user,extreme contention,AmdSpinlock,,,46538000.0,ns,851
user,extreme contention,AmdSpinlock,,,134159000.0,ns,888
user,extreme contention,AmdSpinlock,,,76694000.0,ns,925
user,extreme contention,AmdSpinlock,,,108256000.0,ns,962
user,extreme contention,AmdSpinlock,,,73677000.0,ns,999
user,extreme contention,AmdSpinlock,,,66652000.0,ns,1036
user,extreme contention,AmdSpinlock,,,56883000.0,ns,1073
user,extreme contention,AmdSpinlock,,,50281000.0,ns,1110
user,extreme contention,AmdSpinlock,,,55161000.0,ns,1147
user,extreme contention,AmdSpinlock,,,59994000.0,ns,1184
user,extreme contention,AmdSpinlock,,,47248000.0,ns,1221
user,extreme contention,AmdSpinlock,,,59491000.0,ns,1258
user,extreme contention,AmdSpinlock,,,61559000.0,ns,1295
user,extreme contention,AmdSpinlock,,,48467000.0,ns,1332
user,extreme contention,AmdSpinlock,,,99709000.0,ns,1369
user,extreme contention,AmdSpinlock,,,60924000.0,ns,1406
user,extreme contention,AmdSpinlock,,,64048000.0,ns,1443
user,extreme contention,AmdSpinlock,,,113712000.0,ns,1480
user,extreme contention,AmdSpinlock,,,50855000.0,ns,1517
user,extreme contention,AmdSpinlock,,,47230000.0,ns,1554
user,extreme contention,AmdSpinlock,,,175460000.0,ns,1591
user,extreme contention,AmdSpinlock,,,54517000.0,ns,1628
user,extreme contention,AmdSpinlock,,,158216000.0,ns,1665
user,extreme contention,AmdSpinlock,,,71019000.0,ns,1702
user,extreme contention,AmdSpinlock,,,86162000.0,ns,1739
user,extreme contention,AmdSpinlock,,,65175000.0,ns,1776
user,extreme contention,AmdSpinlock,,,85524000.0,ns,1813
user,extreme contention,AmdSpinlock,,,66675000.0,ns,1850
user,extreme contention,AmdSpinlock,,,81539000.0,ns,1887
user,extreme contention,AmdSpinlock,,,76654000.0,ns,1924
user,extreme contention,AmdSpinlock,,,80206000.0,ns,1961
user,extreme contention,AmdSpinlock,,,75031000.0,ns,1998
user,extreme contention,AmdSpinlock,,,76528000.0,ns,2035
user,extreme contention,AmdSpinlock,,,180521000.0,ns,2072
user,extreme contention,AmdSpinlock,,,645994000.0,ns,2109
user,extreme contention,AmdSpinlock,,,126959000.0,ns,2146
user,extreme contention,AmdSpinlock,,,97372000.0,ns,2183
user,extreme contention,AmdSpinlock,,,103659000.0,ns,2220
user,extreme contention,AmdSpinlock,,,87278000.0,ns,2257
user,extreme contention,AmdSpinlock,,,92009000.0,ns,2294
user,extreme contention,AmdSpinlock,,,91705000.0,ns,2331
user,extreme contention,AmdSpinlock,,,129647000.0,ns,2368
user,extreme contention,AmdSpinlock,,,95761000.0,ns,2405
user,extreme contention,AmdSpinlock,,,83470000.0,ns,2442
user,extreme contention,AmdSpinlock,,,133448000.0,ns,2479
user,extreme contention,AmdSpinlock,,,97626000.0,ns,2516
user,extreme contention,AmdSpinlock,,,104351000.0,ns,2553
user,extreme contention,AmdSpinlock,,,111727000.0,ns,2590
user,extreme contention,AmdSpinlock,,,91141000.0,ns,2627
user,extreme contention,AmdSpinlock,,,97357000.0,ns,2664
user,extreme contention,AmdSpinlock,,,87224000.0,ns,2701
user,extreme contention,AmdSpinlock,,,119381000.0,ns,2738
user,extreme contention,AmdSpinlock,,,92366000.0,ns,2775
user,extreme contention,AmdSpinlock,,,122551000.0,ns,2812
user,extreme contention,AmdSpinlock,,,133493000.0,ns,2849
user,extreme contention,AmdSpinlock,,,105238000.0,ns,2886
user,extreme contention,AmdSpinlock,,,100826000.0,ns,2923
user,extreme contention,AmdSpinlock,,,211148000.0,ns,2960
user,extreme contention,AmdSpinlock,,,131887000.0,ns,2997
user,extreme contention,AmdSpinlock,,,132634000.0,ns,3034
user,extreme contention,AmdSpinlock,,,120762000.0,ns,3071
user,extreme contention,AmdSpinlock,,,99592000.0,ns,3108
user,extreme contention,AmdSpinlock,,,119697000.0,ns,3145
user,extreme contention,AmdSpinlock,,,211647000.0,ns,3182
user,extreme contention,AmdSpinlock,,,125792000.0,ns,3219
user,extreme contention,AmdSpinlock,,,124681000.0,ns,3256
user,extreme contention,AmdSpinlock,,,107044000.0,ns,3293
user,extreme contention,AmdSpinlock,,,130632000.0,ns,3330
user,extreme contention,AmdSpinlock,,,147324000.0,ns,3367
user,extreme contention,AmdSpinlock,,,142682000.0,ns,3404
user,extreme contention,AmdSpinlock,,,161089000.0,ns,3441
user,extreme contention,AmdSpinlock,,,137689000.0,ns,3478
user,extreme contention,AmdSpinlock,,,169940000.0,ns,3515
user,extreme contention,AmdSpinlock,,,135452000.0,ns,3552
user,extreme contention,AmdSpinlock,,,91386000.0,ns,3589
user,extreme contention,AmdSpinlock,,,158090000.0,ns,3626
user,extreme contention,AmdSpinlock,,,492942000.0,ns,3663
user,extreme contention,AmdSpinlock,,,166022000.0,ns,3700
