group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,parking_lot::Mutex,,,1517000.0,ns,42
user,extreme contention,parking_lot::Mutex,,,1881000.0,ns,84
user,extreme contention,parking_lot::Mutex,,,5103000.0,ns,126
user,extreme contention,parking_lot::Mutex,,,6841000.0,ns,168
user,extreme contention,parking_lot::Mutex,,,8378000.0,ns,210
user,extreme contention,parking_lot::Mutex,,,10314000.0,ns,252
user,extreme contention,parking_lot::Mutex,,,11363000.0,ns,294
user,extreme contention,parking_lot::Mutex,,,13366000.0,ns,336
user,extreme contention,parking_lot::Mutex,,,16955000.0,ns,378
user,extreme contention,parking_lot::Mutex,,,16221000.0,ns,420
user,extreme contention,parking_lot::Mutex,,,10099000.0,ns,462
user,extreme contention,parking_lot::Mutex,,,22020000.0,ns,504
user,extreme contention,parking_lot::Mutex,,,21240000.0,ns,546
user,extreme contention,parking_lot::Mutex,,,19302000.0,ns,588
user,extreme contention,parking_lot::Mutex,,,22813000.0,ns,630
user,extreme contention,parking_lot::Mutex,,,28223000.0,ns,672
user,extreme contention,parking_lot::Mutex,,,24885000.0,ns,714
user,extreme contention,parking_lot::Mutex,,,28411000.0,ns,756
user,extreme contention,parking_lot::Mutex,,,25500000.0,ns,798
user,extreme contention,parking_lot::Mutex,,,24459000.0,ns,840
user,extreme contention,parking_lot::Mutex,,,29038000.0,ns,882
user,extreme contention,parking_lot::Mutex,,,34602000.0,ns,924
user,extreme contention,parking_lot::Mutex,,,29419000.0,ns,966
user,extreme contention,parking_lot::Mutex,,,32029000.0,ns,1008
user,extreme contention,parking_lot::Mutex,,,35146000.0,ns,1050
user,extreme contention,parking_lot::Mutex,,,33837000.0,ns,1092
user,extreme contention,parking_lot::Mutex,,,36964000.0,ns,1134
user,extreme contention,parking_lot::Mutex,,,39837000.0,ns,1176
user,extreme contention,parking_lot::Mutex,,,42930000.0,ns,1218
user,extreme contention,parking_lot::Mutex,,,41440000.0,ns,1260
user,extreme contention,parking_lot::Mutex,,,51292000.0,ns,1302
user,extreme contention,parking_lot::Mutex,,,50964000.0,ns,1344
user,extreme contention,parking_lot::Mutex,,,46291000.0,ns,1386
user,extreme contention,parking_lot::Mutex,,,51507000.0,ns,1428
user,extreme contention,parking_lot::Mutex,,,49758000.0,ns,1470
user,extreme contention,parking_lot::Mutex,,,38889000.0,ns,1512
user,extreme contention,parking_lot::Mutex,,,39896000.0,ns,1554
user,extreme contention,parking_lot::Mutex,,,46562000.0,ns,1596
user,extreme contention,parking_lot::Mutex,,,55285000.0,ns,1638
user,extreme contention,parking_lot::Mutex,,,50756000.0,ns,1680
user,extreme contention,parking_lot::Mutex,,,50788000.0,ns,1722
user,extreme contention,parking_lot::Mutex,,,60206000.0,ns,1764
user,extreme contention,parking_lot::Mutex,,,52766000.0,ns,1806
user,extreme contention,parking_lot::Mutex,,,41131000.0,ns,1848
user,extreme contention,parking_lot::Mutex,,,58734000.0,ns,1890
user,extreme contention,parking_lot::Mutex,,,60351000.0,ns,1932
user,extreme contention,parking_lot::Mutex,,,61783000.0,ns,1974
user,extreme contention,parking_lot::Mutex,,,59178000.0,ns,2016
user,extreme contention,parking_lot::Mutex,,,54812000.0,ns,2058
user,extreme contention,parking_lot::Mutex,,,61504000.0,ns,2100
user,extreme contention,parking_lot::Mutex,,,60527000.0,ns,2142
user,extreme contention,parking_lot::Mutex,,,60229000.0,ns,2184
user,extreme contention,parking_lot::Mutex,,,41758000.0,ns,2226
user,extreme contention,parking_lot::Mutex,,,66431000.0,ns,2268
user,extreme contention,parking_lot::Mutex,,,58778000.0,ns,2310
user,extreme contention,parking_lot::Mutex,,,69499000.0,ns,2352
user,extreme contention,parking_lot::Mutex,,,56974000.0,ns,2394
user,extreme contention,parking_lot::Mutex,,,64916000.0,ns,2436
user,extreme contention,parking_lot::Mutex,,,61909000.0,ns,2478
user,extreme contention,parking_lot::Mutex,,,70734000.0,ns,2520
user,extreme contention,parking_lot::Mutex,,,63298000.0,ns,2562
user,extreme contention,parking_lot::Mutex,,,68579000.0,ns,2604
user,extreme contention,parking_lot::Mutex,,,55274000.0,ns,2646
user,extreme contention,parking_lot::Mutex,,,66384000.0,ns,2688
user,extreme contention,parking_lot::Mutex,,,66568000.0,ns,2730
user,extreme contention,parking_lot::Mutex,,,77812000.0,ns,2772
user,extreme contention,parking_lot::Mutex,,,83911000.0,ns,2814
user,extreme contention,parking_lot::Mutex,,,68850000.0,ns,2856
user,extreme contention,parking_lot::Mutex,,,55318000.0,ns,2898
user,extreme contention,parking_lot::Mutex,,,79391000.0,ns,2940
user,extreme contention,parking_lot::Mutex,,,77483000.0,ns,2982
user,extreme contention,parking_lot::Mutex,,,77113000.0,ns,3024
user,extreme contention,parking_lot::Mutex,,,89669000.0,ns,3066
user,extreme contention,parking_lot::Mutex,,,86584000.0,ns,3108
user,extreme contention,parking_lot::Mutex,,,87946000.0,ns,3150
user,extreme contention,parking_lot::Mutex,,,76338000.0,ns,3192
user,extreme contention,parking_lot::Mutex,,,79362000.0,ns,3234
user,extreme contention,parking_lot::Mutex,,,86860000.0,ns,3276
user,extreme contention,parking_lot::Mutex,,,60234000.0,ns,3318
user,extreme contention,parking_lot::Mutex,,,64106000.0,ns,3360
user,extreme contention,parking_lot::Mutex,,,58560000.0,ns,3402
user,extreme contention,parking_lot::Mutex,,,60460000.0,ns,3444
user,extreme contention,parking_lot::Mutex,,,64001000.0,ns,3486
user,extreme contention,parking_lot::Mutex,,,57580000.0,ns,3528
user,extreme contention,parking_lot::Mutex,,,64234000.0,ns,3570
user,extreme contention,parking_lot::Mutex,,,64297000.0,ns,3612
user,extreme contention,parking_lot::Mutex,,,71515000.0,ns,3654
user,extreme contention,parking_lot::Mutex,,,128684000.0,ns,3696
user,extreme contention,parking_lot::Mutex,,,98006000.0,ns,3738
user,extreme contention,parking_lot::Mutex,,,91828000.0,ns,3780
