group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,spin::Mutex,,,1470000.0,ns,37
user,extreme contention,spin::Mutex,,,3929000.0,ns,74
user,extreme contention,spin::Mutex,,,54946000.0,ns,111
user,extreme contention,spin::Mutex,,,26044000.0,ns,148
user,extreme contention,spin::Mutex,,,71272000.0,ns,185
user,extreme contention,spin::Mutex,,,24163000.0,ns,222
user,extreme contention,spin::Mutex,,,15065000.0,ns,259
user,extreme contention,spin::Mutex,,,21709000.0,ns,296
user,extreme contention,spin::Mutex,,,14971000.0,ns,333
user,extreme contention,spin::Mutex,,,71523000.0,ns,370
user,extreme contention,spin::Mutex,,,24851000.0,ns,407
user,extreme contention,spin::Mutex,,,39947000.0,ns,444
user,extreme contention,spin::Mutex,,,99424000.0,ns,481
user,extreme contention,spin::Mutex,,,48202000.0,ns,518
user,extreme contention,spin::Mutex,,,34162000.0,ns,555
user,extreme contention,spin::Mutex,,,81569000.0,ns,592
user,extreme contention,spin::Mutex,,,44874000.0,ns,629
user,extreme contention,spin::Mutex,,,64254000.0,ns,666
user,extreme contention,spin::Mutex,,,32796000.0,ns,703
user,extreme contention,spin::Mutex,,,38144000.0,ns,740
user,extreme contention,spin::Mutex,,,93989000.0,ns,777
user,extreme contention,spin::Mutex,,,41331000.0,ns,814
user,extreme contention,spin::Mutex,,,44801000.0,ns,851
user,extreme contention,spin::Mutex,,,45579000.0,ns,888
user,extreme contention,spin::Mutex,,,49123000.0,ns,925
user,extreme contention,spin::Mutex,,,48324000.0,ns,962
user,extreme contention,spin::Mutex,,,44780000.0,ns,999
user,extreme contention,spin::Mutex,,,54541000.0,ns,1036
user,extreme contention,spin::Mutex,,,57827000.0,ns,1073
user,extreme contention,spin::Mutex,,,58609000.0,ns,1110
user,extreme contention,spin::Mutex,,,56062000.0,ns,1147
user,extreme contention,spin::Mutex,,,58123000.0,ns,1184
user,extreme contention,spin::Mutex,,,56852000.0,ns,1221
user,extreme contention,spin::Mutex,,,55331000.0,ns,1258
user,extreme contention,spin::Mutex,,,82788000.0,ns,1295
user,extreme contention,spin::Mutex,,,63630000.0,ns,1332
user,extreme contention,spin::Mutex,,,70308000.0,ns,1369
user,extreme contention,spin::Mutex,,,45786000.0,ns,1406
user,extreme contention,spin::Mutex,,,66550000.0,ns,1443
