group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,extreme contention,std::sync::Mutex,,,2016000.0,ns,38
user,extreme contention,std::sync::Mutex,,,4018000.0,ns,76
user,extreme contention,std::sync::Mutex,,,5311000.0,ns,114
user,extreme contention,std::sync::Mutex,,,5482000.0,ns,152
user,extreme contention,std::sync::Mutex,,,5191000.0,ns,190
user,extreme contention,std::sync::Mutex,,,8494000.0,ns,228
user,extreme contention,std::sync::Mutex,,,9147000.0,ns,266
user,extreme contention,std::sync::Mutex,,,9494000.0,ns,304
user,extreme contention,std::sync::Mutex,,,11240000.0,ns,342
user,extreme contention,std::sync::Mutex,,,11210000.0,ns,380
user,extreme contention,std::sync::Mutex,,,12678000.0,ns,418
user,extreme contention,std::sync::Mutex,,,13310000.0,ns,456
user,extreme contention,std::sync::Mutex,,,13998000.0,ns,494
user,extreme contention,std::sync::Mutex,,,10747000.0,ns,532
user,extreme contention,std::sync::Mutex,,,16966000.0,ns,570
user,extreme contention,std::sync::Mutex,,,16834000.0,ns,608
user,extreme contention,std::sync::Mutex,,,16856000.0,ns,646
user,extreme contention,std::sync::Mutex,,,17955000.0,ns,684
user,extreme contention,std::sync::Mutex,,,20061000.0,ns,722
user,extreme contention,std::sync::Mutex,,,21056000.0,ns,760
user,extreme contention,std::sync::Mutex,,,20609000.0,ns,798
user,extreme contention,std::sync::Mutex,,,14165000.0,ns,836
user,extreme contention,std::sync::Mutex,,,21414000.0,ns,874
user,extreme contention,std::sync::Mutex,,,18288000.0,ns,912
user,extreme contention,std::sync::Mutex,,,24112000.0,ns,950
user,extreme contention,std::sync::Mutex,,,20995000.0,ns,988
user,extreme contention,std::sync::Mutex,,,24620000.0,ns,1026
user,extreme contention,std::sync::Mutex,,,24507000.0,ns,1064
user,extreme contention,std::sync::Mutex,,,25983000.0,ns,1102
user,extreme contention,std::sync::Mutex,,,27504000.0,ns,1140
user,extreme contention,std::sync::Mutex,,,28822000.0,ns,1178
user,extreme contention,std::sync::Mutex,,,28328000.0,ns,1216
user,extreme contention,std::sync::Mutex,,,30899000.0,ns,1254
user,extreme contention,std::sync::Mutex,,,31215000.0,ns,1292
user,extreme contention,std::sync::Mutex,,,25769000.0,ns,1330
user,extreme contention,std::sync::Mutex,,,28250000.0,ns,1368
user,extreme contention,std::sync::Mutex,,,33486000.0,ns,1406
user,extreme contention,std::sync::Mutex,,,29399000.0,ns,1444
user,extreme contention,std::sync::Mutex,,,33059000.0,ns,1482
user,extreme contention,std::sync::Mutex,,,35384000.0,ns,1520
user,extreme contention,std::sync::Mutex,,,36628000.0,ns,1558
user,extreme contention,std::sync::Mutex,,,37275000.0,ns,1596
user,extreme contention,std::sync::Mutex,,,38436000.0,ns,1634
user,extreme contention,std::sync::Mutex,,,39380000.0,ns,1672
user,extreme contention,std::sync::Mutex,,,39589000.0,ns,1710
user,extreme contention,std::sync::Mutex,,,41176000.0,ns,1748
user,extreme contention,std::sync::Mutex,,,41128000.0,ns,1786
user,extreme contention,std::sync::Mutex,,,41231000.0,ns,1824
user,extreme contention,std::sync::Mutex,,,38886000.0,ns,1862
user,extreme contention,std::sync::Mutex,,,42805000.0,ns,1900
user,extreme contention,std::sync::Mutex,,,41796000.0,ns,1938
user,extreme contention,std::sync::Mutex,,,45573000.0,ns,1976
user,extreme contention,std::sync::Mutex,,,43410000.0,ns,2014
user,extreme contention,std::sync::Mutex,,,46728000.0,ns,2052
user,extreme contention,std::sync::Mutex,,,47468000.0,ns,2090
user,extreme contention,std::sync::Mutex,,,48259000.0,ns,2128
user,extreme contention,std::sync::Mutex,,,48878000.0,ns,2166
user,extreme contention,std::sync::Mutex,,,49195000.0,ns,2204
user,extreme contention,std::sync::Mutex,,,48092000.0,ns,2242
user,extreme contention,std::sync::Mutex,,,50481000.0,ns,2280
user,extreme contention,std::sync::Mutex,,,51476000.0,ns,2318
