group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,AmdSpinlock,,,2001000.0,ns,74
user,heavy contention,AmdSpinlock,,,2930000.0,ns,148
user,heavy contention,AmdSpinlock,,,72634000.0,ns,222
user,heavy contention,AmdSpinlock,,,3573000.0,ns,296
user,heavy contention,AmdSpinlock,,,4525000.0,ns,370
user,heavy contention,AmdSpinlock,,,36823000.0,ns,444
user,heavy contention,AmdSpinlock,,,8670000.0,ns,518
user,heavy contention,AmdSpinlock,,,26898000.0,ns,592
user,heavy contention,AmdSpinlock,,,8471000.0,ns,666
user,heavy contention,AmdSpinlock,,,35930000.0,ns,740
user,heavy contention,AmdSpinlock,,,15263000.0,ns,814
user,heavy contention,AmdSpinlock,,,17041000.0,ns,888
user,heavy contention,AmdSpinlock,,,18549000.0,ns,962
user,heavy contention,AmdSpinlock,,,21247000.0,ns,1036
user,heavy contention,AmdSpinlock,,,21543000.0,ns,1110
user,heavy contention,AmdSpinlock,,,19321000.0,ns,1184
user,heavy contention,AmdSpinlock,,,13958000.0,ns,1258
user,heavy contention,AmdSpinlock,,,81860000.0,ns,1332
user,heavy contention,AmdSpinlock,,,58955000.0,ns,1406
user,heavy contention,AmdSpinlock,,,22269000.0,ns,1480
user,heavy contention,AmdSpinlock,,,26295000.0,ns,1554
user,heavy contention,AmdSpinlock,,,17917000.0,ns,1628
user,heavy contention,AmdSpinlock,,,19714000.0,ns,1702
user,heavy contention,AmdSpinlock,,,26439000.0,ns,1776
user,heavy contention,AmdSpinlock,,,22756000.0,ns,1850
user,heavy contention,AmdSpinlock,,,75411000.0,ns,1924
user,heavy contention,AmdSpinlock,,,35135000.0,ns,1998
user,heavy contention,AmdSpinlock,,,27646000.0,ns,2072
user,heavy contention,AmdSpinlock,,,33921000.0,ns,2146
user,heavy contention,AmdSpinlock,,,49494000.0,ns,2220
user,heavy contention,AmdSpinlock,,,35322000.0,ns,2294
user,heavy contention,AmdSpinlock,,,60212000.0,ns,2368
user,heavy contention,AmdSpinlock,,,53533000.0,ns,2442
user,heavy contention,AmdSpinlock,,,92602000.0,ns,2516
user,heavy contention,AmdSpinlock,,,39190000.0,ns,2590
user,heavy contention,AmdSpinlock,,,40204000.0,ns,2664
user,heavy contention,AmdSpinlock,,,69753000.0,ns,2738
user,heavy contention,AmdSpinlock,,,103189000.0,ns,2812
user,heavy contention,AmdSpinlock,,,36645000.0,ns,2886
user,heavy contention,AmdSpinlock,,,71294000.0,ns,2960
user,heavy contention,AmdSpinlock,,,82908000.0,ns,3034
user,heavy contention,AmdSpinlock,,,58798000.0,ns,3108
user,heavy contention,AmdSpinlock,,,44336000.0,ns,3182
user,heavy contention,AmdSpinlock,,,52090000.0,ns,3256
user,heavy contention,AmdSpinlock,,,46031000.0,ns,3330
user,heavy contention,AmdSpinlock,,,100853000.0,ns,3404
user,heavy contention,AmdSpinlock,,,42852000.0,ns,3478
user,heavy contention,AmdSpinlock,,,58979000.0,ns,3552
user,heavy contention,AmdSpinlock,,,91358000.0,ns,3626
user,heavy contention,AmdSpinlock,,,98397000.0,ns,3700
user,heavy contention,AmdSpinlock,,,40547000.0,ns,3774
user,heavy contention,AmdSpinlock,,,41322000.0,ns,3848
user,heavy contention,AmdSpinlock,,,108561000.0,ns,3922
user,heavy contention,AmdSpinlock,,,62735000.0,ns,3996
user,heavy contention,AmdSpinlock,,,338629000.0,ns,4070
user,heavy contention,AmdSpinlock,,,78526000.0,ns,4144
user,heavy contention,AmdSpinlock,,,52906000.0,ns,4218
user,heavy contention,AmdSpinlock,,,74684000.0,ns,4292
user,heavy contention,AmdSpinlock,,,71868000.0,ns,4366
user,heavy contention,AmdSpinlock,,,64667000.0,ns,4440
user,heavy contention,AmdSpinlock,,,85271000.0,ns,4514
user,heavy contention,AmdSpinlock,,,101408000.0,ns,4588
user,heavy contention,AmdSpinlock,,,99633000.0,ns,4662
user,heavy contention,AmdSpinlock,,,64312000.0,ns,4736
user,heavy contention,AmdSpinlock,,,84075000.0,ns,4810
user,heavy contention,AmdSpinlock,,,66902000.0,ns,4884
user,heavy contention,AmdSpinlock,,,58951000.0,ns,4958
user,heavy contention,AmdSpinlock,,,84264000.0,ns,5032
user,heavy contention,AmdSpinlock,,,70317000.0,ns,5106
user,heavy contention,AmdSpinlock,,,68200000.0,ns,5180
user,heavy contention,AmdSpinlock,,,71045000.0,ns,5254
user,heavy contention,AmdSpinlock,,,92212000.0,ns,5328
user,heavy contention,AmdSpinlock,,,104179000.0,ns,5402
user,heavy contention,AmdSpinlock,,,102834000.0,ns,5476
user,heavy contention,AmdSpinlock,,,72990000.0,ns,5550
user,heavy contention,AmdSpinlock,,,75153000.0,ns,5624
user,heavy contention,AmdSpinlock,,,78632000.0,ns,5698
user,heavy contention,AmdSpinlock,,,116190000.0,ns,5772
user,heavy contention,AmdSpinlock,,,82131000.0,ns,5846
user,heavy contention,AmdSpinlock,,,103061000.0,ns,5920
user,heavy contention,AmdSpinlock,,,80493000.0,ns,5994
user,heavy contention,AmdSpinlock,,,79831000.0,ns,6068
user,heavy contention,AmdSpinlock,,,99805000.0,ns,6142
user,heavy contention,AmdSpinlock,,,80414000.0,ns,6216
user,heavy contention,AmdSpinlock,,,89062000.0,ns,6290
