group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,parking_lot::Mutex,,,6278000.0,ns,303
user,heavy contention,parking_lot::Mutex,,,12615000.0,ns,606
user,heavy contention,parking_lot::Mutex,,,18413000.0,ns,909
user,heavy contention,parking_lot::Mutex,,,23400000.0,ns,1212
user,heavy contention,parking_lot::Mutex,,,29429000.0,ns,1515
user,heavy contention,parking_lot::Mutex,,,31763000.0,ns,1818
user,heavy contention,parking_lot::Mutex,,,36930000.0,ns,2121
user,heavy contention,parking_lot::Mutex,,,40547000.0,ns,2424
user,heavy contention,parking_lot::Mutex,,,23382000.0,ns,2727
user,heavy contention,parking_lot::Mutex,,,48366000.0,ns,3030
user,heavy contention,parking_lot::Mutex,,,51163000.0,ns,3333
user,heavy contention,parking_lot::Mutex,,,51470000.0,ns,3636
user,heavy contention,parking_lot::Mutex,,,58231000.0,ns,3939
user,heavy contention,parking_lot::Mutex,,,61354000.0,ns,4242
user,heavy contention,parking_lot::Mutex,,,64710000.0,ns,4545
user,heavy contention,parking_lot::Mutex,,,67893000.0,ns,4848
user,heavy contention,parking_lot::Mutex,,,71143000.0,ns,5151
user,heavy contention,parking_lot::Mutex,,,75176000.0,ns,5454
user,heavy contention,parking_lot::Mutex,,,75845000.0,ns,5757
user,heavy contention,parking_lot::Mutex,,,81208000.0,ns,6060
user,heavy contention,parking_lot::Mutex,,,80095000.0,ns,6363
user,heavy contention,parking_lot::Mutex,,,84814000.0,ns,6666
user,heavy contention,parking_lot::Mutex,,,88361000.0,ns,6969
user,heavy contention,parking_lot::Mutex,,,91622000.0,ns,7272
user,heavy contention,parking_lot::Mutex,,,94431000.0,ns,7575
user,heavy contention,parking_lot::Mutex,,,67653000.0,ns,7878
user,heavy contention,parking_lot::Mutex,,,100870000.0,ns,8181
user,heavy contention,parking_lot::Mutex,,,105617000.0,ns,8484
user,heavy contention,parking_lot::Mutex,,,101217000.0,ns,8787
user,heavy contention,parking_lot::Mutex,,,110124000.0,ns,9090
user,heavy contention,parking_lot::Mutex,,,112791000.0,ns,9393
user,heavy contention,parking_lot::Mutex,,,114470000.0,ns,9696
user,heavy contention,parking_lot::Mutex,,,119131000.0,ns,9999
user,heavy contention,parking_lot::Mutex,,,122627000.0,ns,10302
user,heavy contention,parking_lot::Mutex,,,120982000.0,ns,10605
user,heavy contention,parking_lot::Mutex,,,125895000.0,ns,10908
user,heavy contention,parking_lot::Mutex,,,116342000.0,ns,11211
user,heavy contention,parking_lot::Mutex,,,112746000.0,ns,11514
user,heavy contention,parking_lot::Mutex,,,134442000.0,ns,11817
user,heavy contention,parking_lot::Mutex,,,136214000.0,ns,12120
user,heavy contention,parking_lot::Mutex,,,137973000.0,ns,12423
user,heavy contention,parking_lot::Mutex,,,110400000.0,ns,12726
user,heavy contention,parking_lot::Mutex,,,139326000.0,ns,13029
user,heavy contention,parking_lot::Mutex,,,148325000.0,ns,13332
user,heavy contention,parking_lot::Mutex,,,146734000.0,ns,13635
user,heavy contention,parking_lot::Mutex,,,150816000.0,ns,13938
user,heavy contention,parking_lot::Mutex,,,155335000.0,ns,14241
user,heavy contention,parking_lot::Mutex,,,157631000.0,ns,14544
user,heavy contention,parking_lot::Mutex,,,161017000.0,ns,14847
user,heavy contention,parking_lot::Mutex,,,163929000.0,ns,15150
user,heavy contention,parking_lot::Mutex,,,163171000.0,ns,15453
user,heavy contention,parking_lot::Mutex,,,167746000.0,ns,15756
user,heavy contention,parking_lot::Mutex,,,170446000.0,ns,16059
user,heavy contention,parking_lot::Mutex,,,173024000.0,ns,16362
user,heavy contention,parking_lot::Mutex,,,173897000.0,ns,16665
user,heavy contention,parking_lot::Mutex,,,171076000.0,ns,16968
user,heavy contention,parking_lot::Mutex,,,177707000.0,ns,17271
user,heavy contention,parking_lot::Mutex,,,179689000.0,ns,17574
user,heavy contention,parking_lot::Mutex,,,187494000.0,ns,17877
user,heavy contention,parking_lot::Mutex,,,189086000.0,ns,18180
user,heavy contention,parking_lot::Mutex,,,189931000.0,ns,18483
user,heavy contention,parking_lot::Mutex,,,176370000.0,ns,18786
user,heavy contention,parking_lot::Mutex,,,197130000.0,ns,19089
user,heavy contention,parking_lot::Mutex,,,185975000.0,ns,19392
user,heavy contention,parking_lot::Mutex,,,202276000.0,ns,19695
user,heavy contention,parking_lot::Mutex,,,202138000.0,ns,19998
user,heavy contention,parking_lot::Mutex,,,206438000.0,ns,20301
user,heavy contention,parking_lot::Mutex,,,208613000.0,ns,20604
user,heavy contention,parking_lot::Mutex,,,212464000.0,ns,20907
user,heavy contention,parking_lot::Mutex,,,214079000.0,ns,21210
user,heavy contention,parking_lot::Mutex,,,221473000.0,ns,21513
user,heavy contention,parking_lot::Mutex,,,221039000.0,ns,21816
user,heavy contention,parking_lot::Mutex,,,222730000.0,ns,22119
user,heavy contention,parking_lot::Mutex,,,223038000.0,ns,22422
user,heavy contention,parking_lot::Mutex,,,231834000.0,ns,22725
user,heavy contention,parking_lot::Mutex,,,230218000.0,ns,23028
user,heavy contention,parking_lot::Mutex,,,231452000.0,ns,23331
