group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,spin::Mutex,,,1166000.0,ns,74
user,heavy contention,spin::Mutex,,,3835000.0,ns,148
user,heavy contention,spin::Mutex,,,4772000.0,ns,222
user,heavy contention,spin::Mutex,,,5909000.0,ns,296
user,heavy contention,spin::Mutex,,,4183000.0,ns,370
user,heavy contention,spin::Mutex,,,8043000.0,ns,444
user,heavy contention,spin::Mutex,,,61265000.0,ns,518
user,heavy contention,spin::Mutex,,,11301000.0,ns,592
user,heavy contention,spin::Mutex,,,31329000.0,ns,666
user,heavy contention,spin::Mutex,,,13922000.0,ns,740
user,heavy contention,spin::Mutex,,,14902000.0,ns,814
user,heavy contention,spin::Mutex,,,16511000.0,ns,888
user,heavy contention,spin::Mutex,,,94777000.0,ns,962
user,heavy contention,spin::Mutex,,,20305000.0,ns,1036
user,heavy contention,spin::Mutex,,,12650000.0,ns,1110
user,heavy contention,spin::Mutex,,,35621000.0,ns,1184
user,heavy contention,spin::Mutex,,,34370000.0,ns,1258
user,heavy contention,spin::Mutex,,,24521000.0,ns,1332
user,heavy contention,spin::Mutex,,,87599000.0,ns,1406
user,heavy contention,spin::Mutex,,,27218000.0,ns,1480
user,heavy contention,spin::Mutex,,,28762000.0,ns,1554
user,heavy contention,spin::Mutex,,,29680000.0,ns,1628
user,heavy contention,spin::Mutex,,,31869000.0,ns,1702
user,heavy contention,spin::Mutex,,,39330000.0,ns,1776
user,heavy contention,spin::Mutex,,,72700000.0,ns,1850
user,heavy contention,spin::Mutex,,,30814000.0,ns,1924
user,heavy contention,spin::Mutex,,,67192000.0,ns,1998
user,heavy contention,spin::Mutex,,,36119000.0,ns,2072
user,heavy contention,spin::Mutex,,,65124000.0,ns,2146
user,heavy contention,spin::Mutex,,,58834000.0,ns,2220
user,heavy contention,spin::Mutex,,,38642000.0,ns,2294
user,heavy contention,spin::Mutex,,,37291000.0,ns,2368
user,heavy contention,spin::Mutex,,,19794000.0,ns,2442
user,heavy contention,spin::Mutex,,,33008000.0,ns,2516
