group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,heavy contention,std::sync::Mutex,,,4536000.0,ns,160
user,heavy contention,std::sync::Mutex,,,8545000.0,ns,320
user,heavy contention,std::sync::Mutex,,,12911000.0,ns,480
user,heavy contention,std::sync::Mutex,,,10642000.0,ns,640
user,heavy contention,std::sync::Mutex,,,16898000.0,ns,800
user,heavy contention,std::sync::Mutex,,,11788000.0,ns,960
user,heavy contention,std::sync::Mutex,,,25044000.0,ns,1120
user,heavy contention,std::sync::Mutex,,,27003000.0,ns,1280
user,heavy contention,std::sync::Mutex,,,30959000.0,ns,1440
user,heavy contention,std::sync::Mutex,,,33397000.0,ns,1600
user,heavy contention,std::sync::Mutex,,,35039000.0,ns,1760
user,heavy contention,std::sync::Mutex,,,38713000.0,ns,1920
user,heavy contention,std::sync::Mutex,,,39442000.0,ns,2080
user,heavy contention,std::sync::Mutex,,,41275000.0,ns,2240
user,heavy contention,std::sync::Mutex,,,42336000.0,ns,2400
user,heavy contention,std::sync::Mutex,,,43755000.0,ns,2560
user,heavy contention,std::sync::Mutex,,,46621000.0,ns,2720
user,heavy contention,std::sync::Mutex,,,44825000.0,ns,2880
user,heavy contention,std::sync::Mutex,,,52077000.0,ns,3040
user,heavy contention,std::sync::Mutex,,,54169000.0,ns,3200
user,heavy contention,std::sync::Mutex,,,56731000.0,ns,3360
user,heavy contention,std::sync::Mutex,,,55631000.0,ns,3520
user,heavy contention,std::sync::Mutex,,,48828000.0,ns,3680
user,heavy contention,std::sync::Mutex,,,59526000.0,ns,3840
user,heavy contention,std::sync::Mutex,,,68146000.0,ns,4000
user,heavy contention,std::sync::Mutex,,,66713000.0,ns,4160
user,heavy contention,std::sync::Mutex,,,65327000.0,ns,4320
user,heavy contention,std::sync::Mutex,,,74008000.0,ns,4480
user,heavy contention,std::sync::Mutex,,,73645000.0,ns,4640
user,heavy contention,std::sync::Mutex,,,69371000.0,ns,4800
user,heavy contention,std::sync::Mutex,,,79910000.0,ns,4960
user,heavy contention,std::sync::Mutex,,,78935000.0,ns,5120
user,heavy contention,std::sync::Mutex,,,83445000.0,ns,5280
user,heavy contention,std::sync::Mutex,,,84118000.0,ns,5440
user,heavy contention,std::sync::Mutex,,,84744000.0,ns,5600
user,heavy contention,std::sync::Mutex,,,85667000.0,ns,5760
user,heavy contention,std::sync::Mutex,,,80020000.0,ns,5920
user,heavy contention,std::sync::Mutex,,,86587000.0,ns,6080
user,heavy contention,std::sync::Mutex,,,91581000.0,ns,6240
user,heavy contention,std::sync::Mutex,,,94711000.0,ns,6400
user,heavy contention,std::sync::Mutex,,,95499000.0,ns,6560
user,heavy contention,std::sync::Mutex,,,97185000.0,ns,6720
user,heavy contention,std::sync::Mutex,,,98589000.0,ns,6880
user,heavy contention,std::sync::Mutex,,,100889000.0,ns,7040
user,heavy contention,std::sync::Mutex,,,101690000.0,ns,7200
user,heavy contention,std::sync::Mutex,,,85129000.0,ns,7360
user,heavy contention,std::sync::Mutex,,,91104000.0,ns,7520
user,heavy contention,std::sync::Mutex,,,109113000.0,ns,7680
user,heavy contention,std::sync::Mutex,,,110244000.0,ns,7840
user,heavy contention,std::sync::Mutex,,,113811000.0,ns,8000
user,heavy contention,std::sync::Mutex,,,114687000.0,ns,8160
user,heavy contention,std::sync::Mutex,,,102473000.0,ns,8320
user,heavy contention,std::sync::Mutex,,,119249000.0,ns,8480
user,heavy contention,std::sync::Mutex,,,106403000.0,ns,8640
user,heavy contention,std::sync::Mutex,,,120798000.0,ns,8800
user,heavy contention,std::sync::Mutex,,,124275000.0,ns,8960
user,heavy contention,std::sync::Mutex,,,125958000.0,ns,9120
user,heavy contention,std::sync::Mutex,,,127334000.0,ns,9280
user,heavy contention,std::sync::Mutex,,,130039000.0,ns,9440
user,heavy contention,std::sync::Mutex,,,130910000.0,ns,9600
user,heavy contention,std::sync::Mutex,,,128832000.0,ns,9760
user,heavy contention,std::sync::Mutex,,,132677000.0,ns,9920
user,heavy contention,std::sync::Mutex,,,137219000.0,ns,10080
user,heavy contention,std::sync::Mutex,,,132307000.0,ns,10240
user,heavy contention,std::sync::Mutex,,,139814000.0,ns,10400
user,heavy contention,std::sync::Mutex,,,141842000.0,ns,10560
user,heavy contention,std::sync::Mutex,,,137754000.0,ns,10720
user,heavy contention,std::sync::Mutex,,,135298000.0,ns,10880
user,heavy contention,std::sync::Mutex,,,135918000.0,ns,11040
user,heavy contention,std::sync::Mutex,,,150563000.0,ns,11200
user,heavy contention,std::sync::Mutex,,,149806000.0,ns,11360
user,heavy contention,std::sync::Mutex,,,155725000.0,ns,11520
user,heavy contention,std::sync::Mutex,,,155737000.0,ns,11680
user,heavy contention,std::sync::Mutex,,,153393000.0,ns,11840
user,heavy contention,std::sync::Mutex,,,157763000.0,ns,12000
user,heavy contention,std::sync::Mutex,,,147179000.0,ns,12160
user,heavy contention,std::sync::Mutex,,,156240000.0,ns,12320
user,heavy contention,std::sync::Mutex,,,161779000.0,ns,12480
user,heavy contention,std::sync::Mutex,,,164654000.0,ns,12640
user,heavy contention,std::sync::Mutex,,,156175000.0,ns,12800
user,heavy contention,std::sync::Mutex,,,161913000.0,ns,12960
user,heavy contention,std::sync::Mutex,,,159787000.0,ns,13120
user,heavy contention,std::sync::Mutex,,,166748000.0,ns,13280
user,heavy contention,std::sync::Mutex,,,180088000.0,ns,13440
user,heavy contention,std::sync::Mutex,,,177169000.0,ns,13600
user,heavy contention,std::sync::Mutex,,,175832000.0,ns,13760
user,heavy contention,std::sync::Mutex,,,179945000.0,ns,13920
user,heavy contention,std::sync::Mutex,,,187584000.0,ns,14080
user,heavy contention,std::sync::Mutex,,,175684000.0,ns,14240
user,heavy contention,std::sync::Mutex,,,181494000.0,ns,14400
user,heavy contention,std::sync::Mutex,,,182757000.0,ns,14560
user,heavy contention,std::sync::Mutex,,,189416000.0,ns,14720
user,heavy contention,std::sync::Mutex,,,197230000.0,ns,14880
user,heavy contention,std::sync::Mutex,,,191929000.0,ns,15040
user,heavy contention,std::sync::Mutex,,,195866000.0,ns,15200
user,heavy contention,std::sync::Mutex,,,197335000.0,ns,15360
user,heavy contention,std::sync::Mutex,,,196504000.0,ns,15520
user,heavy contention,std::sync::Mutex,,,202196000.0,ns,15680
user,heavy contention,std::sync::Mutex,,,204609000.0,ns,15840
user,heavy contention,std::sync::Mutex,,,194825000.0,ns,16000
