group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,AmdSpinlock,,,2435000.0,ns,87
user,light contention,AmdSpinlock,,,3352000.0,ns,174
user,light contention,AmdSpinlock,,,5015000.0,ns,261
user,light contention,AmdSpinlock,,,7209000.0,ns,348
user,light contention,AmdSpinlock,,,8103000.0,ns,435
user,light contention,AmdSpinlock,,,9894000.0,ns,522
user,light contention,AmdSpinlock,,,11766000.0,ns,609
user,light contention,AmdSpinlock,,,13120000.0,ns,696
user,light contention,AmdSpinlock,,,14543000.0,ns,783
user,light contention,AmdSpinlock,,,16347000.0,ns,870
user,light contention,AmdSpinlock,,,18822000.0,ns,957
user,light contention,AmdSpinlock,,,20107000.0,ns,1044
user,light contention,AmdSpinlock,,,21302000.0,ns,1131
user,light contention,AmdSpinlock,,,22963000.0,ns,1218
user,light contention,AmdSpinlock,,,22776000.0,ns,1305
user,light contention,AmdSpinlock,,,16055000.0,ns,1392
user,light contention,AmdSpinlock,,,26927000.0,ns,1479
user,light contention,AmdSpinlock,,,19863000.0,ns,1566
user,light contention,AmdSpinlock,,,30874000.0,ns,1653
user,light contention,AmdSpinlock,,,31712000.0,ns,1740
user,light contention,AmdSpinlock,,,29090000.0,ns,1827
user,light contention,AmdSpinlock,,,32905000.0,ns,1914
user,light contention,AmdSpinlock,,,33302000.0,ns,2001
user,light contention,AmdSpinlock,,,34780000.0,ns,2088
user,light contention,AmdSpinlock,,,36576000.0,ns,2175
user,light contention,AmdSpinlock,,,32545000.0,ns,2262
user,light contention,AmdSpinlock,,,18982000.0,ns,2349
user,light contention,AmdSpinlock,,,34998000.0,ns,2436
user,light contention,AmdSpinlock,,,38722000.0,ns,2523
user,light contention,AmdSpinlock,,,39121000.0,ns,2610
user,light contention,AmdSpinlock,,,46394000.0,ns,2697
user,light contention,AmdSpinlock,,,42296000.0,ns,2784
user,light contention,AmdSpinlock,,,39480000.0,ns,2871
user,light contention,AmdSpinlock,,,44559000.0,ns,2958
user,light contention,AmdSpinlock,,,42125000.0,ns,3045
user,light contention,AmdSpinlock,,,44623000.0,ns,3132
user,light contention,AmdSpinlock,,,45353000.0,ns,3219
user,light contention,AmdSpinlock,,,31609000.0,ns,3306
user,light contention,AmdSpinlock,,,77909000.0,ns,3393
user,light contention,AmdSpinlock,,,33469000.0,ns,3480
