group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,parking_lot::Mutex,,,6030000.0,ns,308
user,light contention,parking_lot::Mutex,,,8490000.0,ns,616
user,light contention,parking_lot::Mutex,,,16251000.0,ns,924
user,light contention,parking_lot::Mutex,,,23430000.0,ns,1232
user,light contention,parking_lot::Mutex,,,27182000.0,ns,1540
user,light contention,parking_lot::Mutex,,,29277000.0,ns,1848
user,light contention,parking_lot::Mutex,,,34442000.0,ns,2156
user,light contention,parking_lot::Mutex,,,39719000.0,ns,2464
user,light contention,parking_lot::Mutex,,,27935000.0,ns,2772
user,light contention,parking_lot::Mutex,,,34512000.0,ns,3080
user,light contention,parking_lot::Mutex,,,42148000.0,ns,3388
user,light contention,parking_lot::Mutex,,,53452000.0,ns,3696
user,light contention,parking_lot::Mutex,,,55498000.0,ns,4004
user,light contention,parking_lot::Mutex,,,60575000.0,ns,4312
user,light contention,parking_lot::Mutex,,,60587000.0,ns,4620
user,light contention,parking_lot::Mutex,,,66867000.0,ns,4928
user,light contention,parking_lot::Mutex,,,57420000.0,ns,5236
user,light contention,parking_lot::Mutex,,,53324000.0,ns,5544
user,light contention,parking_lot::Mutex,,,74622000.0,ns,5852
user,light contention,parking_lot::Mutex,,,78643000.0,ns,6160
user,light contention,parking_lot::Mutex,,,72717000.0,ns,6468
user,light contention,parking_lot::Mutex,,,82907000.0,ns,6776
user,light contention,parking_lot::Mutex,,,88637000.0,ns,7084
user,light contention,parking_lot::Mutex,,,73915000.0,ns,7392
user,light contention,parking_lot::Mutex,,,89108000.0,ns,7700
user,light contention,parking_lot::Mutex,,,95669000.0,ns,8008
user,light contention,parking_lot::Mutex,,,82001000.0,ns,8316
user,light contention,parking_lot::Mutex,,,93582000.0,ns,8624
user,light contention,parking_lot::Mutex,,,102336000.0,ns,8932
user,light contention,parking_lot::Mutex,,,106799000.0,ns,9240
user,light contention,parking_lot::Mutex,,,100988000.0,ns,9548
user,light contention,parking_lot::Mutex,,,100411000.0,ns,9856
user,light contention,parking_lot::Mutex,,,112880000.0,ns,10164
user,light contention,parking_lot::Mutex,,,86933000.0,ns,10472
user,light contention,parking_lot::Mutex,,,118219000.0,ns,10780
user,light contention,parking_lot::Mutex,,,122115000.0,ns,11088
user,light contention,parking_lot::Mutex,,,125712000.0,ns,11396
user,light contention,parking_lot::Mutex,,,130627000.0,ns,11704
user,light contention,parking_lot::Mutex,,,125226000.0,ns,12012
user,light contention,parking_lot::Mutex,,,129497000.0,ns,12320
user,light contention,parking_lot::Mutex,,,127091000.0,ns,12628
user,light contention,parking_lot::Mutex,,,110142000.0,ns,12936
user,light contention,parking_lot::Mutex,,,138743000.0,ns,13244
user,light contention,parking_lot::Mutex,,,144939000.0,ns,13552
user,light contention,parking_lot::Mutex,,,121525000.0,ns,13860
user,light contention,parking_lot::Mutex,,,149637000.0,ns,14168
user,light contention,parking_lot::Mutex,,,147298000.0,ns,14476
user,light contention,parking_lot::Mutex,,,136190000.0,ns,14784
user,light contention,parking_lot::Mutex,,,134188000.0,ns,15092
user,light contention,parking_lot::Mutex,,,144169000.0,ns,15400
user,light contention,parking_lot::Mutex,,,153828000.0,ns,15708
user,light contention,parking_lot::Mutex,,,167086000.0,ns,16016
user,light contention,parking_lot::Mutex,,,144579000.0,ns,16324
user,light contention,parking_lot::Mutex,,,169411000.0,ns,16632
user,light contention,parking_lot::Mutex,,,167683000.0,ns,16940
user,light contention,parking_lot::Mutex,,,157964000.0,ns,17248
user,light contention,parking_lot::Mutex,,,169452000.0,ns,17556
user,light contention,parking_lot::Mutex,,,180978000.0,ns,17864
user,light contention,parking_lot::Mutex,,,158006000.0,ns,18172
user,light contention,parking_lot::Mutex,,,183256000.0,ns,18480
user,light contention,parking_lot::Mutex,,,163950000.0,ns,18788
user,light contention,parking_lot::Mutex,,,166361000.0,ns,19096
user,light contention,parking_lot::Mutex,,,192014000.0,ns,19404
user,light contention,parking_lot::Mutex,,,184589000.0,ns,19712
user,light contention,parking_lot::Mutex,,,192665000.0,ns,20020
user,light contention,parking_lot::Mutex,,,195362000.0,ns,20328
user,light contention,parking_lot::Mutex,,,199316000.0,ns,20636
user,light contention,parking_lot::Mutex,,,206592000.0,ns,20944
user,light contention,parking_lot::Mutex,,,202264000.0,ns,21252
user,light contention,parking_lot::Mutex,,,204209000.0,ns,21560
user,light contention,parking_lot::Mutex,,,211491000.0,ns,21868
user,light contention,parking_lot::Mutex,,,210498000.0,ns,22176
user,light contention,parking_lot::Mutex,,,211303000.0,ns,22484
user,light contention,parking_lot::Mutex,,,222104000.0,ns,22792
user,light contention,parking_lot::Mutex,,,195511000.0,ns,23100
user,light contention,parking_lot::Mutex,,,212890000.0,ns,23408
user,light contention,parking_lot::Mutex,,,230183000.0,ns,23716
