group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,spin::Mutex,,,1653000.0,ns,80
user,light contention,spin::Mutex,,,3345000.0,ns,160
user,light contention,spin::Mutex,,,4722000.0,ns,240
user,light contention,spin::Mutex,,,6071000.0,ns,320
user,light contention,spin::Mutex,,,4422000.0,ns,400
user,light contention,spin::Mutex,,,7682000.0,ns,480
user,light contention,spin::Mutex,,,10066000.0,ns,560
user,light contention,spin::Mutex,,,12795000.0,ns,640
user,light contention,spin::Mutex,,,6286000.0,ns,720
user,light contention,spin::Mutex,,,14932000.0,ns,800
user,light contention,spin::Mutex,,,16960000.0,ns,880
user,light contention,spin::Mutex,,,17949000.0,ns,960
user,light contention,spin::Mutex,,,18603000.0,ns,1040
user,light contention,spin::Mutex,,,20387000.0,ns,1120
user,light contention,spin::Mutex,,,38979000.0,ns,1200
user,light contention,spin::Mutex,,,20544000.0,ns,1280
user,light contention,spin::Mutex,,,29098000.0,ns,1360
user,light contention,spin::Mutex,,,24007000.0,ns,1440
user,light contention,spin::Mutex,,,27187000.0,ns,1520
user,light contention,spin::Mutex,,,29006000.0,ns,1600
user,light contention,spin::Mutex,,,23181000.0,ns,1680
user,light contention,spin::Mutex,,,18035000.0,ns,1760
user,light contention,spin::Mutex,,,20054000.0,ns,1840
user,light contention,spin::Mutex,,,21475000.0,ns,1920
user,light contention,spin::Mutex,,,29167000.0,ns,2000
user,light contention,spin::Mutex,,,23125000.0,ns,2080
user,light contention,spin::Mutex,,,25936000.0,ns,2160
user,light contention,spin::Mutex,,,77904000.0,ns,2240
user,light contention,spin::Mutex,,,37031000.0,ns,2320
user,light contention,spin::Mutex,,,45286000.0,ns,2400
user,light contention,spin::Mutex,,,27614000.0,ns,2480
user,light contention,spin::Mutex,,,34178000.0,ns,2560
user,light contention,spin::Mutex,,,39668000.0,ns,2640
user,light contention,spin::Mutex,,,34439000.0,ns,2720
user,light contention,spin::Mutex,,,43008000.0,ns,2800
user,light contention,spin::Mutex,,,40495000.0,ns,2880
user,light contention,spin::Mutex,,,42326000.0,ns,2960
user,light contention,spin::Mutex,,,24169000.0,ns,3040
user,light contention,spin::Mutex,,,34732000.0,ns,3120
user,light contention,spin::Mutex,,,46227000.0,ns,3200
user,light contention,spin::Mutex,,,33761000.0,ns,3280
user,light contention,spin::Mutex,,,48854000.0,ns,3360
user,light contention,spin::Mutex,,,34965000.0,ns,3440
user,light contention,spin::Mutex,,,58118000.0,ns,3520
user,light contention,spin::Mutex,,,55710000.0,ns,3600
user,light contention,spin::Mutex,,,49415000.0,ns,3680
user,light contention,spin::Mutex,,,36728000.0,ns,3760
user,light contention,spin::Mutex,,,53377000.0,ns,3840
user,light contention,spin::Mutex,,,76468000.0,ns,3920
user,light contention,spin::Mutex,,,49190000.0,ns,4000
user,light contention,spin::Mutex,,,46425000.0,ns,4080
user,light contention,spin::Mutex,,,56785000.0,ns,4160
user,light contention,spin::Mutex,,,55586000.0,ns,4240
user,light contention,spin::Mutex,,,59355000.0,ns,4320
