group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,light contention,std::sync::Mutex,,,6900000.0,ns,281
user,light contention,std::sync::Mutex,,,13710000.0,ns,562
user,light contention,std::sync::Mutex,,,19834000.0,ns,843
user,light contention,std::sync::Mutex,,,16660000.0,ns,1124
user,light contention,std::sync::Mutex,,,31411000.0,ns,1405
user,light contention,std::sync::Mutex,,,33157000.0,ns,1686
user,light contention,std::sync::Mutex,,,38816000.0,ns,1967
user,light contention,std::sync::Mutex,,,43485000.0,ns,2248
user,light contention,std::sync::Mutex,,,40350000.0,ns,2529
user,light contention,std::sync::Mutex,,,38956000.0,ns,2810
user,light contention,std::sync::Mutex,,,51547000.0,ns,3091
user,light contention,std::sync::Mutex,,,60817000.0,ns,3372
user,light contention,std::sync::Mutex,,,45682000.0,ns,3653
user,light contention,std::sync::Mutex,,,63613000.0,ns,3934
user,light contention,std::sync::Mutex,,,69733000.0,ns,4215
user,light contention,std::sync::Mutex,,,71535000.0,ns,4496
user,light contention,std::sync::Mutex,,,76423000.0,ns,4777
user,light contention,std::sync::Mutex,,,80335000.0,ns,5058
user,light contention,std::sync::Mutex,,,82419000.0,ns,5339
user,light contention,std::sync::Mutex,,,85389000.0,ns,5620
user,light contention,std::sync::Mutex,,,84168000.0,ns,5901
user,light contention,std::sync::Mutex,,,88643000.0,ns,6182
user,light contention,std::sync::Mutex,,,92657000.0,ns,6463
user,light contention,std::sync::Mutex,,,90922000.0,ns,6744
user,light contention,std::sync::Mutex,,,103048000.0,ns,7025
user,light contention,std::sync::Mutex,,,85192000.0,ns,7306
user,light contention,std::sync::Mutex,,,108711000.0,ns,7587
user,light contention,std::sync::Mutex,,,114181000.0,ns,7868
user,light contention,std::sync::Mutex,,,118204000.0,ns,8149
user,light contention,std::sync::Mutex,,,108028000.0,ns,8430
user,light contention,std::sync::Mutex,,,123106000.0,ns,8711
user,light contention,std::sync::Mutex,,,122412000.0,ns,8992
user,light contention,std::sync::Mutex,,,124251000.0,ns,9273
user,light contention,std::sync::Mutex,,,130634000.0,ns,9554
user,light contention,std::sync::Mutex,,,131974000.0,ns,9835
user,light contention,std::sync::Mutex,,,132877000.0,ns,10116
user,light contention,std::sync::Mutex,,,138028000.0,ns,10397
user,light contention,std::sync::Mutex,,,128740000.0,ns,10678
user,light contention,std::sync::Mutex,,,145279000.0,ns,10959
user,light contention,std::sync::Mutex,,,145692000.0,ns,11240
user,light contention,std::sync::Mutex,,,154087000.0,ns,11521
user,light contention,std::sync::Mutex,,,151482000.0,ns,11802
user,light contention,std::sync::Mutex,,,153621000.0,ns,12083
user,light contention,std::sync::Mutex,,,155929000.0,ns,12364
user,light contention,std::sync::Mutex,,,133112000.0,ns,12645
user,light contention,std::sync::Mutex,,,165551000.0,ns,12926
user,light contention,std::sync::Mutex,,,146513000.0,ns,13207
user,light contention,std::sync::Mutex,,,176442000.0,ns,13488
user,light contention,std::sync::Mutex,,,177957000.0,ns,13769
user,light contention,std::sync::Mutex,,,157125000.0,ns,14050
user,light contention,std::sync::Mutex,,,180767000.0,ns,14331
user,light contention,std::sync::Mutex,,,181240000.0,ns,14612
user,light contention,std::sync::Mutex,,,191637000.0,ns,14893
user,light contention,std::sync::Mutex,,,179521000.0,ns,15174
user,light contention,std::sync::Mutex,,,188274000.0,ns,15455
user,light contention,std::sync::Mutex,,,190592000.0,ns,15736
user,light contention,std::sync::Mutex,,,197154000.0,ns,16017
user,light contention,std::sync::Mutex,,,188096000.0,ns,16298
user,light contention,std::sync::Mutex,,,205331000.0,ns,16579
user,light contention,std::sync::Mutex,,,206529000.0,ns,16860
user,light contention,std::sync::Mutex,,,217463000.0,ns,17141
user,light contention,std::sync::Mutex,,,208700000.0,ns,17422
user,light contention,std::sync::Mutex,,,214323000.0,ns,17703
user,light contention,std::sync::Mutex,,,219977000.0,ns,17984
user,light contention,std::sync::Mutex,,,221424000.0,ns,18265
user,light contention,std::sync::Mutex,,,231597000.0,ns,18546
user,light contention,std::sync::Mutex,,,227328000.0,ns,18827
user,light contention,std::sync::Mutex,,,236143000.0,ns,19108
user,light contention,std::sync::Mutex,,,219600000.0,ns,19389
user,light contention,std::sync::Mutex,,,231729000.0,ns,19670
user,light contention,std::sync::Mutex,,,223860000.0,ns,19951
user,light contention,std::sync::Mutex,,,241615000.0,ns,20232
user,light contention,std::sync::Mutex,,,245870000.0,ns,20513
user,light contention,std::sync::Mutex,,,247422000.0,ns,20794
user,light contention,std::sync::Mutex,,,233989000.0,ns,21075
user,light contention,std::sync::Mutex,,,263333000.0,ns,21356
user,light contention,std::sync::Mutex,,,268049000.0,ns,21637
user,light contention,std::sync::Mutex,,,266302000.0,ns,21918
user,light contention,std::sync::Mutex,,,272350000.0,ns,22199
user,light contention,std::sync::Mutex,,,274060000.0,ns,22480
user,light contention,std::sync::Mutex,,,270164000.0,ns,22761
user,light contention,std::sync::Mutex,,,263167000.0,ns,23042
user,light contention,std::sync::Mutex,,,285477000.0,ns,23323
user,light contention,std::sync::Mutex,,,273055000.0,ns,23604
user,light contention,std::sync::Mutex,,,280236000.0,ns,23885
user,light contention,std::sync::Mutex,,,283875000.0,ns,24166
user,light contention,std::sync::Mutex,,,284138000.0,ns,24447
user,light contention,std::sync::Mutex,,,301768000.0,ns,24728
user,light contention,std::sync::Mutex,,,282936000.0,ns,25009
user,light contention,std::sync::Mutex,,,290931000.0,ns,25290
user,light contention,std::sync::Mutex,,,299177000.0,ns,25571
user,light contention,std::sync::Mutex,,,300001000.0,ns,25852
user,light contention,std::sync::Mutex,,,302885000.0,ns,26133
user,light contention,std::sync::Mutex,,,306627000.0,ns,26414
user,light contention,std::sync::Mutex,,,321178000.0,ns,26695
user,light contention,std::sync::Mutex,,,313538000.0,ns,26976
user,light contention,std::sync::Mutex,,,313200000.0,ns,27257
user,light contention,std::sync::Mutex,,,328680000.0,ns,27538
user,light contention,std::sync::Mutex,,,320684000.0,ns,27819
user,light contention,std::sync::Mutex,,,324602000.0,ns,28100
