group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,no contention,AmdSpinlock,,,436000.0,ns,1
user,no contention,AmdSpinlock,,,645000.0,ns,2
user,no contention,AmdSpinlock,,,523000.0,ns,3
user,no contention,AmdSpinlock,,,241000.0,ns,4
user,no contention,AmdSpinlock,,,302000.0,ns,5
user,no contention,AmdSpinlock,,,351000.0,ns,6
user,no contention,AmdSpinlock,,,361000.0,ns,7
user,no contention,AmdSpinlock,,,774000.0,ns,8
user,no contention,AmdSpinlock,,,455000.0,ns,9
user,no contention,AmdSpinlock,,,402000.0,ns,10
user,no contention,AmdSpinlock,,,395000.0,ns,11
user,no contention,AmdSpinlock,,,418000.0,ns,12
user,no contention,AmdSpinlock,,,1100000.0,ns,13
user,no contention,AmdSpinlock,,,840000.0,ns,14
user,no contention,AmdSpinlock,,,784000.0,ns,15
user,no contention,AmdSpinlock,,,882000.0,ns,16
user,no contention,AmdSpinlock,,,665000.0,ns,17
user,no contention,AmdSpinlock,,,511000.0,ns,18
user,no contention,AmdSpinlock,,,713000.0,ns,19
user,no contention,AmdSpinlock,,,776000.0,ns,20
user,no contention,AmdSpinlock,,,641000.0,ns,21
user,no contention,AmdSpinlock,,,977000.0,ns,22
user,no contention,AmdSpinlock,,,791000.0,ns,23
user,no contention,AmdSpinlock,,,669000.0,ns,24
user,no contention,AmdSpinlock,,,885000.0,ns,25
user,no contention,AmdSpinlock,,,831000.0,ns,26
user,no contention,AmdSpinlock,,,1124000.0,ns,27
user,no contention,AmdSpinlock,,,944000.0,ns,28
user,no contention,AmdSpinlock,,,699000.0,ns,29
user,no contention,AmdSpinlock,,,1143000.0,ns,30
user,no contention,AmdSpinlock,,,1058000.0,ns,31
user,no contention,AmdSpinlock,,,887000.0,ns,32
user,no contention,AmdSpinlock,,,1266000.0,ns,33
user,no contention,AmdSpinlock,,,1461000.0,ns,34
user,no contention,AmdSpinlock,,,1344000.0,ns,35
user,no contention,AmdSpinlock,,,1345000.0,ns,36
user,no contention,AmdSpinlock,,,569000.0,ns,37
user,no contention,AmdSpinlock,,,1379000.0,ns,38
user,no contention,AmdSpinlock,,,1321000.0,ns,39
