group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
user,no contention,parking_lot::Mutex,,,248000.0,ns,1
user,no contention,parking_lot::Mutex,,,918000.0,ns,2
user,no contention,parking_lot::Mutex,,,587000.0,ns,3
user,no contention,parking_lot::Mutex,,,368000.0,ns,4
user,no contention,parking_lot::Mutex,,,350000.0,ns,5
user,no contention,parking_lot::Mutex,,,292000.0,ns,6
user,no contention,parking_lot::Mutex,,,414000.0,ns,7
user,no contention,parking_lot::Mutex,,,507000.0,ns,8
user,no contention,parking_lot::Mutex,,,579000.0,ns,9
user,no contention,parking_lot::Mutex,,,575000.0,ns,10
user,no contention,parking_lot::Mutex,,,724000.0,ns,11
user,no contention,parking_lot::Mutex,,,468000.0,ns,12
user,no contention,parking_lot::Mutex,,,490000.0,ns,13
user,no contention,parking_lot::Mutex,,,739000.0,ns,14
user,no contention,parking_lot::Mutex,,,628000.0,ns,15
user,no contention,parking_lot::Mutex,,,508000.0,ns,16
user,no contention,parking_lot::Mutex,,,828000.0,ns,17
user,no contention,parking_lot::Mutex,,,512000.0,ns,18
user,no contention,parking_lot::Mutex,,,640000.0,ns,19
user,no contention,parking_lot::Mutex,,,607000.0,ns,20
user,no contention,parking_lot::Mutex,,,1344000.0,ns,21
user,no contention,parking_lot::Mutex,,,1346000.0,ns,22
user,no contention,parking_lot::Mutex,,,924000.0,ns,23
user,no contention,parking_lot::Mutex,,,979000.0,ns,24
user,no contention,parking_lot::Mutex,,,1139000.0,ns,25
user,no contention,parking_lot::Mutex,,,384000.0,ns,26
user,no contention,parking_lot::Mutex,,,898000.0,ns,27
user,no contention,parking_lot::Mutex,,,1319000.0,ns,28
user,no contention,parking_lot::Mutex,,,818000.0,ns,29
user,no contention,parking_lot::Mutex,,,704000.0,ns,30
user,no contention,parking_lot::Mutex,,,997000.0,ns,31
user,no contention,parking_lot::Mutex,,,913000.0,ns,32
user,no contention,parking_lot::Mutex,,,1431000.0,ns,33
user,no contention,parking_lot::Mutex,,,1361000.0,ns,34
user,no contention,parking_lot::Mutex,,,1351000.0,ns,35
user,no contention,parking_lot::Mutex,,,1730000.0,ns,36
user,no contention,parking_lot::Mutex,,,1439000.0,ns,37
user,no contention,parking_lot::Mutex,,,1105000.0,ns,38
user,no contention,parking_lot::Mutex,,,1303000.0,ns,39
user,no contention,parking_lot::Mutex,,,1535000.0,ns,40
user,no contention,parking_lot::Mutex,,,1584000.0,ns,41
user,no contention,parking_lot::Mutex,,,1451000.0,ns,42
user,no contention,parking_lot::Mutex,,,1462000.0,ns,43
user,no contention,parking_lot::Mutex,,,1226000.0,ns,44
user,no contention,parking_lot::Mutex,,,1301000.0,ns,45
user,no contention,parking_lot::Mutex,,,777000.0,ns,46
user,no contention,parking_lot::Mutex,,,1948000.0,ns,47
user,no contention,parking_lot::Mutex,,,1122000.0,ns,48
user,no contention,parking_lot::Mutex,,,1600000.0,ns,49
user,no contention,parking_lot::Mutex,,,1683000.0,ns,50
user,no contention,parking_lot::Mutex,,,844000.0,ns,51
user,no contention,parking_lot::Mutex,,,1543000.0,ns,52
user,no contention,parking_lot::Mutex,,,1881000.0,ns,53
user,no contention,parking_lot::Mutex,,,1704000.0,ns,54
user,no contention,parking_lot::Mutex,,,1496000.0,ns,55
user,no contention,parking_lot::Mutex,,,1563000.0,ns,56
user,no contention,parking_lot::Mutex,,,1535000.0,ns,57
user,no contention,parking_lot::Mutex,,,1588000.0,ns,58
user,no contention,parking_lot::Mutex,,,1871000.0,ns,59
user,no contention,parking_lot::Mutex,,,1537000.0,ns,60
user,no contention,parking_lot::Mutex,,,1246000.0,ns,61
user,no contention,parking_lot::Mutex,,,1916000.0,ns,62
user,no contention,parking_lot::Mutex,,,1899000.0,ns,63
user,no contention,parking_lot::Mutex,,,1819000.0,ns,64
user,no contention,parking_lot::Mutex,,,1801000.0,ns,65
user,no contention,parking_lot::Mutex,,,1793000.0,ns,66
user,no contention,parking_lot::Mutex,,,1324000.0,ns,67
user,no contention,parking_lot::Mutex,,,2123000.0,ns,68
user,no contention,parking_lot::Mutex,,,1739000.0,ns,69
user,no contention,parking_lot::Mutex,,,1863000.0,ns,70
user,no contention,parking_lot::Mutex,,,2210000.0,ns,71
user,no contention,parking_lot::Mutex,,,2271000.0,ns,72
user,no contention,parking_lot::Mutex,,,1986000.0,ns,73
user,no contention,parking_lot::Mutex,,,2192000.0,ns,74
user,no contention,parking_lot::Mutex,,,2469000.0,ns,75
user,no contention,parking_lot::Mutex,,,2059000.0,ns,76
user,no contention,parking_lot::Mutex,,,2099000.0,ns,77
user,no contention,parking_lot::Mutex,,,2142000.0,ns,78
user,no contention,parking_lot::Mutex,,,2015000.0,ns,79
user,no contention,parking_lot::Mutex,,,1466000.0,ns,80
user,no contention,parking_lot::Mutex,,,2338000.0,ns,81
user,no contention,parking_lot::Mutex,,,2622000.0,ns,82
user,no contention,parking_lot::Mutex,,,2138000.0,ns,83
user,no contention,parking_lot::Mutex,,,2412000.0,ns,84
user,no contention,parking_lot::Mutex,,,2252000.0,ns,85
user,no contention,parking_lot::Mutex,,,1372000.0,ns,86
user,no contention,parking_lot::Mutex,,,2485000.0,ns,87
user,no contention,parking_lot::Mutex,,,2316000.0,ns,88
user,no contention,parking_lot::Mutex,,,2751000.0,ns,89
user,no contention,parking_lot::Mutex,,,2209000.0,ns,90
user,no contention,parking_lot::Mutex,,,2406000.0,ns,91
user,no contention,parking_lot::Mutex,,,1918000.0,ns,92
user,no contention,parking_lot::Mutex,,,2762000.0,ns,93
user,no contention,parking_lot::Mutex,,,2485000.0,ns,94
user,no contention,parking_lot::Mutex,,,1717000.0,ns,95
user,no contention,parking_lot::Mutex,,,2561000.0,ns,96
user,no contention,parking_lot::Mutex,,,2892000.0,ns,97
user,no contention,parking_lot::Mutex,,,2430000.0,ns,98
user,no contention,parking_lot::Mutex,,,2649000.0,ns,99
user,no contention,parking_lot::Mutex,,,2886000.0,ns,100
