group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,AmdSpinlock,,,1.0,ns,31
cpu,extreme contention,AmdSpinlock,,,1.0,ns,62
cpu,extreme contention,AmdSpinlock,,,1.0,ns,93
cpu,extreme contention,AmdSpinlock,,,1.0,ns,124
cpu,extreme contention,AmdSpinlock,,,1.0,ns,155
cpu,extreme contention,AmdSpinlock,,,1.0,ns,186
cpu,extreme contention,AmdSpinlock,,,171875000.0,ns,217
cpu,extreme contention,AmdSpinlock,,,1.0,ns,248
cpu,extreme contention,AmdSpinlock,,,1.0,ns,279
cpu,extreme contention,AmdSpinlock,,,1.0,ns,310
cpu,extreme contention,AmdSpinlock,,,1.0,ns,341
cpu,extreme contention,AmdSpinlock,,,1.0,ns,372
cpu,extreme contention,AmdSpinlock,,,1.0,ns,403
cpu,extreme contention,AmdSpinlock,,,203125000.0,ns,434
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,465
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,496
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,527
cpu,extreme contention,AmdSpinlock,,,1.0,ns,558
cpu,extreme contention,AmdSpinlock,,,1.0,ns,589
cpu,extreme contention,AmdSpinlock,,,1.0,ns,620
cpu,extreme contention,AmdSpinlock,,,1.0,ns,651
cpu,extreme contention,AmdSpinlock,,,1.0,ns,682
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,713
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,744
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,775
cpu,extreme contention,AmdSpinlock,,,1.0,ns,806
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,837
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,868
cpu,extreme contention,AmdSpinlock,,,1.0,ns,899
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,930
cpu,extreme contention,AmdSpinlock,,,218750000.0,ns,961
cpu,extreme contention,AmdSpinlock,,,1.0,ns,992
cpu,extreme contention,AmdSpinlock,,,218750000.0,ns,1023
cpu,extreme contention,AmdSpinlock,,,1.0,ns,1054
cpu,extreme contention,AmdSpinlock,,,234375000.0,ns,1085
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1116
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1147
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1178
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1209
cpu,extreme contention,AmdSpinlock,,,234375000.0,ns,1240
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1271
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1302
cpu,extreme contention,AmdSpinlock,,,296875000.0,ns,1333
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1364
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1395
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1426
cpu,extreme contention,AmdSpinlock,,,359375000.0,ns,1457
cpu,extreme contention,AmdSpinlock,,,218750000.0,ns,1488
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1519
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1550
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1581
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1612
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,1643
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,1674
cpu,extreme contention,AmdSpinlock,,,437500000.0,ns,1705
cpu,extreme contention,AmdSpinlock,,,468750000.0,ns,1736
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,1767
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,1798
cpu,extreme contention,AmdSpinlock,,,453125000.0,ns,1829
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1860
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1891
cpu,extreme contention,AmdSpinlock,,,250000000.0,ns,1922
cpu,extreme contention,AmdSpinlock,,,234375000.0,ns,1953
cpu,extreme contention,AmdSpinlock,,,437500000.0,ns,1984
cpu,extreme contention,AmdSpinlock,,,484375000.0,ns,2015
cpu,extreme contention,AmdSpinlock,,,468750000.0,ns,2046
cpu,extreme contention,AmdSpinlock,,,234375000.0,ns,2077
cpu,extreme contention,AmdSpinlock,,,484375000.0,ns,2108
cpu,extreme contention,AmdSpinlock,,,421875000.0,ns,2139
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2170
cpu,extreme contention,AmdSpinlock,,,484375000.0,ns,2201
cpu,extreme contention,AmdSpinlock,,,468750000.0,ns,2232
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2263
cpu,extreme contention,AmdSpinlock,,,281250000.0,ns,2294
cpu,extreme contention,AmdSpinlock,,,406250000.0,ns,2325
cpu,extreme contention,AmdSpinlock,,,265625000.0,ns,2356
cpu,extreme contention,AmdSpinlock,,,421875000.0,ns,2387
cpu,extreme contention,AmdSpinlock,,,453125000.0,ns,2418
cpu,extreme contention,AmdSpinlock,,,453125000.0,ns,2449
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2480
cpu,extreme contention,AmdSpinlock,,,453125000.0,ns,2511
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2542
cpu,extreme contention,AmdSpinlock,,,453125000.0,ns,2573
cpu,extreme contention,AmdSpinlock,,,671875000.0,ns,2604
cpu,extreme contention,AmdSpinlock,,,453125000.0,ns,2635
cpu,extreme contention,AmdSpinlock,,,484375000.0,ns,2666
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2697
cpu,extreme contention,AmdSpinlock,,,703125000.0,ns,2728
cpu,extreme contention,AmdSpinlock,,,437500000.0,ns,2759
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2790
cpu,extreme contention,AmdSpinlock,,,437500000.0,ns,2821
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2852
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2883
cpu,extreme contention,AmdSpinlock,,,484375000.0,ns,2914
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,2945
cpu,extreme contention,AmdSpinlock,,,468750000.0,ns,2976
cpu,extreme contention,AmdSpinlock,,,484375000.0,ns,3007
cpu,extreme contention,AmdSpinlock,,,234375000.0,ns,3038
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,3069
cpu,extreme contention,AmdSpinlock,,,500000000.0,ns,3100
