group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cpu,extreme contention,spin::Mutex,,,1.0,ns,22
cpu,extreme contention,spin::Mutex,,,1.0,ns,44
cpu,extreme contention,spin::Mutex,,,1.0,ns,66
cpu,extreme contention,spin::Mutex,,,1.0,ns,88
cpu,extreme contention,spin::Mutex,,,1.0,ns,110
cpu,extreme contention,spin::Mutex,,,1.0,ns,132
cpu,extreme contention,spin::Mutex,,,1.0,ns,154
cpu,extreme contention,spin::Mutex,,,1.0,ns,176
cpu,extreme contention,spin::Mutex,,,218750000.0,ns,198
cpu,extreme contention,spin::Mutex,,,1.0,ns,220
cpu,extreme contention,spin::Mutex,,,1.0,ns,242
cpu,extreme contention,spin::Mutex,,,1.0,ns,264
cpu,extreme contention,spin::Mutex,,,1.0,ns,286
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,308
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,330
cpu,extreme contention,spin::Mutex,,,171875000.0,ns,352
cpu,extreme contention,spin::Mutex,,,1.0,ns,374
cpu,extreme contention,spin::Mutex,,,1.0,ns,396
cpu,extreme contention,spin::Mutex,,,1.0,ns,418
cpu,extreme contention,spin::Mutex,,,1.0,ns,440
cpu,extreme contention,spin::Mutex,,,1.0,ns,462
cpu,extreme contention,spin::Mutex,,,1.0,ns,484
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,506
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,528
cpu,extreme contention,spin::Mutex,,,203125000.0,ns,550
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,572
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,594
cpu,extreme contention,spin::Mutex,,,1.0,ns,616
cpu,extreme contention,spin::Mutex,,,1.0,ns,638
cpu,extreme contention,spin::Mutex,,,1.0,ns,660
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,682
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,704
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,726
cpu,extreme contention,spin::Mutex,,,1.0,ns,748
cpu,extreme contention,spin::Mutex,,,187500000.0,ns,770
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,792
cpu,extreme contention,spin::Mutex,,,187500000.0,ns,814
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,836
cpu,extreme contention,spin::Mutex,,,1.0,ns,858
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,880
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,902
cpu,extreme contention,spin::Mutex,,,78125000.0,ns,924
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,946
cpu,extreme contention,spin::Mutex,,,1.0,ns,968
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,990
cpu,extreme contention,spin::Mutex,,,1.0,ns,1012
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1034
cpu,extreme contention,spin::Mutex,,,1.0,ns,1056
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1078
cpu,extreme contention,spin::Mutex,,,171875000.0,ns,1100
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1122
cpu,extreme contention,spin::Mutex,,,218750000.0,ns,1144
cpu,extreme contention,spin::Mutex,,,468750000.0,ns,1166
cpu,extreme contention,spin::Mutex,,,46875000.0,ns,1188
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,1210
cpu,extreme contention,spin::Mutex,,,218750000.0,ns,1232
cpu,extreme contention,spin::Mutex,,,171875000.0,ns,1254
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1276
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1298
cpu,extreme contention,spin::Mutex,,,1.0,ns,1320
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1342
cpu,extreme contention,spin::Mutex,,,1.0,ns,1364
cpu,extreme contention,spin::Mutex,,,218750000.0,ns,1386
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,1408
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,1430
cpu,extreme contention,spin::Mutex,,,484375000.0,ns,1452
cpu,extreme contention,spin::Mutex,,,375000000.0,ns,1474
cpu,extreme contention,spin::Mutex,,,218750000.0,ns,1496
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1518
cpu,extreme contention,spin::Mutex,,,203125000.0,ns,1540
cpu,extreme contention,spin::Mutex,,,171875000.0,ns,1562
cpu,extreme contention,spin::Mutex,,,203125000.0,ns,1584
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1606
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1628
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1650
cpu,extreme contention,spin::Mutex,,,203125000.0,ns,1672
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1694
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,1716
cpu,extreme contention,spin::Mutex,,,468750000.0,ns,1738
cpu,extreme contention,spin::Mutex,,,453125000.0,ns,1760
cpu,extreme contention,spin::Mutex,,,468750000.0,ns,1782
cpu,extreme contention,spin::Mutex,,,484375000.0,ns,1804
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1826
cpu,extreme contention,spin::Mutex,,,218750000.0,ns,1848
cpu,extreme contention,spin::Mutex,,,453125000.0,ns,1870
cpu,extreme contention,spin::Mutex,,,453125000.0,ns,1892
cpu,extreme contention,spin::Mutex,,,500000000.0,ns,1914
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,1936
cpu,extreme contention,spin::Mutex,,,453125000.0,ns,1958
cpu,extreme contention,spin::Mutex,,,500000000.0,ns,1980
cpu,extreme contention,spin::Mutex,,,250000000.0,ns,2002
cpu,extreme contention,spin::Mutex,,,421875000.0,ns,2024
cpu,extreme contention,spin::Mutex,,,500000000.0,ns,2046
cpu,extreme contention,spin::Mutex,,,234375000.0,ns,2068
cpu,extreme contention,spin::Mutex,,,500000000.0,ns,2090
cpu,extreme contention,spin::Mutex,,,468750000.0,ns,2112
cpu,extreme contention,spin::Mutex,,,453125000.0,ns,2134
cpu,extreme contention,spin::Mutex,,,484375000.0,ns,2156
cpu,extreme contention,spin::Mutex,,,375000000.0,ns,2178
